BV号：BV1zv4y1g7Tc
标题：BV1zv4y1g7Tc
链接：https://www.bilibili.com/video/BV1zv4y1g7Tc
识别语言：zh
语言置信度：1
分段数：180
生成时间：2026-04-03 18:49:13

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:03] 高考也已经结束了
[00:00:03 - 00:00:04] 这位田王也要开始了
[00:00:04 - 00:00:06] 你选好学校了吗
[00:00:06 - 00:00:07] 还没说想法
[00:00:07 - 00:00:08] 才别急
[00:00:08 - 00:00:10] 咱们今天就给大家推荐两所学校
[00:00:10 - 00:00:12] 一所是非常牛的外国语大学
[00:00:12 - 00:00:14] 叫做西安外国语大学
[00:00:14 - 00:00:16] 一所是地理位置基加
[00:00:16 - 00:00:19] 位于我们首都北京的北京石油化工学院
[00:00:19 - 00:00:21] 西安外国语大学不仅是新中国最早建设的
[00:00:21 - 00:00:23] 四所外语运锈之一
[00:00:23 - 00:00:25] 还是西北地区唯一一所主要
[00:00:25 - 00:00:27] 外语语种齐全的普通高校
[00:00:27 - 00:00:30] 国家西部最重要的外语人才派养基地
[00:00:30 - 00:00:33] 在西北地区和外语教学和研究领域
[00:00:33 - 00:00:35] 发挥着不可替代的作用
[00:00:35 - 00:00:37] 先外国语大学的位于陕西的省会西安
[00:00:37 - 00:00:40] 经过近70年的建设和发展学校
[00:00:40 - 00:00:42] 已经实现了有单科外语院校
[00:00:42 - 00:00:47] 向突出外语教育和外国人文社会科学研究特色
[00:00:47 - 00:00:49] 以人文社科为主体
[00:00:49 - 00:00:52] 社会科学 管理科学和理学学科
[00:00:52 - 00:00:55] 协同发展的多学科外国语大学的转变
[00:00:55 - 00:00:58] 西外能擁有外語類的本科專業是30個
[00:00:58 - 00:01:00] 涵蓋27個外語種
[00:01:00 - 00:01:03] 其中有20個非通用語種專業
[00:01:03 - 00:01:06] 學校英語、俄語、德語、法語
[00:01:06 - 00:01:09] 西班牙語、日語、翻譯、商務英語、旅遊管理
[00:01:09 - 00:01:10] 阿拉伯語、印地語、工商管理
[00:01:10 - 00:01:13] 朝鮮語、烏爾杜里、哈薩克語、葡萄牙語
[00:01:13 - 00:01:15] 義大利語、快級學、金融學、新威學
[00:01:15 - 00:01:19] 20個專業為國家一流本科專業建設點
[00:01:19 - 00:01:23] 英語、法語專業為國家級專業綜合改革試點
[00:01:23 - 00:01:28] 英語、俄語、法語、旅遊管理、翻譯等五個專業為國家級特色專業
[00:01:28 - 00:01:30] 七個省級綜合改革是點專業
[00:01:30 - 00:01:32] 五個省級名牌專業
[00:01:32 - 00:01:34] 九個省級特色專業
[00:01:34 - 00:01:36] 九個省級一流本科專業建設點
[00:01:36 - 00:01:40] 2021年中國科教評價網發布的中國大學
[00:01:40 - 00:01:45] 以及學科專業評價報告2021到2022
[00:01:45 - 00:01:49] 學校在外國語言文學類高校排行榜中位列第四位
[00:01:49 - 00:01:52] 翻譯等13個語言類專業上榜
[00:01:52 - 00:01:54] 其中翻譯專業位列全國第一
[00:01:54 - 00:01:57] 足以看出來西外的特色專業有多強了吧
[00:01:57 - 00:02:00] 值得一提的是西外新穎的人才培養模式
[00:02:00 - 00:02:03] 以外國語言文學優勢學科為依託
[00:02:03 - 00:02:05] 以卓越拔奸人才為引領
[00:02:05 - 00:02:07] 以外語加外語外語加專業
[00:02:07 - 00:02:08] 專業加外語
