BV号：BV1fjfHYmEBD
标题：BV1fjfHYmEBD
链接：https://www.bilibili.com/video/BV1fjfHYmEBD
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-03 06:01:43

[00:00:00 - 00:00:02] 下面这段话我强烈建议大家录下来给孩子们
[00:00:02 - 00:00:04] 在他压力没有那么大的时候
[00:00:04 - 00:00:06] 或者说是没有那么着急的时候去听
[00:00:06 - 00:00:08] 当一个人说什么都行
[00:00:08 - 00:00:09] 或无所谓的时候
[00:00:09 - 00:00:11] 一般情况下是两种情况
[00:00:11 - 00:00:11] 第一种情况
[00:00:11 - 00:00:13] 他其实是想推卸责任
[00:00:13 - 00:00:16] 他不想把这种所谓的选错了的责任
[00:00:16 - 00:00:17] 拦到自己的身上
[00:00:17 - 00:00:19] 因为如果说他一旦做了一个选择
[00:00:19 - 00:00:21] 万一这个将来选的是不对的
[00:00:21 - 00:00:23] 那另外一个人或者是别人就会说
[00:00:23 - 00:00:24] 你看这是当年你自己选
[00:00:24 - 00:00:25] 说无所谓的时候
[00:00:25 - 00:00:26] 说什么都行的时候
[00:00:26 - 00:00:29] 很可能是一为了推避责任
[00:00:29 - 00:00:32] 這個是很麻煩的一個事情
[00:00:32 - 00:00:34] 然後另外一種情況
[00:00:34 - 00:00:36] 其實越說無所謂
[00:00:36 - 00:00:38] 它其實內心的要求是越高的
[00:00:38 - 00:00:41] 要么就是內心真的什麼要求都沒有
[00:00:41 - 00:00:41] 它為了推協自己
[00:00:41 - 00:00:44] 要么就是內心其實它是有要求
[00:00:44 - 00:00:45] 但是它不好意思說
[00:00:45 - 00:00:46] 說無所謂的
[00:00:46 - 00:00:48] 一般就是兩種情況
[00:00:48 - 00:00:49] 那第三種情況的話
[00:00:49 - 00:00:51] 很有可能就是它真的沒有多的像
[00:00:51 - 00:00:53] 我一般接觸多的
[00:00:53 - 00:00:55] 其實第一種相對多一些
