BV号：BV18u411y7QL
标题：BV18u411y7QL
链接：https://www.bilibili.com/video/BV18u411y7QL
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-03 19:43:02

[00:00:00 - 00:00:02] 新高一物生地可不是一种小孩的选法
[00:00:02 - 00:00:03] 为什么呢
[00:00:03 - 00:00:05] 因为如果说你高一你选了物生地的话
[00:00:05 - 00:00:06] 我明告诉你
[00:00:06 - 00:00:07] 军警报不了
[00:00:07 - 00:00:10] 师范大多数专业你也报不了
[00:00:10 - 00:00:11] 因为军警类是这样的
[00:00:11 - 00:00:13] 如果说你要报的是什么
[00:00:13 - 00:00:15] 公安类
[00:00:15 - 00:00:17] 公安类要求一般避选政治
[00:00:18 - 00:00:21] 如果说你要报公安技术类
[00:00:21 - 00:00:24] 公安技术类一般要求避误避化
[00:00:25 - 00:00:26] 你物生地发现了吗
[00:00:26 - 00:00:28] 完美的避开
[00:00:28 - 00:00:29] 如果你将来想当老师的话
[00:00:29 - 00:00:30] 来告诉你
[00:00:30 - 00:00:31] 如果你要将来想当老师的话
[00:00:31 - 00:00:32] 你要当哪一颗老师
[00:00:32 - 00:00:33] 你说老师
[00:00:33 - 00:00:39] 我想当数学物理化学生物的老师
[00:00:39 - 00:00:40] 他这四颗专业要求都是
[00:00:40 - 00:00:42] 避物避化
[00:00:42 - 00:00:44] 也物生地爆不了
[00:00:44 - 00:00:45] 历史老师
[00:00:45 - 00:00:45] 你没选历史
[00:00:45 - 00:00:46] 爆不了
[00:00:46 - 00:00:47] 政治老师
[00:00:47 - 00:00:48] 你没选政治
[00:00:48 - 00:00:48] 你也爆不了
[00:00:48 - 00:00:49] 那你还能胜什么呢
[00:00:49 - 00:00:54] 你还能胜的是语文外语和地理这三颗
[00:00:54 - 00:00:57] 如果说他在你这个物生地的选择周生
[00:00:57 - 00:00:58] 他还可以不周生
[00:00:58 - 00:00:58] 你也完蛋
[00:00:58 - 00:01:00] 所以说物生地这种选法
[00:01:00 - 00:01:02] 如果说你要是高二高三选
[00:01:02 - 00:01:02] 问题不大
[00:01:02 - 00:01:04] 但如果你高一选的话问题非常的
[00:01:04 - 00:01:05] 因为新高一呢
[00:01:05 - 00:01:08] 他就是把物和画给怎么样
[00:01:08 - 00:01:09] 给绑死了
[00:01:09 - 00:01:09] 所以说这个事
[00:01:09 - 00:01:10] 大家一定要去小心一下
