BV号：BV1he4y1D73h
标题：BV1he4y1D73h
链接：https://www.bilibili.com/video/BV1he4y1D73h
识别语言：zh
语言置信度：1
分段数：48
生成时间：2026-04-03 18:06:50

[00:00:00 - 00:00:01] 治好了是我的功劳
[00:00:01 - 00:00:03] 治不好不是我的毛病
[00:00:03 - 00:00:06] 我曾经问过一个我们医院的一个朋友啊
[00:00:06 - 00:00:06] 我就问他
[00:00:06 - 00:00:07] 我说哥们儿
[00:00:07 - 00:00:07] 我问一下
[00:00:07 - 00:00:09] 如果说有一个医学的学生问你
[00:00:09 - 00:00:11] 将来我上大学选什么科室
[00:00:11 - 00:00:12] 你要选什么科室
[00:00:12 - 00:00:12] 然后的话
[00:00:12 - 00:00:14] 这哥们儿跟我说了一句很有意思的话
[00:00:14 - 00:00:14] 他说
[00:00:14 - 00:00:15] 学峰你知道吗
[00:00:15 - 00:00:17] 如果说我们家孩子学了医
[00:00:17 - 00:00:17] 要选科室的话
[00:00:17 - 00:00:19] 我让他选什么科室啊
[00:00:19 - 00:00:21] 我一定让我们家孩子选一个治病的时候呢
[00:00:21 - 00:00:22] 死不了人
[00:00:22 - 00:00:24] 但是他得了这种病呢
[00:00:24 - 00:00:25] 又特别的难受
[00:00:25 - 00:00:26] 生殖医学
[00:00:26 - 00:00:28] 是我个人认为最好的科室
[00:00:28 - 00:00:30] 我說為什麼生殖醫學是最好的科學
[00:00:30 - 00:00:31] 他就跟我講了
[00:00:31 - 00:00:31] 一
[00:00:31 - 00:00:32] 他不用住院
[00:00:32 - 00:00:33] 哎
[00:00:33 - 00:00:34] 這倒是
[00:00:34 - 00:00:36] 生殖醫學不用住院
[00:00:36 - 00:00:39] 所以說我們科學的大夫沒有查房的
[00:00:39 - 00:00:40] 他不想說別的科學他有住院的
[00:00:40 - 00:00:42] 他每天早上起來第一家這查房
[00:00:42 - 00:00:42] 他說你看
[00:00:42 - 00:00:43] 這是生殖醫學
[00:00:43 - 00:00:44] 我不用查房
[00:00:44 - 00:00:46] 我不用職業班
[00:00:46 - 00:00:47] 也不會死人
[00:00:47 - 00:00:48] 治好了
[00:00:48 - 00:00:49] 是我的功勞
[00:00:49 - 00:00:49] 治不好
[00:00:49 - 00:00:51] 不是我的毛病
[00:00:51 - 00:00:52] 阿老孫
[00:00:52 - 00:00:53] 有點意思啊
[00:00:53 - 00:00:54] 確實有點意思
[00:00:54 - 00:00:55] 就你學了臨床醫學以後的話
[00:00:55 - 00:00:58] 你本科在選院校
[00:00:58 - 00:00:59] 研究生在选什么
[00:00:59 - 00:01:00] 研究生在选科
