BV号：BV1d14y1K7Uy
标题：BV1d14y1K7Uy
链接：https://www.bilibili.com/video/BV1d14y1K7Uy
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-03 16:48:22

[00:00:00 - 00:00:01] 我从来不觉得语言有没有可能
[00:00:01 - 00:00:03] 七八十岁老太太学英语招考学的
[00:00:03 - 00:00:03] 对吧
[00:00:03 - 00:00:04] 你要选择日语的话
[00:00:04 - 00:00:06] 你将来在报考研的时候
[00:00:06 - 00:00:08] 你基本上只能报北京上海
[00:00:08 - 00:00:11] 以及环博海经济圈的学校
[00:00:11 - 00:00:12] 就比如说你大概率很可能
[00:00:12 - 00:00:15] 就是大连天津北京上海
[00:00:15 - 00:00:17] 青岛那一片的学校
[00:00:17 - 00:00:18] 他招考研的时候
[00:00:18 - 00:00:20] 可能会允许招日语考生
[00:00:20 - 00:00:21] 否则的话
[00:00:21 - 00:00:23] 你要是考其他的地方
[00:00:23 - 00:00:25] 他大概率是不要日语考生的
[00:00:25 - 00:00:27] 所以说的话就是分学校分地域
[00:00:27 - 00:00:29] 然后的话你要考其他的地方
[00:00:29 - 00:00:32] 可能就是他就没有说用日语培养的这么一个研究生
[00:00:32 - 00:00:34] 因为有的时候我们学习外语的话
[00:00:34 - 00:00:37] 是要向国外去学习先进的东西
[00:00:37 - 00:00:39] 像英语的话就是通用语
[00:00:39 - 00:00:41] 但是日语的话他没有那么通用的话
[00:00:41 - 00:00:43] 他有一些文献不一定被翻译成日本
[00:00:43 - 00:00:44] 你没有办法去学习
[00:00:44 - 00:00:46] 你没有办法去研究相关的文献
[00:00:46 - 00:00:47] 是这个原因
[00:00:47 - 00:00:48] 所以说的话
[00:00:48 - 00:00:49] 就是我们一般都会建议大家
[00:00:49 - 00:00:51] 如果说你在考大学的时候
[00:00:51 - 00:00:54] 你没有所谓的把这个语言给弄到英语的话
[00:00:54 - 00:00:55] 你最好在上大学的时候
[00:00:55 - 00:00:57] 看能不能再重新检起来
[00:00:57 - 00:00:58] 因为语言这个东西没有门槛
[00:00:58 - 00:01:00] 我从来不觉得语言有门槛
[00:01:00 - 00:01:02] 70、80岁老太太学习语章上学的
[00:01:02 - 00:01:02] 对吧
