BV号：BV1RE411C7Xx
标题：BV1RE411C7Xx
链接：https://www.bilibili.com/video/BV1RE411C7Xx
识别语言：zh
语言置信度：1
分段数：66
生成时间：2026-04-04 06:10:32

[00:00:00 - 00:00:01] 那我有个问题
[00:00:01 - 00:00:03] 最近我在工作当中经常发现
[00:00:03 - 00:00:04] 我有一些客户
[00:00:04 - 00:00:07] 就是特别的难缠
[00:00:07 - 00:00:08] 我就觉得他们
[00:00:08 - 00:00:10] 经常有问题
[00:00:10 - 00:00:11] 比如说
[00:00:11 - 00:00:14] 比如说拿个机构当令件
[00:00:14 - 00:00:14] 然后的话
[00:00:14 - 00:00:15] 我是假方
[00:00:15 - 00:00:16] 我是爷
[00:00:16 - 00:00:18] 就是这种比较难缠
[00:00:18 - 00:00:19] 那客户
[00:00:19 - 00:00:22] 这个怎么对付他们
[00:00:22 - 00:00:25] 客户基本上都难缠
[00:00:25 - 00:00:26] 为什么呢
[00:00:26 - 00:00:28] 因为大家每一个人的心理状态不一样
[00:00:28 - 00:00:29] 人格特质不一样
[00:00:29 - 00:00:32] 就是每一个人其实都是独立的人
[00:00:32 - 00:00:33] 他都不一样
[00:00:33 - 00:00:35] 但是其实在职场当中
[00:00:35 - 00:00:36] 包括我们在工作当中
[00:00:36 - 00:00:38] 我们会遇到各式各样的人
[00:00:38 - 00:00:39] 我们会看他们的心理特征
[00:00:39 - 00:00:40] 心理特征
[00:00:40 - 00:00:40] 对
[00:00:40 - 00:00:42] 心理特征是怎么分类的
[00:00:42 - 00:00:43] 很简单举几个例子
[00:00:43 - 00:00:44] 比如说
[00:00:44 - 00:00:47] 你可能在工作当中会遇到一种人
[00:00:48 - 00:00:50] 所有的事情必须按部就班
[00:00:50 - 00:00:52] 他非常喜欢关注细节
[00:00:52 - 00:00:54] 我们管这种人叫细节孔
[00:00:54 - 00:00:54] 细节孔
[00:00:54 - 00:00:55] 对细节孔
[00:00:55 - 00:00:59] 他其实我们不打的定义为病症
[00:00:59 - 00:01:00] 那么他用心理的角度上
[00:01:00 - 00:01:02] 他其实属于强迫的心理
[00:01:02 - 00:01:03] 强迫心理
[00:01:03 - 00:01:03] 对
[00:01:03 - 00:01:04] 还有一种呢
[00:01:04 - 00:01:07] 就是你会发现这个人情绪波动特别的
[00:01:07 - 00:01:09] 就是他一会高兴一会不高兴
[00:01:09 - 00:01:11] 他的人际关系很很混乱
[00:01:11 - 00:01:12] 混乱
[00:01:12 - 00:01:13] 对
[00:01:13 - 00:01:15] 你会发现有的人他有的时候跟你关系特别好
[00:01:15 - 00:01:16] 突然有他翻脸了
[00:01:16 - 00:01:17] 你不知道为什么
[00:01:17 - 00:01:19] 哎就这个好像大学数数里面出现的
[00:01:19 - 00:01:21] 他们可能会一会高兴啊
[00:01:21 - 00:01:22] 一会就是我心情很高兴
[00:01:22 - 00:01:23] 我很嗨
[00:01:23 - 00:01:24] 早上喝起来
[00:01:24 - 00:01:25] 一会别理我
[00:01:25 - 00:01:25] 别理我
[00:01:25 - 00:01:26] 烦着你
[00:01:26 - 00:01:27] 你有病吗
[00:01:27 - 00:01:28] 你干嘛呢
[00:01:28 - 00:01:28] 你跟说什么呢
[00:01:28 - 00:01:30] 这种人是有病吗
[00:01:31 - 00:01:32] 不说有病
[00:01:32 - 00:01:33] 他们都是普通人
[00:01:34 - 00:01:36] 那么这里面就是他们之中
[00:01:36 - 00:01:37] 他们叫边缘型人物
[00:01:37 - 00:01:39] 他们的人格特征跟普通人不一样
