BV号：BV17S4y1T7FP
标题：BV17S4y1T7FP
链接：https://www.bilibili.com/video/BV17S4y1T7FP
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-03 20:51:17

[00:00:00 - 00:00:01] 这种科研院所呢
[00:00:01 - 00:00:03] 报考的时候大家注意有这么几个特点
[00:00:03 - 00:00:05] 就是我们研究单位的一般有两种
[00:00:05 - 00:00:05] 一种叫做大学
[00:00:05 - 00:00:07] 一种叫做科研院所
[00:00:07 - 00:00:07] 对吧
[00:00:07 - 00:00:09] 像比如像武汉邮店研究院啊
[00:00:09 - 00:00:11] 像这个武汉学习成名研究所啊
[00:00:11 - 00:00:13] 哈尔滨探监工程研究所啊
[00:00:13 - 00:00:14] 成城光地所啊
[00:00:14 - 00:00:15] 就这种科研院所
[00:00:15 - 00:00:17] 那这种科研所在招生的时候呢
[00:00:17 - 00:00:18] 他有他的难点
[00:00:18 - 00:00:20] 但是他也有他的优点
[00:00:20 - 00:00:21] 他的难点是什么呢
[00:00:21 - 00:00:25] 他的难点是因为他每年招生人数太少
[00:00:25 - 00:00:27] 就导致他的考研复习资料
[00:00:27 - 00:00:29] 相对往外流的可能性不大
[00:00:29 - 00:00:32] 但是呢大家注意中科院很好玩
[00:00:32 - 00:00:35] 因为中科院毕竟跟我们说中国科技大学两个学校关系
[00:00:35 - 00:00:37] 对吧是指数的关系
[00:00:37 - 00:00:40] 所以说中科院和中科大的这个讨言的体呢
[00:00:40 - 00:00:43] 其实是有的时候是可以看成是相互通的
[00:00:43 - 00:00:44] 然后的话呢
[00:00:44 - 00:00:46] 但是其他的科研院所的话
[00:00:46 - 00:00:49] 出题他的相应的资料可能不是那么很好弄
[00:00:49 - 00:00:50] 这是他讨言的难点
[00:00:50 - 00:00:52] 他考验的第二个难点是什么
[00:00:52 - 00:00:54] 想知道第二个难点是什么
[00:00:54 - 00:00:58] 持续关注张雪峰老师官方账号
[00:00:58 - 00:00:59] 明天繼續講
