BV号：BV1Q1421t7cn
标题：BV1Q1421t7cn
链接：https://www.bilibili.com/video/BV1Q1421t7cn
识别语言：zh
语言置信度：1
分段数：47
生成时间：2026-04-03 08:23:25

[00:00:00 - 00:00:03] 然后再往下教育学也是个大专业
[00:00:03 - 00:00:06] 教育学类考研一般考什么专业课呢
[00:00:06 - 00:00:08] 教育学类考研一般考的专业课
[00:00:08 - 00:00:10] 它考的是中国教育史外国教育史
[00:00:10 - 00:00:12] 教育学原理课程与教学论
[00:00:12 - 00:00:14] 就是我们的教育研究方法
[00:00:14 - 00:00:16] 教育心理学这几门专业课
[00:00:16 - 00:00:19] 就是教育学原理中国教育史外国教育史
[00:00:19 - 00:00:23] 教育研究方法和教育心理学
[00:00:23 - 00:00:25] 这几门是教育学一定要考的专业课
[00:00:25 - 00:00:27] 这是这几门
[00:00:27 - 00:00:29] 再往后看语言文学
[00:00:29 - 00:00:32] 在原文学的话,一般情况下,它考的专业可每个学校都不太一样
[00:00:32 - 00:00:35] 每个学校考的都不太一样,这个要看各个学校
[00:00:35 - 00:00:39] 然后外国原文学,外国原文学一定会考一门二外
[00:00:39 - 00:00:41] 就是你上大学的时候要学一门二外
[00:00:41 - 00:00:44] 学素型研究生考二外,专业型研究生考的是翻译
[00:00:44 - 00:00:48] 翻译是不考二外的,所以说你如果说外国原文学,你上大学
[00:00:48 - 00:00:51] 你二外学的好,你可以考学朔,二外学的不好,可以考专朔
[00:00:51 - 00:00:54] 就是冰来酱当水来土研都有方法
[00:00:54 - 00:00:57] 然后的话,再往下,数学,数学这个专业,大家注意
[00:00:57 - 00:01:04] 最重要的是数分和高带两边专业课要数学分析高脑袋数数分高带数分高带
[00:01:04 - 00:01:07] 然后的话再往下比较大的专业啊
[00:01:07 - 00:01:13] 你像这个这里边有这个这个这个机械机械最重要的专业课是四门课啊
[00:01:13 - 00:01:14] 机械最重要的专业课
[00:01:14 - 00:01:19] 机学原理机械设计理论力学材料力学就是机械最重要的四门专业课
[00:01:19 - 00:01:24] 然后下面这个一气一气考的会比较杂啊
[00:01:24 - 00:01:26] 仪器考的会比较杂
[00:01:26 - 00:01:28] 但你这个你这个学校的仪器
[00:01:28 - 00:01:30] 主要的用的是什么方向
[00:01:30 - 00:01:32] 比如说他有的学校考电子
[00:01:32 - 00:01:33] 有的学校考信息
[00:01:33 - 00:01:34] 有的学校考计算机
[00:01:34 - 00:01:35] 有的学校考仪器综合
[00:01:35 - 00:01:37] 有的学校考自动化
[00:01:37 - 00:01:38] 不同学校不一样
[00:01:38 - 00:01:39] 然后再往后
[00:01:39 - 00:01:42] 材料材料考的也会比较杂
[00:01:42 - 00:01:43] 然后电器
[00:01:43 - 00:01:45] 大家注意电器这个专业啊
[00:01:45 - 00:01:47] 很多家长比较关心的关注的啊
[00:01:47 - 00:01:48] 电器电器的话呢
[00:01:48 - 00:01:49] 他主要就两边专业课
[00:01:49 - 00:01:51] 一边叫做电路一边叫做电分
[00:01:51 - 00:01:54] 叫电路原理和电力系统分析
[00:01:54 - 00:01:56] 电路电分考研就考这两边专一课
[00:01:56 - 00:01:57] 要么考电路要么考电分
