BV号：BV1ch411T7GH
标题：BV1ch411T7GH
链接：https://www.bilibili.com/video/BV1ch411T7GH
识别语言：zh
语言置信度：1
分段数：77
生成时间：2026-04-03 15:02:42

[00:00:00 - 00:00:01] 大家都知道張老師是東北人
[00:00:01 - 00:00:03] 所以說每年這個時候
[00:00:03 - 00:00:04] 我肯定會講一些
[00:00:04 - 00:00:05] 咱們東北的學校
[00:00:05 - 00:00:08] 更何況咱們這兒的名校確實是真不少
[00:00:08 - 00:00:09] 接下來要這所學校
[00:00:09 - 00:00:12] 也是不只提過一次的老朋友了
[00:00:12 - 00:00:14] 以至於現在大家一提到這個學校
[00:00:14 - 00:00:16] 就是那句又好又好考
[00:00:17 - 00:00:18] 話都說到這個份上
[00:00:18 - 00:00:19] 相信有的人已經反映過來了
[00:00:19 - 00:00:20] 沒錯
[00:00:20 - 00:00:22] 這個學校就是哈爾濱工程大學
[00:00:22 - 00:00:23] 簡稱哈工程
[00:00:23 - 00:00:24] 提到哈工程
[00:00:24 - 00:00:26] 就一定繞不開他的前身叫哈軍工
[00:00:26 - 00:00:27] 大家都知道
[00:00:27 - 00:00:31] 哈绝工是我国第一所高等军事技术院校
[00:00:31 - 00:00:33] 但您可能不知道很多名校都是他拆出来的
[00:00:33 - 00:00:36] 或者是接收了他拆出来的那一部分
[00:00:36 - 00:00:38] 你比方说像国防科技大
[00:00:38 - 00:00:39] 西工大
[00:00:39 - 00:00:40] 南历工等
[00:00:40 - 00:00:41] 这些学校是什么水平
[00:00:41 - 00:00:42] 这就不用我多说了吧
[00:00:42 - 00:00:45] 而且即便都已经拆分成这样了
[00:00:45 - 00:00:47] 现在的哈红城还是二二三一楼
[00:00:47 - 00:00:49] 响当当的国防妻子之一
[00:00:49 - 00:00:52] 这个底运大家自己去感受一下
[00:00:52 - 00:00:54] 不只是底运历史这方面厉害
[00:00:54 - 00:00:57] 人家哈红城这些年的发展也都是非常不错的
[00:00:57 - 00:00:58] 咱们就说学科吧
[00:00:58 - 00:01:01] 很多人都知道哈工城的在海洋这一块很强
[00:01:01 - 00:01:03] 人家的船舶与海洋工程学科
[00:01:03 - 00:01:05] 不管是在教育部学科评估
[00:01:05 - 00:01:09] 还是软科这种第三方机构都能够排到全国第一
[00:01:09 - 00:01:11] 而且人家也不止这一个学科墙
[00:01:11 - 00:01:14] 你上进入ESI全球前1%的学科
[00:01:14 - 00:01:15] 那也有四个
[00:01:15 - 00:01:16] 在专业方面
[00:01:16 - 00:01:17] 除了船舶与海洋
[00:01:17 - 00:01:21] 水生和能源与动力这些王牌专业以外
[00:01:21 - 00:01:22] 还有一些爆炮
[00:01:22 - 00:01:23] 热门的专业
[00:01:23 - 00:01:24] 像什么计算机
[00:01:24 - 00:01:25] 软件
[00:01:25 - 00:01:25] 电子信息
[00:01:25 - 00:01:26] 机器人等等
[00:01:26 - 00:01:28] 这都是国家一流本科专业
[00:01:28 - 00:01:30] 现在人家43个招生专业
[00:01:30 - 00:01:33] 光国家一流本科专业就有33个
[00:01:33 - 00:01:36] 另外还有7个教育部特色专业
[00:01:36 - 00:01:39] 29个赏级重点专业等等
[00:01:39 - 00:01:40] 不仅仅教学实力上强
[00:01:40 - 00:01:43] 人家哈工程的校风学风那也是真的好
[00:01:43 - 00:01:46] 一方面也是因为人家平时就管得严
[00:01:46 - 00:01:47] 你把孩子放到这儿
[00:01:47 - 00:01:49] 咱们家长绝对可以放心
[00:01:49 - 00:01:50] 直使技能扎实
[00:01:50 - 00:01:51] 风气又好
[00:01:51 - 00:01:55] 哈工程的毕业生在社会上也是相当抢手的
[00:01:55 - 00:01:59] 据我所知,哈弘城本开城就位率长期都稳定在93%以上
[00:01:59 - 00:02:01] 从数据上来看,也算是全国浅烈了
[00:02:01 - 00:02:05] 落实率更是连续15年都是黑中江第一
[00:02:05 - 00:02:11] 而且它有近8成的毕业生都能进入到工业化、信息化和国防现代化的重点领域
[00:02:11 - 00:02:17] 有超过一半的毕业生都能在世界和我国的500墙里边来就业
[00:02:17 - 00:02:19] 它不仅是就业,人家在升学这块同样出色
[00:02:19 - 00:02:21] 就拿上一届本上来说
[00:02:21 - 00:02:25] 成功商学的人数达到了毕业生的近六成
[00:02:25 - 00:02:28] 区的学校还都是清华、浙大、哈拱大、华科
[00:02:28 - 00:02:30] 这种数一数二的名校
[00:02:30 - 00:02:33] 这样的培养成绩可不是随便找一所二二一商业楼
[00:02:33 - 00:02:34] 它就能做到的
[00:02:34 - 00:02:37] 教学实力强、校丰、学丰又好
[00:02:37 - 00:02:37] 还是那句话
[00:02:37 - 00:02:40] 像这样又好又好考的学校
[00:02:40 - 00:02:42] 有意向的考生和家长可千万别错过了
