BV号：BV1DD421p7fB
标题：BV1DD421p7fB
链接：https://www.bilibili.com/video/BV1DD421p7fB
识别语言：zh
语言置信度：1
分段数：75
生成时间：2026-04-03 11:30:45

[00:00:00 - 00:00:01] 我跟大家说啊
[00:00:01 - 00:00:04] 孩子模拟考试成绩有上有下是很正常的
[00:00:04 - 00:00:06] 大家能理解吗
[00:00:06 - 00:00:09] 孩子模拟考试成绩有上有下是很正常的
[00:00:09 - 00:00:11] 就包括说他高1高2成绩波动
[00:00:11 - 00:00:12] 这也很正常的
[00:00:12 - 00:00:13] 这不重要
[00:00:13 - 00:00:13] 重要的是什么
[00:00:13 - 00:00:16] 重要的是你要知道他是落在哪里
[00:00:16 - 00:00:18] 我就给你举个简单的例子
[00:00:18 - 00:00:19] 你看
[00:00:19 - 00:00:23] 这个周末马上又是所谓的要世界为逾选赛了
[00:00:23 - 00:00:26] 对吧又世界为逾选赛了
[00:00:26 - 00:00:28] 包括说平时我们平方球
[00:00:28 - 00:00:29] 其他的运动项目
[00:00:29 - 00:00:32] 我们最关注的可能是奥运会
[00:00:32 - 00:00:33] 足球运动项目
[00:00:33 - 00:00:35] 我们最关注的可能是所谓的世界赛
[00:00:35 - 00:00:36] 不是我们世界杯
[00:00:36 - 00:00:37] 世界杯之前
[00:00:37 - 00:00:39] 我们会进行很多场热身赛
[00:00:39 - 00:00:39] 很多场热身赛
[00:00:39 - 00:00:40] 很多场热身赛
[00:00:40 - 00:00:41] 热身赛是干嘛
[00:00:41 - 00:00:43] 热身赛就是模拟考试
[00:00:43 - 00:00:45] 热身赛踢得好不好
[00:00:45 - 00:00:47] 重要不重要不重要
[00:00:47 - 00:00:49] 哪怕我热身赛
[00:00:49 - 00:00:51] 我亚洲杯我一个球没进
[00:00:51 - 00:00:53] 我到最后我中国队踢进世界杯了
[00:00:53 - 00:00:54] 就OK
[00:00:54 - 00:00:56] 我要的是大考的成绩
[00:00:56 - 00:00:58] 我要的不是平时的成绩
[00:00:58 - 00:01:00] 你平时模仿再好
[00:01:00 - 00:01:01] 到奥运会你掉链的
[00:01:01 - 00:01:03] 到世界被你掉链的是不行的
[00:01:03 - 00:01:05] 大家能理解就要花吧
[00:01:05 - 00:01:07] 你平时拎口的再好
[00:01:07 - 00:01:09] 决赛不行
[00:01:09 - 00:01:10] 你平时踢的再好
[00:01:10 - 00:01:11] 这身材再好
[00:01:11 - 00:01:12] 你世界杯不行了
[00:01:12 - 00:01:13] 你奥运会不行了
[00:01:13 - 00:01:14] 你就是不行的
[00:01:14 - 00:01:15] 那大家你要发现
[00:01:15 - 00:01:18] 那我平时为什么要参加那么多比赛
[00:01:18 - 00:01:20] 我就是要通过比赛找我的问题
[00:01:20 - 00:01:21] 我这次输了
[00:01:21 - 00:01:24] 没关系这不是最重要的
[00:01:24 - 00:01:25] 我输哪儿的
[00:01:25 - 00:01:28] 对吧 我不同项目我是跑马拉松
[00:01:28 - 00:01:30] 我是节奏有问题
[00:01:30 - 00:01:32] 还说前一天晚上吃火锅拉稀了
[00:01:32 - 00:01:34] 还是说怎么着了
[00:01:34 - 00:01:35] 大家能理解吗
[00:01:35 - 00:01:37] 模拟考试的作用是什么
[00:01:37 - 00:01:38] 模拟考试的作用
[00:01:38 - 00:01:40] 一 他是让你找节奏
[00:01:40 - 00:01:41] 二是让你找异货点的
[00:01:41 - 00:01:44] 所以说你成绩上升别太高兴
[00:01:44 - 00:01:46] 你也要看一下你问题固在哪里
[00:01:46 - 00:01:49] 下降也别太伤心
[00:01:49 - 00:01:51] 你要看一下我跟上一次的差距是哪里
[00:01:51 - 00:01:52] 大家能理解吗
[00:01:52 - 00:01:55] 这是模拟考试的作用
[00:01:55 - 00:01:58] 所以说我非常理解大家说每次模拟考试的时候
[00:01:58 - 00:02:00] 你说老师我纠律我家小孩
[00:02:00 - 00:02:01] 这次考得不好
[00:02:01 - 00:02:02] 他怎么样怎么样怎么样
[00:02:02 - 00:02:04] 我非常理解大家纠律
[00:02:04 - 00:02:06] 我非常理解大家纠律
[00:02:06 - 00:02:09] 但是你得去认认真真分析他有什么问题
[00:02:11 - 00:02:11] 对吧
[00:02:11 - 00:02:13] 你得去认认真真分析他有什么问题
[00:02:13 - 00:02:14] 你不能说光纠律
