BV号：BV1oHdZYuEb8
标题：BV1oHdZYuEb8
链接：https://www.bilibili.com/video/BV1oHdZYuEb8
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 05:15:03

[00:00:00 - 00:00:02] 就是因为我在孩子数学和物理成绩不好
[00:00:02 - 00:00:05] 那就是学这种电子信息力的专业
[00:00:05 - 00:00:07] 您觉得就是对于他这种
[00:00:07 - 00:00:09] 大概物理才考70来分左右
[00:00:09 - 00:00:10] 数学呢
[00:00:10 - 00:00:12] 好的时候能考到100差的时候
[00:00:12 - 00:00:13] 大概考个890分
[00:00:13 - 00:00:15] 来 我给你两个为渡
[00:00:15 - 00:00:16] 第一个为渡的话呢
[00:00:16 - 00:00:18] 就是说你的电学学的怎么样
[00:00:18 - 00:00:19] 电学学的好
[00:00:19 - 00:00:19] 那就没有问题
[00:00:19 - 00:00:20] 电学学的不好
[00:00:20 - 00:00:21] 那就有问题
[00:00:21 - 00:00:22] 这是第一个
[00:00:22 - 00:00:23] 第一个为渡
[00:00:23 - 00:00:24] 第二个为渡加长
[00:00:24 - 00:00:25] 我再问一个问题
[00:00:25 - 00:00:26] 如果说考试
[00:00:26 - 00:00:29] 给你延长两个小时的考试时间
[00:00:29 - 00:00:32] 我让你有充分的时间去思考问题
[00:00:32 - 00:00:34] 我让你有充分的时间去做检查
[00:00:34 - 00:00:36] 你的物理能不能考更高的分
[00:00:36 - 00:00:37] 这种问题我问过孩子
[00:00:37 - 00:00:38] 他是可以
[00:00:38 - 00:00:40] 他是可以的话那就没问题
[00:00:40 - 00:00:41] 然后第三个维度
[00:00:41 - 00:00:42] 第三个维度是什么
[00:00:42 - 00:00:43] 第三个维度就是
[00:00:43 - 00:00:46] 你有没有信心在上大学期间
[00:00:46 - 00:00:49] 让他对这种专业未来的就业领域去感兴趣
[00:00:49 - 00:00:52] 因为在大学阶段的学习
[00:00:52 - 00:00:53] 他的目标感会更强
[00:00:53 - 00:00:56] 他知道我学这个专业是解决具体什么问题的
[00:00:56 - 00:00:58] 所以说他在遇到什么困难的问题的时候
[00:00:58 - 00:01:00] 他都会自己想办法去解决
[00:01:00 - 00:01:01] 他学习动力不一样
[00:01:01 - 00:01:02] 动力不一样
[00:01:02 - 00:01:03] 所以说在这三个问题
[00:01:03 - 00:01:04] 你都能解决的情况下的话
[00:01:04 - 00:01:05] 他就可以学 好吧
