BV号：BV1dntWe9EtR
标题：BV1dntWe9EtR
链接：https://www.bilibili.com/video/BV1dntWe9EtR
识别语言：zh
语言置信度：1
分段数：55
生成时间：2026-04-03 08:16:14

[00:00:00 - 00:00:03] 第二呢就要看一下你的英语他的问题出在哪里
[00:00:03 - 00:00:06] 你怎么去验证呢教你一个非常简单的办法
[00:00:06 - 00:00:11] 家长你随便找一年真题或者是找孩子某一次考试的卷子
[00:00:11 - 00:00:13] 去给他找一道阅读理解题
[00:00:13 - 00:00:15] 这是我们的真题啊这是我们的真题
[00:00:15 - 00:00:17] 然后的话你随便去找一年真题
[00:00:17 - 00:00:19] 然后或者是找孩子考试的一次卷子
[00:00:19 - 00:00:21] 你去给他看一下阅读理解
[00:00:21 - 00:00:23] 干嘛呢你问他能不能读的懂文章
[00:00:23 - 00:00:25] 然后的话呢他说我能读懂
[00:00:25 - 00:00:27] 因为有的孩子眼高手低
[00:00:27 - 00:00:29] 他说他能读懂这个话你别信你知道吧
[00:00:29 - 00:00:31] 你怎么办?你让他把这个文章给翻译出来
[00:00:31 - 00:00:33] 你让他把这个文章给翻译出来
[00:00:33 - 00:00:35] 然后如果说他翻译不出来
[00:00:35 - 00:00:37] 你要看他的问题出在哪里
[00:00:37 - 00:00:39] 有的孩子问题出在单词
[00:00:39 - 00:00:40] 有的孩子问题出在语法
[00:00:40 - 00:00:43] 他如果是因为这篇文章当中有单词不认识
[00:00:43 - 00:00:45] 导致他文章翻译不下来
[00:00:45 - 00:00:46] 那你要去补单词
[00:00:46 - 00:00:48] 如果说他每个单词都认识
[00:00:48 - 00:00:50] 但是放在一句话不答应
[00:00:50 - 00:00:52] 那么你要给他补语法
[00:00:52 - 00:00:53] 这是单词和语法
[00:00:53 - 00:00:55] 但有的孩子是属于什么呢?
[00:00:55 - 00:00:57] 有的孩子是属于阅读理解差
[00:00:57 - 00:00:58] 他能读的懂文章
[00:00:58 - 00:01:00] 但是他做不对阅读理解题
[00:01:00 - 00:01:01] 那他为什么做不对阅读理解题呢
[00:01:01 - 00:01:04] 因为他的解题思路跟老师的出题思路
[00:01:04 - 00:01:06] 不是一个思路
[00:01:06 - 00:01:07] 他理解是有问题的
[00:01:07 - 00:01:09] 比如说我给你举个简单的例子
[00:01:09 - 00:01:10] 说张雪峰真帅
[00:01:10 - 00:01:14] 然后还是说有一个长得特别漂亮的女家长
[00:01:14 - 00:01:16] 张老师你真帅
[00:01:16 - 00:01:18] 你要是第二种的话我就要保护我自己了
[00:01:18 - 00:01:19] 要是第一种的话
[00:01:19 - 00:01:20] 那就是正常夸我帅
[00:01:20 - 00:01:23] 所以说你会发现中国有一句话叫听话听音
[00:01:23 - 00:01:26] 所以说有的孩子他理解这个意思
[00:01:26 - 00:01:27] 他可能理解得不到位
[00:01:27 - 00:01:29] 那这种孩子你怎么办的
[00:01:29 - 00:01:32] 这种孩子就是一定要让孩子去看一下
[00:01:32 - 00:01:34] 他的阅读理解错误错在哪里
[00:01:34 - 00:01:36] 比如说他阅读理解当中某一个题
[00:01:36 - 00:01:38] 他选的是B答案给的是C
[00:01:38 - 00:01:42] 那你就一定要去想办法认知到C
[00:01:42 - 00:01:43] 为什么对呀
[00:01:43 - 00:01:46] 你当时考试的时候为什么没有选C
[00:01:46 - 00:01:47] 那你为什么选B了呢
[00:01:47 - 00:01:50] 而B又是为什么不对呢
[00:01:50 - 00:01:51] 加拿你懂了吗
[00:01:51 - 00:01:51] 明白了
