BV号：BV12H4y1z7kL
标题：BV12H4y1z7kL
链接：https://www.bilibili.com/video/BV12H4y1z7kL
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-03 13:25:16

[00:00:00 - 00:00:01] 如果说我首先我第一个
[00:00:01 - 00:00:03] 我说你要充学校还是保专业
[00:00:03 - 00:00:04] 陶老师我充学校或者保专业
[00:00:04 - 00:00:05] 好
[00:00:05 - 00:00:05] 你要保专业的话
[00:00:05 - 00:00:06] 那好
[00:00:06 - 00:00:08] 你的专业底线是什么
[00:00:08 - 00:00:08] 我们一般会问
[00:00:08 - 00:00:10] 说你的专业底线是什么
[00:00:10 - 00:00:12] 你最差能接受什么专业
[00:00:12 - 00:00:12] 比如有的这样说
[00:00:12 - 00:00:14] 陶老师我最差能接受机器
[00:00:14 - 00:00:14] 有的这样说
[00:00:14 - 00:00:18] 陶老师我最差能接受这个材料
[00:00:18 - 00:00:18] 有的这样说
[00:00:18 - 00:00:20] 陶老师我最差能接受什么
[00:00:20 - 00:00:22] 就是你首先你肯定不学的
[00:00:22 - 00:00:23] 如果你没有跟我说
[00:00:23 - 00:00:25] 你最差能接受什么
[00:00:25 - 00:00:27] 我们就会问哪些专业你肯定不学
[00:00:27 - 00:00:28] 哪些专业你肯定不学
[00:00:28 - 00:00:30] 我们就把那些异计学科
[00:00:30 - 00:00:31] 是那些转转的
[00:00:31 - 00:00:31] 全都给你去掉
[00:00:31 - 00:00:33] 然后的话给你去保转业
[00:00:33 - 00:00:34] 一般是这种情况
[00:00:34 - 00:00:35] 或者是你有没有主学的
[00:00:35 - 00:00:36] 虽然我能接受
[00:00:36 - 00:00:38] 但是我这也不是特别想学
[00:00:38 - 00:00:38] 但是我能接受
[00:00:38 - 00:00:40] 但是老师我还是想学一些什么什么
[00:00:40 - 00:00:41] 比如说集团铁的新入
[00:00:41 - 00:00:42] 热门专业
[00:00:42 - 00:00:43] 我们就会给你看情况
[00:00:43 - 00:00:44] 所以说的话
[00:00:44 - 00:00:45] 如果你不从学校的话
[00:00:45 - 00:00:47] 各位直播间的家长
[00:00:47 - 00:00:47] 请记住
[00:00:47 - 00:00:48] 有条件的时分
[00:00:48 - 00:00:50] 第一支院非常重
[00:00:50 - 00:00:52] 我们争取到第一支院录掉
[00:00:52 - 00:00:54] 如果你第一支院没有录
[00:00:54 - 00:00:55] 怕什么
