BV号：BV1cYtGz4ELa
标题：BV1cYtGz4ELa
链接：https://www.bilibili.com/video/BV1cYtGz4ELa
识别语言：zh
语言置信度：1
分段数：115
生成时间：2026-04-03 04:22:38

[00:00:00 - 00:00:01] 我想欧阳这个底牌子
[00:00:01 - 00:00:03] 它都到那个环境设备工程上面
[00:00:03 - 00:00:04] 这个专业
[00:00:04 - 00:00:06] 环境设备是吧
[00:00:06 - 00:00:07] 对
[00:00:07 - 00:00:08] 它是环境工程的
[00:00:08 - 00:00:11] 这个底牌子估计要进去换专业了
[00:00:11 - 00:00:12] 我这么说吧
[00:00:12 - 00:00:14] 如果说你本科毕业女生确实不好就业了
[00:00:14 - 00:00:15] 考研呢
[00:00:15 - 00:00:18] 考研的话也还行
[00:00:18 - 00:00:19] 只能说还行哪个学校
[00:00:19 - 00:00:20] 三次
[00:00:20 - 00:00:22] 双飞吗还是什么学校
[00:00:22 - 00:00:23] 加速大学
[00:00:23 - 00:00:25] 那争取考个研
[00:00:25 - 00:00:27] 考研21120万了
[00:00:27 - 00:00:27] 并考啊
[00:00:27 - 00:00:28] 往上边考吧
[00:00:28 - 00:00:28] 上一层
[00:00:28 - 00:00:31] 往上考 肯定往上考
[00:00:31 - 00:00:33] 考研系统的就医力怎么样
[00:00:33 - 00:00:35] 家长是这样子的
[00:00:35 - 00:00:37] 首先宣化环材这种专业
[00:00:37 - 00:00:38] 它本身不是找不到工作
[00:00:38 - 00:00:40] 而是找到的工作
[00:00:40 - 00:00:41] 你不一定省干
[00:00:41 - 00:00:42] 或者说工作不一定高
[00:00:42 - 00:00:44] 比如说我学习白学的
[00:00:44 - 00:00:46] 我其实就是环境大类
[00:00:46 - 00:00:48] 我们这个专业的女生
[00:00:48 - 00:00:49] 基本上都去考研了
[00:00:49 - 00:00:51] 及个别的保科毕业去就业的
[00:00:51 - 00:00:52] 然后的话她们都去考研以后
[00:00:52 - 00:00:53] 毕业以后
[00:00:53 - 00:00:54] 大多数都去干嘛去
[00:00:54 - 00:00:55] 有专门的这么一个单位
[00:00:55 - 00:00:56] 叫环证实证设计院
[00:00:56 - 00:00:58] 比如说一个工程项目
[00:00:58 - 00:01:00] 工程项目当中它需要做环屏
[00:01:00 - 00:01:03] 那你如何在整个工程项目的实施当中
[00:01:03 - 00:01:05] 环屏能够通过
[00:01:05 - 00:01:06] 这市政环境设计院
[00:01:06 - 00:01:07] 它有一部分业务
[00:01:07 - 00:01:09] 就是类似于这样的一部分业务
[00:01:09 - 00:01:10] 对
[00:01:10 - 00:01:12] 这个专业考工可以发现
[00:01:12 - 00:01:14] 也几乎没有港
[00:01:14 - 00:01:16] 一般情况下就是环保局
[00:01:16 - 00:01:18] 但是环保局不一定有港
[00:01:18 - 00:01:18] 加长
[00:01:18 - 00:01:19] 就是你问能不能考
[00:01:19 - 00:01:20] 它能考
[00:01:20 - 00:01:23] 那它首先你如果算不限的话
[00:01:23 - 00:01:24] 大家都能考
[00:01:24 - 00:01:27] 但是如果说你要有垂直对应的单位的话
[00:01:27 - 00:01:28] 那进一步就没有
