BV号：BV1QwzBYYE3Z
标题：BV1QwzBYYE3Z
链接：https://www.bilibili.com/video/BV1QwzBYYE3Z
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 07:27:15

[00:00:00 - 00:00:01] 我跟大家说就是很多家长说
[00:00:01 - 00:00:03] 张华是新高考改革
[00:00:03 - 00:00:04] 新高考改革三个方向
[00:00:04 - 00:00:06] 第一个方向就是我们的选科要求
[00:00:06 - 00:00:07] 发生了改变
[00:00:07 - 00:00:09] 由原来的纯理纯文
[00:00:09 - 00:00:10] 固定理固定文
[00:00:10 - 00:00:12] 变为3加1加2
[00:00:12 - 00:00:15] 虽然说现在实际是3加2加1
[00:00:15 - 00:00:17] 但是也一定程度的
[00:00:17 - 00:00:19] 让我们的同学选科
[00:00:19 - 00:00:21] 是自由选择
[00:00:21 - 00:00:23] 如果当年我有这个政策的话
[00:00:23 - 00:00:25] 我当年高考绝对不止考正大
[00:00:25 - 00:00:27] 因为我当年高考松部就对了
[00:00:27 - 00:00:28] 一道选择题
[00:00:29 - 00:00:31] 我生物学的非常烂
[00:00:31 - 00:00:33] 我当年刚好我没有记错
[00:00:33 - 00:00:33] 我最后就答案
[00:00:33 - 00:00:35] 我生物就对了一道选择题
[00:00:35 - 00:00:36] 其他题都行
[00:00:36 - 00:00:38] 我物理化学特别好
[00:00:38 - 00:00:39] 生物提起来
[00:00:39 - 00:00:41] 我当年如果有这个政策
[00:00:41 - 00:00:44] 我肯定是物化地的那个孩子
[00:00:44 - 00:00:46] 我肯定不会物化生物
[00:00:46 - 00:00:47] 我不想学生物
[00:00:47 - 00:00:48] 但没办法
[00:00:48 - 00:00:50] 所以说你看选择
[00:00:50 - 00:00:53] 让我们孩子可以在成绩这个阶段
[00:00:53 - 00:00:55] 充分发挥自己学科的优势和强性
[00:00:55 - 00:00:57] 所以说这是我们新高考改革的
[00:00:57 - 00:00:59] 第一个,这是好的,这是好事
[00:00:59 - 00:01:03] 能想出这个办法的人绝对是经过各种调研过的
[00:01:03 - 00:01:06] 所以说国家给你出这个政策都是好事,知道吧
