BV号：BV18u4y1C7sx
标题：BV18u4y1C7sx
链接：https://www.bilibili.com/video/BV18u4y1C7sx
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-03 13:57:20

[00:00:00 - 00:00:02] 但是家长我真的我真的我提醒你一下
[00:00:02 - 00:00:03] 快捷考研真的很难考
[00:00:03 - 00:00:05] 我给你科普一下快捷的考研
[00:00:05 - 00:00:06] 快捷的考研是分成两种
[00:00:06 - 00:00:07] 一种叫做学朔
[00:00:07 - 00:00:08] 一种叫做专朔
[00:00:08 - 00:00:10] 快捷的考研考学朔的话
[00:00:10 - 00:00:11] 有考大学数学
[00:00:11 - 00:00:13] 就是你大学期间会学数学的
[00:00:13 - 00:00:15] 高速现代概率多要学
[00:00:15 - 00:00:18] 而且快捷在学科门类上
[00:00:18 - 00:00:20] 它是属于管理学学科门类
[00:00:20 - 00:00:22] 管理学学科门类今年的分数线
[00:00:22 - 00:00:24] 稍微降了降到了340多分
[00:00:24 - 00:00:26] 往年都是360多分的
[00:00:26 - 00:00:28] 也就是你数学满分是150分
[00:00:28 - 00:00:31] 学术当中数学满分150分
[00:00:31 - 00:00:33] 高速现代概率150分
[00:00:33 - 00:00:35] 你如果说你考不到120分的话
[00:00:35 - 00:00:37] 基本上你连国家线都过不了
[00:00:37 - 00:00:39] 这是会计学术的形式
[00:00:39 - 00:00:42] 然后就会有很多同学本科是学会计的
[00:00:42 - 00:00:44] 然后因为搞不定大学数学
[00:00:44 - 00:00:45] 他数学考不到120
[00:00:45 - 00:00:49] 去转而考会计的专所叫MPCC
[00:00:49 - 00:00:50] 这个专业
[00:00:50 - 00:00:52] 他考研的时候是不考大学数学的
[00:00:52 - 00:00:55] 但是他考会考一部分的初等数学
[00:00:55 - 00:00:56] 就是你的初高中数学
[00:00:56 - 00:00:59] 考的内容相对比较少一些
[00:00:59 - 00:01:01] 所以说就会有很多学会会的同学
[00:01:01 - 00:01:03] 因为大学数学搞不定
[00:01:03 - 00:01:04] 去考专所
[00:01:04 - 00:01:08] 就导致专所这个专业分数线特别卷
[00:01:08 - 00:01:10] 你要想考上一个比较好的221的话
[00:01:10 - 00:01:12] 你没个250分
[00:01:12 - 00:01:13] 那个专业满分是300分
[00:01:13 - 00:01:16] 你不考上个250分你都很难考
[00:01:16 - 00:01:17] 所以说会计这个专业就是
[00:01:17 - 00:01:21] 考研 考功 两手抓 两手都要硬
[00:01:21 - 00:01:24] 但是一定要在考功上更硬
[00:01:24 - 00:01:25] 是这个情况
