BV号：BV1NZ4y1t7kY
标题：BV1NZ4y1t7kY
链接：https://www.bilibili.com/video/BV1NZ4y1t7kY
识别语言：zh
语言置信度：1
分段数：62
生成时间：2026-04-03 19:14:11

[00:00:00 - 00:00:01] 很多人都认识我说
[00:00:01 - 00:00:02] 张老师新闻学和传播学
[00:00:02 - 00:00:03] 它到底有什么差别
[00:00:03 - 00:00:04] 我们今天就给大家讲一讲
[00:00:04 - 00:00:05] 新闻学和传播学
[00:00:05 - 00:00:07] 它是一个什么样的专业
[00:00:07 - 00:00:08] 新闻学传播学
[00:00:08 - 00:00:09] 它其实是一个异议学科
[00:00:09 - 00:00:10] 就是新闻学传播学
[00:00:10 - 00:00:12] 它是一个大类专业
[00:00:12 - 00:00:13] 但是在本质上
[00:00:13 - 00:00:14] 它们还是有差别的
[00:00:14 - 00:00:15] 我们先说新闻学
[00:00:15 - 00:00:17] 新闻学是干嘛的呢
[00:00:17 - 00:00:18] 它就是报道一个事情
[00:00:18 - 00:00:19] 一个新闻
[00:00:19 - 00:00:20] 我给大家举个例子
[00:00:20 - 00:00:21] 比如说我在这录视频
[00:00:21 - 00:00:22] 录了录了我都
[00:00:22 - 00:00:22] 对
[00:00:22 - 00:00:22] 对
[00:00:22 - 00:00:23] 对吧
[00:00:23 - 00:00:23] 我就
[00:00:23 - 00:00:24] 我就不行了
[00:00:24 - 00:00:24] 对吧
[00:00:24 - 00:00:25] 口吐白沫
[00:00:25 - 00:00:27] 就这个颠前泛了
[00:00:27 - 00:00:28] 或者说是更浪荡的新闻
[00:00:28 - 00:00:29] 对吧
[00:00:29 - 00:00:30] 那大家你要知道这个突发事件
[00:00:30 - 00:00:33] 你要把这个东西给写成新闻稿
[00:00:33 - 00:00:34] 这就是新闻学
[00:00:34 - 00:00:35] 那传播学是干嘛的呢
[00:00:35 - 00:00:37] 传播学影响传播嘛
[00:00:37 - 00:00:37] 对吧
[00:00:37 - 00:00:38] 它的主要问题是什么
[00:00:38 - 00:00:40] 就是把一个系列的影响扩大
[00:00:40 - 00:00:41] 或者是缩小
[00:00:41 - 00:00:42] 这个呢叫做传播学
[00:00:42 - 00:00:44] 像广告学要公共关系
[00:00:44 - 00:00:46] 就都属于传播学的一个方向
[00:00:46 - 00:00:47] 广告学大家想一想
[00:00:47 - 00:00:49] 广而告之嘛
[00:00:49 - 00:00:49] 对吧
[00:00:49 - 00:00:51] 就像把这个东西的影响给它扩大
[00:00:51 - 00:00:53] 那跟公共关系理论上来讲
[00:00:53 - 00:00:53] 它是怎么样
[00:00:53 - 00:00:54] 就要说你一个人
[00:00:55 - 00:00:56] 或者说某种组织
[00:00:56 - 00:00:57] 他万一有了封面的报道
[00:00:57 - 00:00:59] 我们怎么能够让这种封面的报道
[00:00:59 - 00:01:01] 能够影响到最小
[00:01:01 - 00:01:02] 这个呢叫做危机公关
[00:01:02 - 00:01:03] 你比如说每一年
[00:01:03 - 00:01:05] 有一个晚会叫三洋无漫会
[00:01:05 - 00:01:07] 那很多企业在三洋无漫会之后
[00:01:07 - 00:01:09] 怎么样就开始有什么叫
[00:01:09 - 00:01:11] 公共关系叫危机公关等等
[00:01:11 - 00:01:12] 那这个就是传播学
[00:01:12 - 00:01:14] 把一个东西的影响扩大或者是缩小
[00:01:14 - 00:01:15] 所以大家现在明白
[00:01:15 - 00:01:17] 新闻学和传播系的差别了吧
