BV号：BV1UV411H7di
标题：BV1UV411H7di
链接：https://www.bilibili.com/video/BV1UV411H7di
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-03 23:03:23

[00:00:00 - 00:00:01] 听神病传要
[00:00:01 - 00:00:02] 我也不知道怎么想的
[00:00:03 - 00:00:04] 然后我三个选择
[00:00:04 - 00:00:05] 我为什么要去做这么多事
[00:00:05 - 00:00:07] 其实就是希望去体验各行各业
[00:00:07 - 00:00:08] 我竟然跟孩子们讲
[00:00:08 - 00:00:10] 我说孩子们一定要好好学习
[00:00:10 - 00:00:11] 好好活着
[00:00:11 - 00:00:11] 为什么
[00:00:11 - 00:00:13] 人生最大的意义在于哪里
[00:00:13 - 00:00:14] 体验
[00:00:14 - 00:00:16] 你没有体验过的美好
[00:00:17 - 00:00:18] 因为你会发现很多事
[00:00:18 - 00:00:19] 你没有体验过
[00:00:19 - 00:00:20] 原来关于东西
[00:00:20 - 00:00:21] 不过想到我有一天会拍电影
[00:00:22 - 00:00:23] 等我去拍电影的时候
[00:00:23 - 00:00:24] 我发现我的天
[00:00:24 - 00:00:25] 真的跟我们想象的都一样
[00:00:26 - 00:00:27] 一个电影镜头
[00:00:27 - 00:00:28] 我没有拍一个小时左右
[00:00:28 - 00:00:29] 拍景片
[00:00:29 - 00:00:31] 而且我们那个电影的导演真的
[00:00:31 - 00:00:33] 为了让我们有精神病院的那种氛围
[00:00:33 - 00:00:35] 特意给我们找了一个真正的演出
[00:00:35 - 00:00:37] 还谈恋了
[00:00:37 - 00:00:38] 有必要吧
[00:00:38 - 00:00:39] 有
[00:00:39 - 00:00:40] 还有那个群众演员
[00:00:40 - 00:00:41] 我都不知道是真的还是假的
[00:00:44 - 00:00:46] 吓死我了
[00:00:46 - 00:00:46] 你知道吗
[00:00:47 - 00:00:49] 后来发拍摄的地点
[00:00:49 - 00:00:51] 我一向真的是个精神病院
[00:00:51 - 00:00:52] 太厉害了
[00:00:52 - 00:00:52] 你知道吗
