BV号：BV1VN4y1372n
标题：BV1VN4y1372n
链接：https://www.bilibili.com/video/BV1VN4y1372n
识别语言：zh
语言置信度：1
分段数：22
生成时间：2026-04-03 18:51:08

[00:00:00 - 00:00:03] 社會人文學科社會人文學科最重要的是哪個字
[00:00:03 - 00:00:04] 人
[00:00:04 - 00:00:06] 你說老師我還得要當老師
[00:00:06 - 00:00:07] 當老師的前提是什麼
[00:00:07 - 00:00:08] 都我孩子吧
[00:00:08 - 00:00:10] 孩子誰生的
[00:00:10 - 00:00:11] 人生的吧
[00:00:11 - 00:00:13] 你能生多少生一個班
[00:00:13 - 00:00:14] 不可能
[00:00:14 - 00:00:17] 那得別人生不是你自己生別人生對吧
[00:00:17 - 00:00:18] 那都沒有別人
[00:00:19 - 00:00:19] 那你怎麼辦
[00:00:19 - 00:00:21] 對吧你沒有別人你怎麼當老師
[00:00:22 - 00:00:24] 你說老師我學法律我幫人打官司
[00:00:24 - 00:00:25] 連人都沒有
[00:00:25 - 00:00:26] 哪有法律糾紛
[00:00:26 - 00:00:29] 老師我學會計我要作證這連企業都沒有
[00:00:29 - 00:00:30] 算你都是零那辣钱有意思吗
[00:00:30 - 00:00:31] 虽说的话
[00:00:31 - 00:00:32] 单净你要知道社会人文学生
[00:00:32 - 00:00:33] 最根本的就是人
[00:00:33 - 00:00:35] 人很重要
