BV号：BV1PY4y1H7p3
标题：BV1PY4y1H7p3
链接：https://www.bilibili.com/video/BV1PY4y1H7p3
识别语言：zh
语言置信度：1
分段数：56
生成时间：2026-04-03 19:51:47

[00:00:00 - 00:00:02] 工程造價 你想清楚想明白
[00:00:02 - 00:00:04] 工程造價這個專業的話
[00:00:04 - 00:00:05] 你的報價院的時候一到某種
[00:00:05 - 00:00:07] 土木比較好的學校
[00:00:07 - 00:00:08] 土木好的學校
[00:00:08 - 00:00:09] 工程造價才比較好
[00:00:09 - 00:00:11] 工程造價這個專業在報的時候
[00:00:11 - 00:00:12] 千萬不要報殘金大學
[00:00:12 - 00:00:15] 你報殘金大學將來就業會很一般
[00:00:15 - 00:00:15] 知道吧
[00:00:15 - 00:00:17] 而且工程造價這個專業
[00:00:17 - 00:00:18] 他將來考研的時候會
[00:00:18 - 00:00:20] 非常非常的麻煩
[00:00:20 - 00:00:21] 來給你找一個PPT
[00:00:21 - 00:00:23] 給你講一下什麼叫工程造價
[00:00:23 - 00:00:25] 工程造價這個專業
[00:00:25 - 00:00:27] 它屬於叫做管理科學工程
[00:00:27 - 00:00:31] 他在研究中階段叫做管科
[00:00:31 - 00:00:33] 本科階段叫管理科学与工程内
[00:00:33 - 00:00:34] 管科
[00:00:34 - 00:00:35] 管科这个专业将来毕业以后
[00:00:35 - 00:00:36] 授予两个学位
[00:00:36 - 00:00:38] 可以授予工学学位
[00:00:38 - 00:00:39] 也可以授予管理学学位
[00:00:39 - 00:00:42] 如果说你学了工程招架这个专业的话
[00:00:42 - 00:00:43] 将来考研的话
[00:00:43 - 00:00:44] 有按工学考的
[00:00:44 - 00:00:45] 有按管理学考的
[00:00:45 - 00:00:48] 按工学考的是数学男
[00:00:48 - 00:00:49] 数学男
[00:00:49 - 00:00:51] 数学男
[00:00:51 - 00:00:52] 英语简单
[00:00:52 - 00:00:53] 外语简单
[00:00:53 - 00:00:56] 如果说你按管理学考的话
[00:00:56 - 00:00:58] 就是數學簡單英語難
[00:00:58 - 00:01:00] 所以說你到時候升學
[00:01:00 - 00:01:01] 報不同的學校
[00:01:01 - 00:01:02] 它考的內容不一樣
[00:01:02 - 00:01:04] 如果說你正常來講的話
[00:01:04 - 00:01:05] 張老師我考公學考
[00:01:05 - 00:01:06] 他研究成考數學一
[00:01:06 - 00:01:08] 然後的話英語分數限第一
[00:01:08 - 00:01:09] 如果說你按管理學考的話
[00:01:09 - 00:01:11] 他考數學三
[00:01:11 - 00:01:12] 英語分數限高
[00:01:12 - 00:01:13] 考試專業課
[00:01:13 - 00:01:15] 跟剛才那個交通運輸規劃管理一樣
[00:01:15 - 00:01:17] 考的專業課叫運酬學
[00:01:17 - 00:01:18] 知道吧
[00:01:18 - 00:01:19] 那你本課階段說
[00:01:19 - 00:01:20] 張老師我不想考研
[00:01:20 - 00:01:21] 我想直接就業
[00:01:21 - 00:01:23] 報圖目比較好的學校
[00:01:23 - 00:01:24] 圖目的越好
[00:01:24 - 00:01:25] 它這個專業就越好
[00:01:25 - 00:01:26] 因为它是土木的相关
