BV号：BV1vi421e7DM
标题：BV1vi421e7DM
链接：https://www.bilibili.com/video/BV1vi421e7DM
识别语言：zh
语言置信度：1
分段数：86
生成时间：2026-04-03 09:28:33

[00:00:00 - 00:00:01] 我没说过这句话啊
[00:00:01 - 00:00:03] 要绝对是断章取义啊
[00:00:03 - 00:00:04] 我从不绝对推荐什么专业
[00:00:04 - 00:00:05] 或者是打压什么专业
[00:00:05 - 00:00:07] 张学东建议高考结束
[00:00:07 - 00:00:08] 即可准备考研
[00:00:08 - 00:00:09] 我并不是说所有大学的专业
[00:00:09 - 00:00:10] 都需要这么做
[00:00:10 - 00:00:11] 有些专业呢
[00:00:11 - 00:00:12] 他不用读研也能找到
[00:00:12 - 00:00:13] 不妥的工作
[00:00:13 - 00:00:14] 但是某些职业
[00:00:14 - 00:00:16] 他对学历的要求是比较高的
[00:00:16 - 00:00:17] 确实建议尽早做考研的准备
[00:00:17 - 00:00:19] 比如说生化方才专业
[00:00:19 - 00:00:20] 将来准备从事科研的
[00:00:20 - 00:00:22] 那么功课专业将来准备
[00:00:22 - 00:00:23] 从事技术研发岗位的
[00:00:23 - 00:00:24] 以及准备当医生的
[00:00:24 - 00:00:26] 临床医学类专业的学生
[00:00:26 - 00:00:27] 文科生也是一样
[00:00:27 - 00:00:29] 如果说你学了师范类专业
[00:00:29 - 00:00:29] 想当老师的
[00:00:29 - 00:00:31] 或者是学了法学和语言的专业
[00:00:31 - 00:00:33] 将来在体育内有比较好的
[00:00:33 - 00:00:33] 上升空间
[00:00:33 - 00:00:34] 那最好你也要考个研
[00:00:34 - 00:00:37] 另外准备考研不等于就是光杀体
[00:00:37 - 00:00:39] 你把外语高速学好
[00:00:39 - 00:00:41] 把考研要考的核心专业课给的学好
[00:00:41 - 00:00:43] 本身也是为了考研做准备
[00:00:43 - 00:00:45] 张雪公称80%大学生将失业
[00:00:45 - 00:00:46] 我没说过这句话
[00:00:46 - 00:00:49] 但是大家才報專業的時候還是要關注一下
[00:00:49 - 00:00:52] 有些專業就業率近年來確實是經常亮紅燈
[00:00:52 - 00:00:53] 建議大家報考一些專業幣的高
[00:00:53 - 00:00:56] 或者是受到人工智能發展衝擊小的專業
[00:00:56 - 00:00:58] 張學聰建議選一線城市上大學
[00:00:58 - 00:00:59] 怎麼可能呢
[00:00:59 - 00:01:02] 每個人的分數性格等因素都是和一線城市嗎
[00:01:02 - 00:01:04] 一線城市有一線城市的優勢
[00:01:04 - 00:01:07] 比如說一線城市有很多時期工作的機會
[00:01:07 - 00:01:08] 實業廣等優點
[00:01:08 - 00:01:11] 也有分數虛高 進燈大 安生職業成本高等缺點
[00:01:11 - 00:01:14] 一線專業尤其是技術門檻比較高的理工類專業
[00:01:14 - 00:01:16] 更看重的是你這個學校的專業實力
[00:01:16 - 00:01:17] 你专业实力不行
[00:01:17 - 00:01:18] 无论你把学校开到哪
[00:01:18 - 00:01:20] 你开到一线城市
[00:01:20 - 00:01:20] 不行吗
[00:01:20 - 00:01:21] 还是不行
[00:01:21 - 00:01:22] 赵许锋推荐
[00:01:22 - 00:01:23] 不推荐专业清单
[00:01:23 - 00:01:25] 全职员没有一个标准的答案
[00:01:25 - 00:01:27] 我同步绝对推荐什么专业
[00:01:27 - 00:01:28] 或者是打压什么专业
[00:01:28 - 00:01:30] 只是根据咨询问题的学生
[00:01:30 - 00:01:31] 他的个人情况
[00:01:31 - 00:01:32] 给到个性化的建议
[00:01:32 - 00:01:33] 没有一个所谓的绝对好
[00:01:33 - 00:01:34] 或者是绝对不好的专业
[00:01:34 - 00:01:36] 这些对于我志愿建议的错误解读
[00:01:36 - 00:01:38] 本质都是把志愿填爆
[00:01:38 - 00:01:39] 看作一个随大溜的事情
[00:01:39 - 00:01:41] 别人读了什么学校和专业发展的好
[00:01:41 - 00:01:42] 它就真的是合理嘛
[00:01:42 - 00:01:44] 每一个同学充分考虑自己的分数
[00:01:44 - 00:01:45] 性格 资源
[00:01:45 - 00:01:47] 意向的职业和城市
[00:01:47 - 00:01:48] 去做选择
[00:01:48 - 00:01:49] 如果说你不知道怎么选
[00:01:49 - 00:01:50] 可以参考夸客高考
[00:01:50 - 00:01:52] 像夸客EPP搜高考
[00:01:52 - 00:01:53] 是用智能选职员
[00:01:53 - 00:01:54] 输入分数 选科的信息
[00:01:54 - 00:01:56] 就能获得充分保持远
[00:01:56 - 00:01:56] 参考方案
[00:01:56 - 00:01:58] 还能根据想象的城市
[00:01:58 - 00:01:59] 学校 专业
[00:01:59 - 00:01:59] 来做筛选
[00:01:59 - 00:02:01] 支援天后期的每天晚上
[00:02:01 - 00:02:02] 有我和多位资深支援专家
[00:02:02 - 00:02:03] 在线直播大义
[00:02:03 - 00:02:05] 所有功能全免費
[00:02:05 - 00:02:05] 高高選賤
[00:02:05 - 00:02:07] 上花課APP
