BV号：BV1ZdTsziEEY
标题：BV1ZdTsziEEY
链接：https://www.bilibili.com/video/BV1ZdTsziEEY
识别语言：zh
语言置信度：1
分段数：19
生成时间：2026-04-03 04:45:30

[00:00:00 - 00:00:01] 刷到这条视频的高考生
[00:00:01 - 00:00:03] 逢考必过
[00:00:35 - 00:00:36] 各位同学
[00:00:36 - 00:00:38] 记住这三年刷过的卷子
[00:00:38 - 00:00:39] 熬过的液
[00:00:39 - 00:00:40] 全身以上考成装备
[00:00:40 - 00:00:42] 再带着张雪峰老师
[00:00:42 - 00:00:44] 给大家极其的好运外挂
[00:00:44 - 00:00:45] 不就完事了
[00:00:45 - 00:00:48] 金榜提名写定能行
[00:00:48 - 00:00:49] 等大家的好消息
[00:00:49 - 00:00:50] 等大家考完了
[00:00:50 - 00:00:52] 6月15日至6月30日
[00:00:52 - 00:00:53] 每晚七点半
[00:00:53 - 00:00:54] 我带快手全网
[00:00:54 - 00:00:55] 通加直播联卖
[00:00:55 - 00:00:56] 分享志愿天报
[00:00:56 - 00:00:57] 干货知识
[00:00:57 - 00:00:58] 我们直播见
