BV号：BV1CE411o7AZ
标题：BV1CE411o7AZ
链接：https://www.bilibili.com/video/BV1CE411o7AZ
识别语言：zh
语言置信度：1
分段数：403
生成时间：2026-04-04 06:23:02

[00:00:02 - 00:00:04] 当飞行员的话得具备哪些条件和数据
[00:00:04 - 00:00:06] 首先要会说话
[00:00:06 - 00:00:08] 我牙不起的不能当飞行员
[00:00:08 - 00:00:10] 有闻身的也不能当飞行员
[00:00:10 - 00:00:13] 我原地转20寸我就晕了
[00:00:13 - 00:00:14] 那已经不错了
[00:00:14 - 00:00:17] 这帮卖飞机的公司也挺坏啊
[00:00:17 - 00:00:18] 所以说一旦有问题
[00:00:18 - 00:00:21] 他就只能带商返回或者带商继续潜机
[00:00:21 - 00:00:23] 我这样能开飞机
[00:00:23 - 00:00:24] 王老师你放心吧
[00:00:39 - 00:00:39] 大家好
[00:00:39 - 00:00:42] 欢迎收看小型逗逼脱口秀大开演技
[00:00:42 - 00:00:44] 我是让学习变得更快乐的张雪峰老师
[00:00:44 - 00:00:47] 那我们今天请到的嘉宾可厉害了
[00:00:47 - 00:00:48] 是一位著名的飞行员
[00:00:48 - 00:00:50] 我们的王思淳老师
[00:00:50 - 00:00:51] 王老师给大家打个招呼吧
[00:00:51 - 00:00:52] 大家好
[00:00:52 - 00:00:54] 王老师作为一个资深的飞行员
[00:00:54 - 00:00:55] 我想问你个问题
[00:00:55 - 00:00:59] 就是很多的同学都特别想当飞行员
[00:00:59 - 00:01:01] 就觉得开分机很酷
[00:01:01 - 00:01:02] 然后我想问一下
[00:01:02 - 00:01:05] 当飞行员的话得具备哪些条件和素质
[00:01:05 - 00:01:07] 其实当飞行员非常的简单
[00:01:07 - 00:01:09] 首先简单
[00:01:09 - 00:01:10] 非常的简单
[00:01:10 - 00:01:11] 最重要的一点就是
[00:01:11 - 00:01:13] 首先要会说话
[00:01:13 - 00:01:14] 会说话
[00:01:14 - 00:01:14] 对
[00:01:14 - 00:01:15] 会
[00:01:15 - 00:01:15] 会
[00:01:15 - 00:01:17] 谁都能说吗
[00:01:17 - 00:01:17] 你这
[00:01:17 - 00:01:20] 所以说大部分人都可以成为飞行员
[00:01:20 - 00:01:21] 那鸟都不说
[00:01:21 - 00:01:22] 那我也能当飞行员
[00:01:22 - 00:01:23] 对啊
[00:01:23 - 00:01:23] 当然可以
[00:01:23 - 00:01:24] 我会说话
[00:01:24 - 00:01:25] 我说话说得老好了
[00:01:27 - 00:01:27] 对
[00:01:27 - 00:01:28] 你们没问题
[00:01:28 - 00:01:28] 不是
[00:01:28 - 00:01:31] 那你说这就会说话说的是什么意思呢
[00:01:31 - 00:01:33] 其实就是一个
[00:01:33 - 00:01:35] 对于这个语言的理解和一个表达
[00:01:35 - 00:01:35] 你
[00:01:35 - 00:01:36] 对
[00:01:36 - 00:01:36] 表达
[00:01:36 - 00:01:37] 这
[00:01:37 - 00:01:39] 就是能听明白别人的说的是什么
[00:01:39 - 00:01:40] 然后自己能说的
[00:01:40 - 00:01:41] 实际上真的就是
[00:01:41 - 00:01:43] 这个字面上的意思
[00:01:43 - 00:01:44] 首先是鬼说话
[00:01:44 - 00:01:46] 但是我了解的
[00:01:46 - 00:01:48] 因为我当年在上高中的时候
[00:01:48 - 00:01:50] 就是很多就是去招飞
[00:01:50 - 00:01:52] 我听说他们飞行员的体检
[00:01:52 - 00:01:53] 好严格的
[00:01:54 - 00:01:54] 对
[00:01:54 - 00:01:57] 体检在那个时候是非常严格
[00:01:57 - 00:01:58] 但是现在的趋势是
[00:01:58 - 00:01:59] 慢慢的在放宽
[00:01:59 - 00:02:00] 慢慢的放宽
[00:02:00 - 00:02:01] 其实这个
[00:02:01 - 00:02:02] 我听说
[00:02:02 - 00:02:04] 我牙不齐的不能当飞行员
[00:02:04 - 00:02:04] 没错
[00:02:04 - 00:02:06] 这个也是真的
[00:02:06 - 00:02:07] 为什么呀
[00:02:09 - 00:02:09] 哎呀
[00:02:09 - 00:02:12] 这个可能只有航衣才能知道了
[00:02:12 - 00:02:13] 你也不知道为什么
[00:02:13 - 00:02:14] 我也不知道为什么
[00:02:14 - 00:02:14] 对
[00:02:14 - 00:02:17] 那还有什么就是我们可能想象不到的
[00:02:17 - 00:02:19] 我觉得对于我来说最大的一个困扰
[00:02:19 - 00:02:22] 就是有文生的也不能当飞行员
[00:02:22 - 00:02:28] 可是在国外文生不是一个很流行的一个事情吗
[00:02:28 - 00:02:30] 国外的飞行员也是有这个要求的吗
[00:02:30 - 00:02:33] 国外的飞行员要求只要能够把他遮住就可以
[00:02:33 - 00:02:36] 就是执行任务的时候穿上长袖衬衫
[00:02:36 - 00:02:38] 只要能把他遮住就可以
[00:02:38 - 00:02:40] 那但是你看我比如说
[00:02:40 - 00:02:42] 你看你戴个眼镜
[00:02:42 - 00:02:43] 势力不好的
[00:02:43 - 00:02:45] 它能当飞行员吗
[00:02:45 - 00:02:48] 在国外和现在国内最新的标准来说
[00:02:48 - 00:02:50] 只是看矫正势力
[00:02:50 - 00:02:52] 所以就是矫正势力过后的
[00:02:52 - 00:02:52] 对
[00:02:52 - 00:02:53] 矫正势力可以
[00:02:53 - 00:02:56] 我们国内上一次所谓的这个空难
[00:02:56 - 00:02:59] 就是因为飞行员没有看清楚跑道在哪里
[00:02:59 - 00:03:01] 然后它降落的地点离跑道
[00:03:01 - 00:03:02] 可能还有一段距离
[00:03:02 - 00:03:05] 导致这个事情
[00:03:05 - 00:03:06] 所以说到我才问你
[00:03:06 - 00:03:09] 我说势力是不是有问题
[00:03:09 - 00:03:11] 势力当然是非常重要的
[00:03:11 - 00:03:16] 但现在连航当中更多的时候是靠仪表去做一个更准确的判断
[00:03:16 - 00:03:17] 就是靠机器的仪表
[00:03:17 - 00:03:18] 没错
[00:03:18 - 00:03:18] 对
[00:03:18 - 00:03:20] 你一说仪表我也没长得怎么样
[00:03:20 - 00:03:21] 哦
[00:03:21 - 00:03:21] 对
[00:03:21 - 00:03:22] 是
[00:03:22 - 00:03:22] 对
[00:03:22 - 00:03:26] 那平时我们如果说我们所谓的就是成功考学了飞行员
[00:03:26 - 00:03:29] 然后的话呢也成功的就是这个这个过过了体检
[00:03:29 - 00:03:32] 那我们在做飞行员训练的时候要做哪些训练的
[00:03:33 - 00:03:34] 呃
[00:03:34 - 00:03:36] 国内是会有一些身体方面的训练
[00:03:36 - 00:03:37] 身体方面的体力
[00:03:37 - 00:03:38] 对
[00:03:38 - 00:03:39] 比如说跑步
[00:03:39 - 00:03:42] 比如说会上各种转移
[00:03:42 - 00:03:43] 转移
[00:03:43 - 00:03:43] 对
[00:03:43 - 00:03:45] 就看你会不会晕吗
[00:03:45 - 00:03:46] 对
[00:03:46 - 00:03:48] 其实世人可能都会晕
[00:03:48 - 00:03:50] 但是这个是需要经过训练
[00:03:50 - 00:03:52] 之后就会好很多
[00:03:52 - 00:03:53] 就是
[00:03:53 - 00:03:54] 假如说我举个例子
[00:03:54 - 00:03:56] 我原地转20圈我就晕了
[00:03:56 - 00:03:57] 那已经不错了
[00:03:57 - 00:03:58] 不是 我举个例子
[00:03:58 - 00:03:59] 我只是举个例子
[00:03:59 - 00:04:02] 假如说我原地转20圈我就晕了
[00:04:02 - 00:04:03] 那我通过什么的训练方法
[00:04:03 - 00:04:05] 我原地转30圈我也可以能够继续转
[00:04:05 - 00:04:06] 对
[00:04:06 - 00:04:08] 或者说起码能保持一个最基本的一个平衡
[00:04:08 - 00:04:10] 那对于比较跑步呢
[00:04:10 - 00:04:11] 还有没有什么新娘觉
[00:04:11 - 00:04:13] 因为我平时我是运动的跑步的
[00:04:13 - 00:04:15] 他有没有一个什么什么一个标准
[00:04:15 - 00:04:18] 据我所知好像没有硬性的标准
[00:04:18 - 00:04:19] 没有硬性的标准
[00:04:19 - 00:04:19] 对
[00:04:19 - 00:04:21] 因为飞运员他从各个年龄段都有
[00:04:21 - 00:04:24] 实际上跟这个更无情还是不太平
[00:04:24 - 00:04:26] 对飞运员还有60多岁的
[00:04:26 - 00:04:26] 对
[00:04:26 - 00:04:27] 其实他们体检
[00:04:27 - 00:04:29] 或者说他们技术和经验都非常的棒
[00:04:29 - 00:04:31] 但是让他去跟年轻女人
[00:04:31 - 00:04:32] 对
[00:04:32 - 00:04:35] 他可能不是一个特别特别硬性的一个
[00:04:35 - 00:04:35] 对
[00:04:35 - 00:04:40] 他可能就是在飞行的时候 我就说我们经常说一个飞行员他的飞行技术好不好
[00:04:40 - 00:04:46] 然后的话经常会有一个数据标准叫做飞行时长 对
[00:04:46 - 00:04:50] 这个是基本是代表他飞行经验的一个最主要的一个指标 对吧
[00:04:50 - 00:04:53] 飞行时长 但是我觉得飞行时长这个东西吧
[00:04:53 - 00:04:56] 他跟这个价照还不太一样
[00:04:56 - 00:05:00] 就我们经常说说我价照多少年 我是一个价照多少年的老司机
[00:05:00 - 00:05:00] 对吧
[00:05:00 - 00:05:03] 那我开这个车没问题 开那个车也没问题
[00:05:03 - 00:05:05] 但是价照也分A照B照和C照
[00:05:05 - 00:05:06] 对不对
[00:05:06 - 00:05:07] 那飞行员
[00:05:07 - 00:05:09] 你想想那飞机种类那么多
[00:05:09 - 00:05:12] 它是不是也得有各种各样的驾驶的飞行指导
[00:05:12 - 00:05:12] 没错
[00:05:12 - 00:05:14] 其实就是因为飞行员
[00:05:14 - 00:05:16] 它需要更细化
[00:05:16 - 00:05:19] 就是它的经验的记录
[00:05:19 - 00:05:20] 所以像开车一样
[00:05:20 - 00:05:22] 就是就跟开车不一样的
[00:05:22 - 00:05:23] 是开车咱们不计工理术
[00:05:23 - 00:05:25] 就是您说您开了几年车
[00:05:25 - 00:05:27] 但这几年有可能
[00:05:27 - 00:05:28] 你们没看过车
[00:05:28 - 00:05:28] 对
[00:05:28 - 00:05:30] 那驾龄其实也在增长
[00:05:30 - 00:05:33] 飞机就为了飞行驾驶
[00:05:33 - 00:05:37] 就为了减少这样的问题
[00:05:37 - 00:05:40] 那么就是把它直接细化到小时
[00:05:40 - 00:05:40] 哦
[00:05:40 - 00:05:41] 就是说他有的时候他
[00:05:41 - 00:05:44] 我们说这个飞机的机长的飞行经验
[00:05:44 - 00:05:46] 是这种机型多少个小时
[00:05:46 - 00:05:49] 然后那种机型多少个小时
[00:05:49 - 00:05:50] 它是这么算的
[00:05:50 - 00:05:50] 是吧
[00:05:50 - 00:05:50] 对
[00:05:50 - 00:05:51] 而且还会更细化
[00:05:51 - 00:05:55] 就是说它是以机长身份飞了多少个小时
[00:05:55 - 00:05:57] 它之前是以副驾驶的身份飞了多少个小时
[00:05:57 - 00:05:58] 哦
[00:05:58 - 00:06:00] 甚至他副驾驶这个
[00:06:00 - 00:06:02] 摇记录在他的飞行记录里边来
[00:06:02 - 00:06:02] 对
[00:06:02 - 00:06:04] 大家都是从副驾驶升上去的
[00:06:04 - 00:06:07] 你看飞机有那种大飞机小飞机
[00:06:07 - 00:06:09] 它驾驶的大飞机和驾驶小飞机
[00:06:09 - 00:06:11] 有什么特别明显的差别吗
[00:06:13 - 00:06:13] 有
[00:06:13 - 00:06:16] 但是明显的差别更多的是
[00:06:16 - 00:06:18] 存在于不同飞机制造厂商的
[00:06:18 - 00:06:20] 就是每一个飞机的制造厂商
[00:06:20 - 00:06:24] 它为了能够让航空公司多采用自己的飞机
[00:06:24 - 00:06:27] 所以它设计新的飞机的时候
[00:06:27 - 00:06:32] 王宏跟上一个机型的价值的方式是比较接近的
[00:06:32 - 00:06:34] 这样的话飞音员在复讯的时候
[00:06:34 - 00:06:36] 就会比较省事
[00:06:36 - 00:06:39] 那就是不用再去新学
[00:06:39 - 00:06:40] 没错
[00:06:40 - 00:06:40] 比如说绝利达
[00:06:40 - 00:06:42] 比如说原来空客320
[00:06:42 - 00:06:43] 那我开空客330
[00:06:43 - 00:06:46] 那就是一个练个集就完了
[00:06:46 - 00:06:46] 没错
[00:06:46 - 00:06:46] 对吧
[00:06:46 - 00:06:48] 但是如果说你要是开波音
[00:06:48 - 00:06:50] 那我就要重新打怪
[00:06:50 - 00:06:50] 然后再升级
[00:06:50 - 00:06:51] 是这个意思
[00:06:51 - 00:06:51] 没错
[00:06:51 - 00:06:54] 而且由于波音它相对来说操纵比较复杂
[00:06:54 - 00:06:57] 所以有播音飞机转到空客的
[00:06:57 - 00:07:01] 但是还是稍微有飞机转到空客播音的
[00:07:01 - 00:07:01] 哦
[00:07:01 - 00:07:06] 这这帮卖飞机的公司也挺坏啊
[00:07:06 - 00:07:06] 对
[00:07:06 - 00:07:08] 他一旦让你熟悉了以后
[00:07:08 - 00:07:09] 就让你就是离不开他
[00:07:09 - 00:07:10] 就是离不开这个
[00:07:10 - 00:07:11] 你也你只能开这个
[00:07:11 - 00:07:13] 所以说有些时候我们天上看的电影里边说
[00:07:13 - 00:07:15] 这个飞机突然出现一个什么样的问题
[00:07:15 - 00:07:17] 或者说是这个
[00:07:17 - 00:07:18] 我记得后天后天
[00:07:18 - 00:07:20] 那个电影就有这么一个镜头嘛
[00:07:20 - 00:07:21] 对吧
[00:07:21 - 00:07:22] 说那个飞机去个副驾驶
[00:07:22 - 00:07:23] 身后开
[00:07:23 - 00:07:23] 然后的话
[00:07:23 - 00:07:25] 那人说我刚拿了这个飞机架照
[00:07:25 - 00:07:26] 然后我去当那个副驾驶
[00:07:26 - 00:07:28] 其实这个在我们人潮生活当中
[00:07:28 - 00:07:30] 这种事是根本不可能发生的
[00:07:30 - 00:07:31] 对
[00:07:31 - 00:07:33] 因为它根本就不知道那些剑都是干嘛的
[00:07:33 - 00:07:33] 对
[00:07:33 - 00:07:34] 你看我们经常说
[00:07:34 - 00:07:36] 我们坐冰行飞机的时候说
