BV号：BV1qgizYKEJo
标题：BV1qgizYKEJo
链接：https://www.bilibili.com/video/BV1qgizYKEJo
识别语言：zh
语言置信度：1
分段数：58
生成时间：2026-04-03 07:20:09

[00:00:00 - 00:00:02] 就我们经常说说一个孩子适合什么样的
[00:00:02 - 00:00:04] 比如说是不适合公园
[00:00:04 - 00:00:04] 是不是合这
[00:00:04 - 00:00:05] 是不是合那
[00:00:05 - 00:00:08] 我们讲适合不适合的前提是什么
[00:00:08 - 00:00:10] 我们讲一个孩子是不是合体制内
[00:00:10 - 00:00:11] 是不是合这
[00:00:11 - 00:00:11] 是不是合那的
[00:00:11 - 00:00:14] 是不是合的前提是
[00:00:14 - 00:00:18] 他C不期待有所谓更牛逼的发展
[00:00:18 - 00:00:21] 如果说我进到体制内有更好的发展
[00:00:21 - 00:00:22] 那就发展没有更好的发展
[00:00:22 - 00:00:24] 我觉得这是对我来讲
[00:00:24 - 00:00:26] 是一份稳定的工作我能接受
[00:00:26 - 00:00:28] 那你就不用考虑适合不适合
[00:00:28 - 00:00:31] 但如果说这个孩子心还是比较大的
[00:00:31 - 00:00:33] 他还是希望能够自己将来有一个怎么样
[00:00:33 - 00:00:34] 怎么样怎么样
[00:00:34 - 00:00:36] 对于自己的未来期待比较高的
[00:00:36 - 00:00:38] 那你要讲适合不适合
[00:00:38 - 00:00:40] 你对于你自己未来期待没有那么高
[00:00:40 - 00:00:41] 你就不用讲适合不适合
[00:00:41 - 00:00:43] 他就是一份工作而已
[00:00:43 - 00:00:44] 大家听懂了吗
[00:00:44 - 00:00:45] 就有很多家长说
[00:00:45 - 00:00:47] 我们家怎么怎么地道
[00:00:47 - 00:00:49] 那如果说你要考虑说
[00:00:49 - 00:00:52] 我将来特别气话有比较大的发展
[00:00:52 - 00:00:53] 那你要考虑适合不适合
[00:00:53 - 00:00:55] 要考虑各种各样的因素
[00:00:55 - 00:00:57] 但如果说你本身没有那么大的
[00:00:57 - 00:00:58] 就是相对来讲
[00:00:58 - 00:00:59] 就是我跟大家说
[00:00:59 - 00:01:01] 所谓的佛系和不佛
[00:01:01 - 00:01:03] 它不矛盾
[00:01:03 - 00:01:03] 能明白吧
[00:01:03 - 00:01:04] 就比如说
[00:01:04 - 00:01:05] 你想拿我来做公司来讲
[00:01:05 - 00:01:06] 我做公司
[00:01:06 - 00:01:09] 如果说我能做成全球牛逼
[00:01:09 - 00:01:11] 我能做成全国首富
[00:01:11 - 00:01:12] 对吧
[00:01:12 - 00:01:13] 这是我的目标吗
[00:01:13 - 00:01:15] 说我要做这个行业里边
[00:01:15 - 00:01:16] 全国第一最牛逼的那个
[00:01:16 - 00:01:17] 我要上市
[00:01:17 - 00:01:19] 这是我的目标吗
[00:01:19 - 00:01:21] 如果这是我的目标的话
[00:01:21 - 00:01:23] 那我就要考虑我怎么做
[00:01:23 - 00:01:25] 才能达到我的目标
[00:01:25 - 00:01:26] 我能不能达到我的目标
[00:01:26 - 00:01:28] 我怎么做才能达到我农边
[00:01:28 - 00:01:31] 但是我本身是随缘的
[00:01:31 - 00:01:35] 我就把我这些人目前的工作能做好就做好
[00:01:35 - 00:01:39] 如果真的能做到全国第一说能做到上市能做到怎么样的话
[00:01:39 - 00:01:40] 那更好
[00:01:40 - 00:01:43] 你看我心态是相对比较佛的
[00:01:43 - 00:01:44] 那你就不用考虑适合不适合
