BV号：BV1XD4y1r7ke
标题：BV1XD4y1r7ke
链接：https://www.bilibili.com/video/BV1XD4y1r7ke
识别语言：zh
语言置信度：1
分段数：28
生成时间：2026-04-03 17:13:59

[00:00:00 - 00:00:02] 见到这个专业可以考虑一下跑路
[00:00:02 - 00:00:04] 我给大家介绍一下行政管理这个专业
[00:00:04 - 00:00:07] 我们正常来讲专业有学朔和专措之分
[00:00:07 - 00:00:09] 研究中学朔和专措之分
[00:00:09 - 00:00:11] 行政管理它是考不了专措的
[00:00:11 - 00:00:12] 因为它行政管理的专业说是
[00:00:12 - 00:00:13] 叫公共管理说是
[00:00:13 - 00:00:16] 它要求有三经公众经验才能去报
[00:00:16 - 00:00:18] 也就意味着孩子如果现在你生了本科
[00:00:18 - 00:00:19] 你要去考研的话
[00:00:19 - 00:00:21] 你只能考行政管理的学朔
[00:00:21 - 00:00:23] 考研的话它有5个2G和1选
[00:00:23 - 00:00:24] 分别叫做行政管理
[00:00:24 - 00:00:25] 劳动力收荷保障
[00:00:25 - 00:00:27] 社会医疗事业与公共威能事业管理
[00:00:27 - 00:00:28] 教育经济与管理
[00:00:28 - 00:00:29] 还有一个叫土地隆院管理
[00:00:29 - 00:00:31] 其中土地隆院管理的话
[00:00:31 - 00:00:33] 大多数院校可能会要求考数学
[00:00:33 - 00:00:35] 社会医疗事业与公共威能事业管理的话
[00:00:35 - 00:00:37] 这个专业大多数在一科大学开
[00:00:37 - 00:00:39] 部分综合类高校也有开
[00:00:39 - 00:00:40] 比如像中国人民大学
[00:00:40 - 00:00:41] 它虽然没有医学院
[00:00:41 - 00:00:44] 但是它也有社会医疗事业与公共威能事业管理这个专业
[00:00:44 - 00:00:46] 剩下三个专业它都可以报
[00:00:46 - 00:00:47] 那像教育经济与管理的话
[00:00:47 - 00:00:48] 着在十分类
