BV号：BV1mi9uYmE8d
标题：BV1mi9uYmE8d
链接：https://www.bilibili.com/video/BV1mi9uYmE8d
识别语言：zh
语言置信度：1
分段数：89
生成时间：2026-04-03 05:47:18

[00:00:00 - 00:00:03] 他现在在行中的排名大概是6 700吧
[00:00:03 - 00:00:05] 正常情况下就是6 700
[00:00:05 - 00:00:06] 这个孩子有一个特点
[00:00:06 - 00:00:08] 那你这个孩子很强的
[00:00:08 - 00:00:10] 他就是比如说我稍微退步点了
[00:00:10 - 00:00:12] 我稍微努力我就提上来了
[00:00:12 - 00:00:13] 但是我提上来以后
[00:00:13 - 00:00:14] 我又我觉得还是这样
[00:00:14 - 00:00:16] 就他没有说想再往前冲一冲
[00:00:16 - 00:00:18] 他化学成绩为什么一直这样
[00:00:18 - 00:00:20] 其他就说我就不喜欢化学
[00:00:20 - 00:00:21] 不想学化学
[00:00:21 - 00:00:23] 所以说他就一直冲不到前面去
[00:00:23 - 00:00:25] 跟刚才那个不想学外语
[00:00:25 - 00:00:26] 那个不一样吗
[00:00:26 - 00:00:27] 就是有的时候真是这样
[00:00:27 - 00:00:29] 就包括说你看你上学
[00:00:29 - 00:00:30] 你看同学你看你上学的时候
[00:00:30 - 00:00:31] 你说老师
[00:00:31 - 00:00:32] 我不喜欢化学
[00:00:32 - 00:00:33] 我不想学它
[00:00:33 - 00:00:38] 是谁都不喜欢跟自己不喜欢的那个东西
[00:00:38 - 00:00:39] 打交道
[00:00:39 - 00:00:41] 但是他能决定你的未来
[00:00:41 - 00:00:43] 你就要去好好感动想土
[00:00:43 - 00:00:44] 包括说你在工作上
[00:00:44 - 00:00:45] 真的各位朋友
[00:00:45 - 00:00:46] 来 我问一个问题
[00:00:46 - 00:00:47] 我们直播间的家长各位朋友
[00:00:47 - 00:00:48] 你在工作当中
[00:00:48 - 00:00:50] 难道你遇到的每一位同事
[00:00:50 - 00:00:52] 每一位合作伙伴你都喜欢的
[00:00:52 - 00:00:53] 不是的吧
[00:00:53 - 00:00:53] 但是你会发现
[00:00:53 - 00:00:55] 往往你这个同事也好
[00:00:55 - 00:00:56] 或者你这个工作伙伴也好
[00:00:56 - 00:00:59] 他会能决定你这个事能不能做成
[00:00:59 - 00:01:03] 你很勇敢的就得所謂的忍著跟他去接觸去相處
[00:01:03 - 00:01:06] 而往往呢你發現一個什麼樣的問題了嗎
[00:01:06 - 00:01:09] 就是一個你不喜歡的事情不喜歡的人
[00:01:09 - 00:01:10] 你去了解了以後的話
[00:01:10 - 00:01:13] 你會發現好像跟你想像的不一樣
[00:01:13 - 00:01:15] 你真真接觸下的一塊發現
[00:01:15 - 00:01:17] 哎竟然其他蠻蠻可愛的
[00:01:17 - 00:01:18] 他有他自己的優點
[00:01:18 - 00:01:20] 其實確實
[00:01:20 - 00:01:20] 真是這樣
[00:01:20 - 00:01:22] 所以說的話就是
[00:01:22 - 00:01:24] 就包括說這個東西有可能有講到關於用人
[00:01:24 - 00:01:26] 我在我們公司就是這樣子
[00:01:26 - 00:01:27] 我从来就是
[00:01:27 - 00:01:29] 我不觉得我们公司有幻缘工
[00:01:29 - 00:01:32] 它只有它的思想或能力达不到
[00:01:32 - 00:01:34] 但是你要用好这个人的强项
[00:01:34 - 00:01:36] 你看他的强项
[00:01:36 - 00:01:37] 你看他你能跟他学习的地方
[00:01:37 - 00:01:38] 你就会很好
[00:01:38 - 00:01:41] 所以说你面对化学这个学科也是一样的
[00:01:41 - 00:01:43] 你虽然说他现在说你不喜欢他
[00:01:43 - 00:01:44] 但是你跟他如果相处好了
[00:01:44 - 00:01:46] 他能决定让你上的更好的大学
[00:01:46 - 00:01:48] 能让你到更高的平台
[00:01:48 - 00:01:50] 有更高的见识
[00:01:50 - 00:01:51] 那我在惹他半年
[00:01:51 - 00:01:53] 我觉得还是值得的
[00:01:53 - 00:01:55] 如果说我在惹化学这半年
[00:01:55 - 00:01:58] 我就能上到比如说比如我不知道这孩子有什么理想
[00:01:58 - 00:02:00] 有什么想去哪上学
[00:02:00 - 00:02:01] 老实说我想去南京大学
[00:02:01 - 00:02:02] 我也想去东南大学
[00:02:02 - 00:02:04] 孩子你再忍半年
[00:02:04 - 00:02:07] 你就可以到南京的东南大学去上学
[00:02:07 - 00:02:09] 你要是不忍着半年的话
[00:02:09 - 00:02:11] 你只能到其他学校
[00:02:11 - 00:02:13] 但是你忍着半年你就能去南京
[00:02:13 - 00:02:14] 你要不要忍着半年
[00:02:14 - 00:02:15] 我觉得忍着半年是值的
[00:02:15 - 00:02:18] 所以说我如果说有一个更好的一个结果
[00:02:18 - 00:02:19] 告诉我说你忍一忍
[00:02:19 - 00:02:21] 忍一忍就好了
[00:02:21 - 00:02:21] 我可以忍
[00:02:21 - 00:02:23] 因为他也没有那么痛苦
[00:02:23 - 00:02:24] 他也不是要我的尿
[00:02:24 - 00:02:25] 对不对
[00:02:25 - 00:02:27] 但是你我收尾点一下
[00:02:27 - 00:02:28] 我就别搞了
[00:02:28 - 00:02:29] 为什么不能
[00:02:29 - 00:02:30] 值啊
[00:02:30 - 00:02:30] 对吧
