BV号：BV1Lb4y1r7aN
标题：BV1Lb4y1r7aN
链接：https://www.bilibili.com/video/BV1Lb4y1r7aN
识别语言：zh
语言置信度：1
分段数：51
生成时间：2026-04-03 22:51:37

[00:00:00 - 00:00:02] 大家好我上學習邊的共和國的張雪芳老師
[00:00:02 - 00:00:05] 這幾天我們的奧運艦在東京努力拼搏
[00:00:05 - 00:00:06] 為國爭光
[00:00:06 - 00:00:08] 讓義勇軍進行取在東京的上空
[00:00:08 - 00:00:11] 循環播放實在是大快人心
[00:00:11 - 00:00:13] 我前幾天在微博上問大家
[00:00:13 - 00:00:15] 你的專業能為奧運會做什麼
[00:00:15 - 00:00:17] 大家的回覆也是五花八門
[00:00:17 - 00:00:18] 我們來看一下
[00:00:18 - 00:00:20] 有一個網友就表示
[00:00:20 - 00:00:21] 說運動康復的表示
[00:00:21 - 00:00:22] 專業對口了
[00:00:22 - 00:00:24] 確實專業對口了
[00:00:24 - 00:00:26] 運動員比賽完一天以後的話
[00:00:26 - 00:00:27] 就需要咱們專業
[00:00:27 - 00:00:29] 去讓他們稍微放鬆一下
[00:00:29 - 00:00:32] 因为有的运动员第二天第三天还有持续作战的
[00:00:32 - 00:00:32] 对吧
[00:00:32 - 00:00:36] 好一块往上说对一些人进行思想争执教育
[00:00:36 - 00:00:38] 这个其实我觉得也是也很有必要的
[00:00:38 - 00:00:40] 因为你像有些运动员呢
[00:00:40 - 00:00:43] 他在比赛前的思想包袱比较重啊
[00:00:43 - 00:00:44] 就担心打不好啊
[00:00:44 - 00:00:45] 担心比不好啊
[00:00:45 - 00:00:47] 这个会有仗的思想包袱
[00:00:47 - 00:00:49] 我觉得你这个专业还真的挺有用的
[00:00:49 - 00:00:50] 好一块往上说
[00:00:50 - 00:00:52] 上场单不能完全上场指导
[00:00:52 - 00:00:53] 但不能完全指导
[00:00:53 - 00:00:56] 那我猜你应该是起于教育专业了
[00:00:56 - 00:00:58] 虽然说咱们不能上场
[00:00:58 - 00:01:00] 咱们不能所谓的去当教练
[00:01:00 - 00:01:03] 但是咱们可以教一些小朋友
[00:01:03 - 00:01:06] 让他们对体育更产生兴趣
[00:01:06 - 00:01:08] 说不定咱们将来的奥运冠军
[00:01:08 - 00:01:10] 就是你给启蒙的
[00:01:10 - 00:01:11] 还有帮帮我说
[00:01:11 - 00:01:13] 撤一个举重杠林的螺丝
[00:01:13 - 00:01:16] 大概率你应该学的是机械吧
[00:01:16 - 00:01:18] 好像你这个有点硬靠的感觉
[00:01:19 - 00:01:20] 但是每一个专业都有用
[00:01:20 - 00:01:21] 可以看得出来
[00:01:21 - 00:01:23] 大家的专业还真的是非常的广
[00:01:23 - 00:01:25] 虽然说我们无法清零比赛
[00:01:25 - 00:01:27] 现场为他们提供帮助
[00:01:27 - 00:01:30] 但是我們也可以坐在家中為他們吶喊助威
[00:01:30 - 00:01:33] 也希望我們道運界在外保護好自己
[00:01:33 - 00:01:36] 無論摘金多元還是名次如何
[00:01:36 - 00:01:38] 你們都是國家的驕傲
[00:01:38 - 00:01:39] 見見更更平平安的回來
[00:01:39 - 00:01:41] 還是我們最期盼的事
