BV号：BV13j411X7xE
标题：BV13j411X7xE
链接：https://www.bilibili.com/video/BV13j411X7xE
识别语言：zh
语言置信度：1
分段数：77
生成时间：2026-04-03 15:10:15

[00:00:00 - 00:00:02] 看就業選專業這一點
[00:00:02 - 00:00:03] 咱們其實已經說過很多次了
[00:00:03 - 00:00:05] 不管是985、221還是雙業流
[00:00:05 - 00:00:08] 最終看的還是孩子未來的就業和發展
[00:00:08 - 00:00:11] 那怎麼判斷一個專業就業好不好呢
[00:00:11 - 00:00:13] 很簡單就是跟著國家的政客走的專業
[00:00:13 - 00:00:15] 未來發展肯定是差不了
[00:00:15 - 00:00:18] 比如說從去年20大到今年兩會
[00:00:18 - 00:00:19] 國家一致強調對外開放
[00:00:19 - 00:00:23] 未來向外語外貌社外法制這塊的畢業生
[00:00:23 - 00:00:26] 大概率就是能遲到政策紅利的內部人了
[00:00:26 - 00:00:28] 提到對外開放大家想到哪了
[00:00:28 - 00:00:29] 廣東對不對
[00:00:29 - 00:00:31] 那么今天给大家介绍的这所大学就是广东
[00:00:31 - 00:00:34] 来自华南对外人才派的龙头高手之一
[00:00:34 - 00:00:37] 化成华南地区第一外国语院校的
[00:00:37 - 00:00:39] 广东外语外貌大学
[00:00:39 - 00:00:40] 有的同学会说
[00:00:40 - 00:00:43] 说外语专业全国到处有必要专门上原类大学吗
[00:00:43 - 00:00:44] 那你一定想一想
[00:00:44 - 00:00:48] 一所综合类大学它能把多少资源投入到外语上来
[00:00:48 - 00:00:49] 不是很多对吧
[00:00:49 - 00:00:55] 但是一所原类的院校可是要倾全校之力来建设外语学科的
[00:00:55 - 00:00:57] 其他学校可没有这种重视成立
[00:00:57 - 00:01:00] 广外的外国语言文学学科
[00:01:00 - 00:01:03] 在第四轮学科评估里面被评为A级
[00:01:03 - 00:01:05] 在最新的软科排名里是全国第四
[00:01:05 - 00:01:08] 已经超过了一大批综合类的985高手
[00:01:08 - 00:01:12] 它还是全球19所向联合国提供
[00:01:12 - 00:01:14] 高端翻译人才的大学之一
[00:01:14 - 00:01:17] 这种平台一般大学它可给不了
[00:01:17 - 00:01:19] 而且广外也不光是外语厉害
[00:01:19 - 00:01:22] 外贸方面它是全国国际经济
[00:01:22 - 00:01:24] 与贸易学科的创始单位之一
[00:01:24 - 00:01:26] 在社外法治人才方面
[00:01:26 - 00:01:29] 它建立了全国首家社外律师学院
[00:01:29 - 00:01:30] 还有全国首家
[00:01:30 - 00:01:33] 岳港澳大湾区的国际仲裁学院
[00:01:33 - 00:01:36] 可以说是对外开放的各个环节上
[00:01:36 - 00:01:38] 基本上都给它的毕业生留了位置
[00:01:38 - 00:01:41] 那么一所对外特色鲜明的高校
[00:01:41 - 00:01:42] 国际化程度自然也不会低
[00:01:42 - 00:01:47] 广外目前有各类出国出境交流项目有260多个
[00:01:47 - 00:01:49] 每年有1000多人次的学生去交流
[00:01:49 - 00:01:52] 是一个年级人数的五分之一以上
[00:01:52 - 00:01:55] 而且学校还设立了专门的项目和奖区金
[00:01:55 - 00:01:57] 项目最高自助20万元
[00:01:57 - 00:01:59] 奖学金也有3万元
[00:01:59 - 00:02:00] 这种支持力度也是很多
[00:02:00 - 00:02:02] 综合型大学所比不了的
[00:02:02 - 00:02:04] 最后也是大家最关心的
[00:02:04 - 00:02:05] 广外的就业好不好呢
[00:02:05 - 00:02:06] 相当好
[00:02:06 - 00:02:09] 它的就业率长期保持在95%以上
[00:02:09 - 00:02:11] 平均月薪也是一直在全国的前列
[00:02:11 - 00:02:15] 2021年毕业生平均月薪10241元
[00:02:15 - 00:02:16] 1万多块钱
[00:02:16 - 00:02:19] 全国第十广东第一
[00:02:19 - 00:02:21] 去年又涨到了1156元
[00:02:21 - 00:02:22] 就是1万1000多
[00:02:22 - 00:02:25] 那么这种发展前景和就业新厨的
[00:02:25 - 00:02:26] 至少也是双一楼的水准
[00:02:26 - 00:02:27] 甚至还要更高
[00:02:27 - 00:02:30] 这也是往年不少高峰考生选择
[00:02:30 - 00:02:31] 广外的原因之一
[00:02:31 - 00:02:32] 那么现在
[00:02:32 - 00:02:34] 广东正在搞五外联动
[00:02:34 - 00:02:37] 广外它的社外学科优势
[00:02:37 - 00:02:38] 它丰富的国际资源
[00:02:38 - 00:02:40] 还有它富与家专业
[00:02:40 - 00:02:43] 专业家外与外与家计算机
[00:02:43 - 00:02:45] 这种海洋方面的优势
[00:02:45 - 00:02:48] 都能和外贸 外资 外包 外金 外制
[00:02:48 - 00:02:50] 这五外紧密结合
[00:02:50 - 00:02:53] 等于是在这条赛道上快人一步了
[00:02:53 - 00:02:54] 想要抓住这个风口的同学
[00:02:54 - 00:02:57] 不妨多关注一下这所大学
