BV号：BV1wr4y167SM
标题：BV1wr4y167SM
链接：https://www.bilibili.com/video/BV1wr4y167SM
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-03 20:18:50

[00:00:00 - 00:00:01] 可是我们现在也在干什么
[00:00:01 - 00:00:02] 各位家长 各位朋友们
[00:00:02 - 00:00:03] 现在也在干的事
[00:00:03 - 00:00:04] 叫什么
[00:00:04 - 00:00:05] 以下两点
[00:00:05 - 00:00:06] 第一点
[00:00:06 - 00:00:06] 各位家长特别口说
[00:00:06 - 00:00:08] 这一节我们有写在上面
[00:00:08 - 00:00:09] 各位家长特别口说
[00:00:09 - 00:00:10] 第一个事
[00:00:10 - 00:00:10] 我拜托你们
[00:00:10 - 00:00:11] 你们在报价的时候
[00:00:11 - 00:00:12] 我求求你们了
[00:00:12 - 00:00:12] 好不好
[00:00:12 - 00:00:13] 我求求你们
[00:00:13 - 00:00:16] 不管再不再往这报价
[00:00:16 - 00:00:17] 孩子和家长
[00:00:17 - 00:00:18] 第一个事
[00:00:18 - 00:00:20] 相互理解很重要
[00:00:20 - 00:00:24] 不叫相互理解
[00:00:24 - 00:00:25] 我跟大家说实话
[00:00:25 - 00:00:27] 我每天报价都能看着家长和孩子
[00:00:27 - 00:00:31] 干点苦
[00:00:31 - 00:00:32] 哎呀
[00:00:32 - 00:00:42] 我干嘛呀
[00:00:42 - 00:00:43] 各位口说
[00:00:43 - 00:00:44] 我先跟你们说一句话
[00:00:44 - 00:00:45] 什么呢
[00:00:45 - 00:00:46] 你要理解你的父母
[00:00:47 - 00:00:49] 但各位家长我也寻寻你们
[00:00:49 - 00:00:50] 你理解一下孩子
[00:00:51 - 00:00:54] 现在的孩子跟你当孩子的时候不一样了
[00:00:55 - 00:00:58] 你当孩子的时候
[00:00:58 - 00:01:00] 现在的孩子出生于互联网时代
[00:01:01 - 00:01:11] 有了互联网他们可以再往
[00:01:11 - 00:01:12] 第二点
[00:01:12 - 00:01:15] 你们两个水平其实
[00:01:15 - 00:01:16] 一平不不满半平都逛了
[00:01:17 - 00:01:18] 半天八两
[00:01:18 - 00:01:19] 我讲了半天你发现你们懂吗
[00:01:19 - 00:01:20] 你们根本就懂
[00:01:23 - 00:01:24] 你以为你以为
