BV号：BV18ZEFzEEDB
标题：BV18ZEFzEEDB
链接：https://www.bilibili.com/video/BV18ZEFzEEDB
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-03 04:55:17

[00:00:00 - 00:00:03] 张老师我想问一下就是那个法学
[00:00:03 - 00:00:09] 我看那个本科专业目录里面那上面那个法学类没有那个社会工作
[00:00:09 - 00:00:11] 本来就没有社会工作啊家长
[00:00:11 - 00:00:15] 但是小孩在学校拿回来一个招生艇
[00:00:15 - 00:00:18] 那上面就是他的学生社会工作
[00:00:18 - 00:00:21] 至于那个学位是法学学士
[00:00:21 - 00:00:25] 家长受法学学位但他不是法学类
[00:00:25 - 00:00:27] 来我给家长科普一下
[00:00:27 - 00:00:28] 这是我们中国本科专业目录
[00:00:28 - 00:00:30] 大家注意一下啊
[00:00:30 - 00:00:32] 他有一个六位数字代码
[00:00:32 - 00:00:34] 前两位数字就代表着
[00:00:34 - 00:00:35] 他叫学科门类
[00:00:35 - 00:00:37] 来加长看啊
[00:00:37 - 00:00:39] 法学类叫03
[00:00:39 - 00:00:40] 03
[00:00:40 - 00:00:41] 03
[00:00:41 - 00:00:42] 03
[00:00:42 - 00:00:42] 03
[00:00:42 - 00:00:43] 03
[00:00:43 - 00:00:45] 也就是说法学类
[00:00:45 - 00:00:46] 政治学类
[00:00:46 - 00:00:47] 社会学类
[00:00:47 - 00:00:48] 民族学类
[00:00:48 - 00:00:49] 马克思主义理论类
[00:00:49 - 00:00:51] 和公安学类
[00:00:51 - 00:00:55] 这六类专业都是授予法学学位
[00:00:55 - 00:00:56] 知道吧
[00:00:56 - 00:00:58] 这叫法学类
[00:00:58 - 00:01:03] 他这些专业叫做受于法学学位的非法学类
[00:01:03 - 00:01:09] 你说的社会工作叫做受于法学学位的非法学类专业
[00:01:09 - 00:01:09] 听懂了吗
[00:01:09 - 00:01:12] 他可不能考虑是杰斯格证啊
[00:01:12 - 00:01:14] 这个是受于法学学位
[00:01:14 - 00:01:16] 但是不能考虑是杰斯格证
[00:01:16 - 00:01:18] 不能考反解系统公员
