BV号：BV1HK41117sb
标题：BV1HK41117sb
链接：https://www.bilibili.com/video/BV1HK41117sb
识别语言：zh
语言置信度：1
分段数：39
生成时间：2026-04-03 16:33:43

[00:00:00 - 00:00:01] 你如果要是想出国的话
[00:00:01 - 00:00:03] 将来想出国去督言
[00:00:03 - 00:00:04] 关键是看三方面
[00:00:04 - 00:00:05] 一要看一下你的院校档次
[00:00:05 - 00:00:07] 你的本科院校档次
[00:00:07 - 00:00:08] 这是第一要看的
[00:00:08 - 00:00:09] 然后第二要看的是什么呢
[00:00:09 - 00:00:10] 你的本科比较平均纪点
[00:00:10 - 00:00:12] 平均纪点就相当于你的
[00:00:12 - 00:00:14] 这个本科阶段的成绩
[00:00:14 - 00:00:15] 因为大学的时候
[00:00:15 - 00:00:16] 它是给你算纪点的
[00:00:16 - 00:00:18] 每个学校算纪点的方法不一样
[00:00:18 - 00:00:19] 所以说的话呢
[00:00:19 - 00:00:21] 就是你孩子上了大学以后
[00:00:21 - 00:00:22] 不要觉得说
[00:00:22 - 00:00:23] 哎呀 我把孩子送进大学了
[00:00:23 - 00:00:25] 我所有的事都可以轻松了
[00:00:25 - 00:00:26] 这怎么怎么样的
[00:00:26 - 00:00:27] 因为将来这孩子找不着工作
[00:00:27 - 00:00:28] 他找谁啊
[00:00:28 - 00:00:29] 他不找我 他找你啊
[00:00:29 - 00:00:29] 对不对
[00:00:29 - 00:00:30] 所以说的话呢
[00:00:30 - 00:00:31] 你在上大学以后的话
[00:00:31 - 00:00:32] 一定要看一下这个学校
[00:00:32 - 00:00:34] 基点是怎么算的
[00:00:34 - 00:00:34] 这个学校
[00:00:34 - 00:00:36] 转专业是怎么转的
[00:00:36 - 00:00:37] 如果说你的专业不是很理想的话
[00:00:37 - 00:00:38] 你转专业是怎么转的
[00:00:38 - 00:00:39] 这个一定要去看一下
[00:00:39 - 00:00:40] 第三个呢
[00:00:40 - 00:00:41] 就是你的外语能力
[00:00:41 - 00:00:43] 前两点会更加重要一些
[00:00:43 - 00:00:44] 如果说你大学期间
[00:00:44 - 00:00:46] 院校导师不搞你基点很厚
[00:00:46 - 00:00:48] 你在实际上出国读研的时候
[00:00:48 - 00:00:50] 你的院校导师也不一定能高到哪里去
