BV号：BV12r4y1J7gb
标题：BV12r4y1J7gb
链接：https://www.bilibili.com/video/BV12r4y1J7gb
识别语言：zh
语言置信度：1
分段数：79
生成时间：2026-04-03 19:38:02

[00:00:00 - 00:00:02] 张老师,请问快机转行怎么转
[00:00:02 - 00:00:05] 呃,只能,你只能转那些没有门槛的
[00:00:05 - 00:00:07] 大家记住啊,你所谓的转行的这种问题的话
[00:00:07 - 00:00:11] 你最后转的都是那些所谓的没有门槛的岗位
[00:00:11 - 00:00:13] 没有门槛的职业
[00:00:13 - 00:00:14] 比如像销售这种
[00:00:14 - 00:00:17] 啊,这一般销售啊,文案啊,策划啊
[00:00:17 - 00:00:18] 你只能去转这种
[00:00:18 - 00:00:20] 而且的话,你需要前期一定的积累
[00:00:20 - 00:00:22] 就是大家你在找工作的时候,一道注意
[00:00:22 - 00:00:23] 不要太急
[00:00:23 - 00:00:25] 就是很多人就说,说张老师,我现在
[00:00:25 - 00:00:28] 我,我着急养活起自己,对吧
[00:00:28 - 00:00:29] 呃,就是我怎么说呢
[00:00:29 - 00:00:33] 就是,呃,你一个月挣5000有5000的活法
[00:00:33 - 00:00:34] 一个月挣8000有8000的活法
[00:00:34 - 00:00:36] 一个月挣1万有1万的活法
[00:00:36 - 00:00:38] 你在找工作的时候你不能说张老师
[00:00:38 - 00:00:39] 我一个月需要1万
[00:00:39 - 00:00:41] 所以说没有1万我不干
[00:00:41 - 00:00:43] 那你永远都找不到工作
[00:00:43 - 00:00:44] 知道吧,你永远都找不到工作
[00:00:44 - 00:00:47] 而是说你要匹配自己的能力
[00:00:47 - 00:00:49] 你现在的能力是值多少钱的
[00:00:49 - 00:00:51] 那人家给你有这样的一个工作
[00:00:51 - 00:00:52] 让你有机会去学
[00:00:52 - 00:00:54] 因为你不用转型了,那么对吧
[00:00:54 - 00:00:56] 让你有机会去学就已经很
[00:00:56 - 00:00:57] 已经不容易了
[00:00:57 - 00:00:58] 所以说的话如果说
[00:00:58 - 00:01:01] 你遇到你想做的那个工作
[00:01:01 - 00:01:03] 刚开始的时候需要你有一定的积累
[00:01:03 - 00:01:06] 一个月只有5000块钱 6000块钱 7000块钱
[00:01:06 - 00:01:07] 你说老说我的目标是10000
[00:01:07 - 00:01:08] 那您目标是10000
[00:01:08 - 00:01:10] 不是说你现在直接要找一个10000的工作
[00:01:10 - 00:01:11] 能理解吧
[00:01:11 - 00:01:14] 所以说一定要学会去让自己前期的生活
[00:01:14 - 00:01:17] 没有那么看起来没有那么幸福
[00:01:17 - 00:01:19] 就是说你要有一定积累的
[00:01:19 - 00:01:21] 这一定是要有一定积累的
[00:01:21 - 00:01:21] 知道吧
[00:01:21 - 00:01:23] 你像我当年我在做的时候
[00:01:23 - 00:01:24] 我给大家分享一下我自己当年
[00:01:24 - 00:01:25] 我自己当年的话
[00:01:25 - 00:01:28] 我基本公司最刚刚写的时候2500
[00:01:28 - 00:01:28] 一个月
[00:01:29 - 00:01:30] 然后的话当时我讲课
[00:01:30 - 00:01:31] 大家可能也在网上
[00:01:31 - 00:01:33] 经常看到我一些的讲课对吧
[00:01:33 - 00:01:33] 我在网上讲课
[00:01:33 - 00:01:35] 当就是我在市面上讲课
[00:01:35 - 00:01:37] 我当时一场课时费
[00:01:37 - 00:01:38] 只有100块钱
[00:01:38 - 00:01:40] 我一场课时费只有100块钱
[00:01:40 - 00:01:41] 但是的话我很感谢
[00:01:41 - 00:01:43] 刚开始给我工作的这个企业
[00:01:43 - 00:01:45] 能让我有这个机会
[00:01:45 - 00:01:47] 能让我走向讲台
[00:01:47 - 00:01:47] 知道吧
[00:01:47 - 00:01:49] 能让我去做这份工作
[00:01:49 - 00:01:51] 然后我在做这份工作期间
[00:01:51 - 00:01:52] 往慢慢慢慢积累我的经验
[00:01:52 - 00:01:54] 然后一步一步往上走
[00:01:54 - 00:01:55] 大家你要知道这个很多时候
[00:01:55 - 00:01:57] 真的不是一蹴而究的
[00:01:57 - 00:01:58] 你看到那个成功的人
[00:01:58 - 00:02:00] 他不是一醋而就的
[00:02:00 - 00:02:01] 你不能只看贼吃肉
[00:02:01 - 00:02:02] 不计贼哀打
[00:02:02 - 00:02:04] 他中间经历过的这个过程
[00:02:04 - 00:02:06] 你想少走弯路
[00:02:06 - 00:02:07] 很难少走弯路的
[00:02:07 - 00:02:08] 非常难少走弯路
[00:02:08 - 00:02:09] 除非说怎么样
[00:02:09 - 00:02:11] 除非说你的学历足够高
[00:02:11 - 00:02:12] 你的学习能力足够强
[00:02:12 - 00:02:13] 你可以少走弯路
[00:02:13 - 00:02:14] 否则真的很难少走弯路的
