BV号：BV1oq4y1z7Qz
标题：BV1oq4y1z7Qz
链接：https://www.bilibili.com/video/BV1oq4y1z7Qz
识别语言：zh
语言置信度：1
分段数：44
生成时间：2026-04-03 21:35:24

[00:00:00 - 00:00:02] 大家好我上學習變得更快樂的張雪鋒老師
[00:00:02 - 00:00:03] 那前段時間呢
[00:00:03 - 00:00:07] 我國的深洲13號飛船成功的發射進駐了台空
[00:00:07 - 00:00:12] 王雅平女士也作為我國首位進行出艙活動的女航天員
[00:00:12 - 00:00:14] 邁出了艙外行走的第一步
[00:00:14 - 00:00:15] 那麼整個過程呢
[00:00:15 - 00:00:16] 我也是有關注的
[00:00:16 - 00:00:19] 包括像發射現場和出艙的直播畫面
[00:00:19 - 00:00:20] 真的是非常震撼
[00:00:20 - 00:00:23] 航空航天領域逐步的強大
[00:00:23 - 00:00:25] 可以說為我們國家的高速發展
[00:00:25 - 00:00:27] 畫下了非常濃重色彩的一筆
[00:00:27 - 00:00:32] 因为发射一个火箭所涉及的东西是非常非常多的
[00:00:32 - 00:00:33] 你要考虑它的耐热性
[00:00:33 - 00:00:34] 耐压性
[00:00:34 - 00:00:36] 还有一些重量的因素
[00:00:36 - 00:00:37] 比如说它能不能上天呢
[00:00:37 - 00:00:38] 会不会费燃料啊
[00:00:38 - 00:00:39] 那费燃料的话
[00:00:39 - 00:00:41] 我们要用什么样的燃料
[00:00:41 - 00:00:42] 种种种的问题
[00:00:42 - 00:00:43] 那有的同学就问了说
[00:00:43 - 00:00:44] 张老师呢
[00:00:44 - 00:00:45] 我呢是有航天梦想的
[00:00:45 - 00:00:47] 我居然从事这个行业
[00:00:47 - 00:00:48] 那我就要靠北航
[00:00:48 - 00:00:49] 好家伙呢
[00:00:49 - 00:00:51] 一股脑的全往北航冲
[00:00:51 - 00:00:54] 你说肯定有人就不一定考得上去
[00:00:54 - 00:00:54] 对不对
[00:00:54 - 00:00:57] 那朋友们航空航天类的院校呢
[00:00:57 - 00:00:58] 也是有其他选择的
[00:00:58 - 00:01:02] 你就说我们原航空航天部的植所高校
[00:01:02 - 00:01:03] 哪一所实力
[00:01:03 - 00:01:04] 它都不懂小区
[00:01:04 - 00:01:07] 我们可以看到航空航天部的高校名字
[00:01:07 - 00:01:08] 还是让人一目了然的
[00:01:08 - 00:01:11] 除了上西北工业大学和哈尔滨工业大学
[00:01:11 - 00:01:14] 其他的校名都很直接的写了
[00:01:14 - 00:01:16] 航空航天这几个字
[00:01:16 - 00:01:19] 直到这些不仅植所高校都有哪些吗
[00:01:19 - 00:01:22] 评论区里的老粉可以活摇起来
[00:01:22 - 00:01:23] 参与讨论
[00:01:23 - 00:01:24] 我们下期解释了
