BV号：BV1KF4m1g7gX
标题：BV1KF4m1g7gX
链接：https://www.bilibili.com/video/BV1KF4m1g7gX
识别语言：zh
语言置信度：1
分段数：68
生成时间：2026-04-03 12:37:10

[00:00:00 - 00:00:02] 我真怕有的家长胡了八级的就觉得说
[00:00:02 - 00:00:04] 老师我第一职员报计算机
[00:00:04 - 00:00:06] 我签个并不同条计
[00:00:06 - 00:00:07] 我觉得到第二职员了
[00:00:07 - 00:00:09] 你就到第二次考大学了
[00:00:09 - 00:00:10] 不是到第二职员了
[00:00:10 - 00:00:12] 你们就复读了
[00:00:12 - 00:00:14] 来 我现在给你讲明白
[00:00:14 - 00:00:15] 无了
[00:00:15 - 00:00:19] 辽宁 山东 河北 重庆 浙江和今年的贵州
[00:00:19 - 00:00:21] 除了这六个省份以外
[00:00:21 - 00:00:22] 其他省份都有条计
[00:00:22 - 00:00:23] 有条计的省份
[00:00:23 - 00:00:25] 你就是在报第一职员
[00:00:25 - 00:00:27] 因为你如果某专业的话
[00:00:27 - 00:00:28] 你就是报第一职员
[00:00:28 - 00:00:29] 你不某专业无所谓
[00:00:29 - 00:00:30] 你不冒專業無所謂
[00:00:30 - 00:00:31] 你知道老師
[00:00:31 - 00:00:32] 我們兩個孩子上什麼專業都行
[00:00:32 - 00:00:33] 上什麼大學都行
[00:00:33 - 00:00:34] 那無所謂
[00:00:34 - 00:00:35] 你愛打抱早抱
[00:00:35 - 00:00:36] 還能不能找到什麼工作
[00:00:36 - 00:00:36] 隨緣
[00:00:36 - 00:00:38] 一切都是最好的安排
[00:00:38 - 00:00:38] 來吧
[00:00:38 - 00:00:39] 但是你說張老師
[00:00:39 - 00:00:40] 我要抱法學
[00:00:40 - 00:00:41] 我要抱計算機
[00:00:41 - 00:00:41] 好
[00:00:41 - 00:00:42] 我問你
[00:00:42 - 00:00:43] 如果這個學校
[00:00:43 - 00:00:44] 他招10個專業
[00:00:44 - 00:00:45] 法學和計算機
[00:00:45 - 00:00:46] 可能是他的最低分嗎
[00:00:46 - 00:00:47] 可能嗎
[00:00:47 - 00:00:48] 不可能
[00:00:48 - 00:00:49] 只有一種情況
[00:00:49 - 00:00:50] 法學和計算機
[00:00:50 - 00:00:51] 是這個學校的最低分
[00:00:51 - 00:00:52] 就是他只有這一個專業
[00:00:52 - 00:00:54] 他最高分最低分
[00:00:54 - 00:00:54] 都是這個專業
[00:00:54 - 00:00:55] 不可能
[00:00:55 - 00:00:56] 也就是說
[00:00:56 - 00:00:57] 法學和計算機的
[00:00:57 - 00:01:01] 入取位置一定高于这个学校的最低
[00:01:01 - 00:01:03] 入取位置对不对
[00:01:03 - 00:01:05] 那如果你计算机没有路
[00:01:05 - 00:01:08] 你贴六个专业是不是就下面的专业
[00:01:08 - 00:01:08] 给你接住了
[00:01:08 - 00:01:10] 他就不是计算机了
[00:01:10 - 00:01:12] 所以说你肯定会被第一支援
[00:01:12 - 00:01:12] 录掉
[00:01:12 - 00:01:14] 因为他下面还有别的专业
[00:01:14 - 00:01:16] 你只要不瞎这个组织
[00:01:16 - 00:01:18] 第一位次是一万位
[00:01:18 - 00:01:19] 计算机是八千位
[00:01:19 - 00:01:21] 你得七千多位抱这个
[00:01:21 - 00:01:22] 你才有可能上计算机
[00:01:22 - 00:01:22] 对吗
[00:01:22 - 00:01:24] 但是你没上的计算机
[00:01:24 - 00:01:25] 计算机涨到了七千五
[00:01:25 - 00:01:27] 他下面那个专业是八千位了
[00:01:27 - 00:01:29] 你就被下面那个转移录掉了
[00:01:29 - 00:01:30] 这回听明白了吧
[00:01:30 - 00:01:31] 就要再不明白我没办法了
