BV号：BV1Pt411n7Vu
标题：BV1Pt411n7Vu
链接：https://www.bilibili.com/video/BV1Pt411n7Vu
识别语言：zh
语言置信度：1
分段数：428
生成时间：2026-04-04 07:33:59

[00:00:00 - 00:00:02] 大家好,我是上学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:07] 在2016年的1月份,王某的驾驶别客牌小汽车
[00:00:07 - 00:00:10] 行驶代国道307的这个路上
[00:00:10 - 00:00:14] 在晚上6点半的时候发生了一起交通事故
[00:00:14 - 00:00:16] 前面有一个人骑了一个电动车
[00:00:16 - 00:00:18] 这个王某不知道是因为什么原因
[00:00:18 - 00:00:20] 可能是没开清路或者是因为各种干的原因
[00:00:20 - 00:00:25] 总之从后房直接撞向了骑电动车的这个人,贾某
[00:00:25 - 00:00:27] 这个贾某当场呢
[00:00:27 - 00:00:29] 实际上就已经发生车祸
[00:00:29 - 00:00:31] 然后已经是受到了一些伤害
[00:00:31 - 00:00:34] 按理来说我们已经发生交通造势了
[00:00:34 - 00:00:34] 对吧
[00:00:34 - 00:00:36] 这个时候应该赶紧去打电话
[00:00:36 - 00:00:37] 叫救护车
[00:00:37 - 00:00:37] 对吧
[00:00:38 - 00:00:40] 但是驾驶员王某并没有这么做
[00:00:40 - 00:00:43] 而是把受伤的甲某
[00:00:43 - 00:00:44] 抱进了车里边
[00:00:45 - 00:00:47] 然后在晚上6点半发生交通事故
[00:00:47 - 00:00:49] 将近7点的时候
[00:00:49 - 00:00:51] 它经过了那弯骨刺的区的某线
[00:00:51 - 00:00:53] 在县城转了一圈以后
[00:00:53 - 00:00:54] 过了两个小时
[00:00:54 - 00:00:57] 9点的时候又从这个线上了高速
[00:00:57 - 00:01:00] 来到了宁夏回族自治区人民医院
[00:01:00 - 00:01:01] 11点多的时候
[00:01:01 - 00:01:02] 爆达这个人民医院
[00:01:02 - 00:01:05] 他在医院的住院部门口转了一圈
[00:01:05 - 00:01:07] 然后回到车上
[00:01:07 - 00:01:10] 把受伤的假某抱进了住院部的大门口
[00:01:10 - 00:01:11] 扔到医院以后
[00:01:11 - 00:01:13] 王某驾车就走了
[00:01:13 - 00:01:16] 走了以后过了半个小时11点半
[00:01:16 - 00:01:19] 这个时候医院的人发现了受伤的假某
[00:01:19 - 00:01:20] 但是经过检查发现
[00:01:20 - 00:01:22] 假某已经死亡
[00:01:22 - 00:01:26] 死亡的原因是因为失血性修课造成的死亡
[00:01:26 - 00:01:27] 也就是说中间血流的太多了
[00:01:27 - 00:01:31] 那么最后虽然说王某得到了假某
[00:01:31 - 00:01:34] 他们这一家人的谅解也进行了积极的赔偿
[00:01:34 - 00:01:36] 但是他是犯了刑事罪
[00:01:36 - 00:01:39] 他的一些相应的罪凡是肯定逃不了的
[00:01:39 - 00:01:40] 那问题来了
[00:01:40 - 00:01:42] 当时检察院起诉的时候
[00:01:42 - 00:01:45] 是按照故意杀人罪来起诉的
[00:01:45 - 00:01:46] 但是王某说什么呢
[00:01:46 - 00:01:47] 我不是故意杀人罪
[00:01:47 - 00:01:49] 我当时给他拉到了医院去
[00:01:49 - 00:01:50] 我是想救他
