BV号：BV1Qe4y1x7Ah
标题：BV1Qe4y1x7Ah
链接：https://www.bilibili.com/video/BV1Qe4y1x7Ah
识别语言：zh
语言置信度：1
分段数：30
生成时间：2026-04-03 17:03:27

[00:00:00 - 00:00:01] 历史学的话呢
[00:00:01 - 00:00:03] 它的主要方向是有八个方向的
[00:00:03 - 00:00:04] 分别叫做中国古代史
[00:00:04 - 00:00:05] 中国新鲜代史
[00:00:05 - 00:00:08] 世界史这三个史是相对考的比较多的
[00:00:08 - 00:00:08] 历史地理学
[00:00:08 - 00:00:09] 历史文献学
[00:00:09 - 00:00:11] 考古学与博物管学
[00:00:11 - 00:00:12] 史学理论及史学系
[00:00:12 - 00:00:13] 专门史
[00:00:13 - 00:00:15] 它是分成八个二级学科
[00:00:15 - 00:00:17] 历史学是一个国家同考的专业课
[00:00:17 - 00:00:19] 只有一个二级学科是不同考的
[00:00:19 - 00:00:20] 叫做考古学举博物管学
[00:00:20 - 00:00:21] 它是不同考的
[00:00:21 - 00:00:23] 其他的专业都要进行同考
[00:00:23 - 00:00:25] 如果要当大学老师的话
[00:00:25 - 00:00:26] 你最好是在院校等级上
[00:00:26 - 00:00:28] 稍微考的高级一点
[00:00:28 - 00:00:30] 我个人建议找到一个学校
[00:00:30 - 00:00:33] 他这个学校自己这个专业上是有博士点的
[00:00:33 - 00:00:34] 你只要有博士学历下来
[00:00:34 - 00:00:37] 咱不说一些特别特别好的
[00:00:37 - 00:00:38] 特别特别牛的学校
[00:00:38 - 00:00:39] 你到一个普通的二本
[00:00:39 - 00:00:40] 普通的名班
[00:00:40 - 00:00:42] 你一个博士学历
[00:00:42 - 00:00:43] 能够到那个地方去当老师
[00:00:43 - 00:00:45] 就已经很不错
[00:00:45 - 00:00:45] 也够用了
