BV号：BV1ka4y1n72Q
标题：BV1ka4y1n72Q
链接：https://www.bilibili.com/video/BV1ka4y1n72Q
识别语言：zh
语言置信度：1
分段数：76
生成时间：2026-04-04 01:07:52

[00:00:00 - 00:00:03] 小猫呢现在是一种非常非常常见的宠物啊
[00:00:03 - 00:00:05] 现在很多人自称是西猫一族
[00:00:05 - 00:00:06] 为什么呢
[00:00:06 - 00:00:12] 他说我们能够在自家的宠猫身上来捕捉到各种各样的喜怒哀乐
[00:00:12 - 00:00:13] 有的时候呢
[00:00:13 - 00:00:14] 他很可爱
[00:00:14 - 00:00:16] 他想跟你套套进一步对吧
[00:00:16 - 00:00:18] 但是就在你要去抱他的时候呢
[00:00:18 - 00:00:20] 人就要高起来了
[00:00:20 - 00:00:21] 说啥也就不让你碰
[00:00:21 - 00:00:22] 当过后呢
[00:00:22 - 00:00:25] 你会发现你在拿冬貓棒在他面前晃的时候呢
[00:00:25 - 00:00:27] 他又会傻了啪击的来着铺向你
[00:00:27 - 00:00:30] 双脚站立的对着空气乱抓一痛
[00:00:30 - 00:00:31] 其实呢
[00:00:31 - 00:00:32] 重望不但咱们老百姓喜欢
[00:00:32 - 00:00:33] 很多名人呢
[00:00:33 - 00:00:34] 也非常喜欢
[00:00:34 - 00:00:37] 尤其是那些文学作家
[00:00:37 - 00:00:39] 他们不但是吸猫一足
[00:00:39 - 00:00:40] 他们还写猫
[00:00:40 - 00:00:43] 像法国的大作家像巴尔扎克呀
[00:00:43 - 00:00:45] 像美国的这个文豪马克托文呢
[00:00:45 - 00:00:48] 他们都曾经写过关于猫的文章和小说
[00:00:48 - 00:00:51] 而我们今天要给大家推荐的这本书呢
[00:00:51 - 00:00:55] 就是这些文学大师比下的关于那些猫的合计
[00:00:55 - 00:00:55] 叫做
[00:00:55 - 00:00:59] 一只猫的生活与哲学官
[00:00:59 - 00:01:01] 咱们一起看一下这大师比起来的猫
[00:01:01 - 00:01:02] 它有什么不一样
[00:01:02 - 00:01:05] 英国作家威廉亨利赫德逊
[00:01:05 - 00:01:07] 有一篇文章就入选在了这本书当中
[00:01:07 - 00:01:10] 叫做一只友好的老鼠
[00:01:10 - 00:01:11] 你可能会疑惑
[00:01:11 - 00:01:13] 这个不是写猫的鼠吗
[00:01:13 - 00:01:16] 怎么会写猫的食物叫的老鼠呢
[00:01:16 - 00:01:18] 故事说的是在英国的农村里边
[00:01:18 - 00:01:19] 有这么一个农妇
[00:01:19 - 00:01:22] 这个农妇平时它也无儿无女的
[00:01:22 - 00:01:23] 也挺孤单的
[00:01:23 - 00:01:25] 家里边就来了一只小老鼠
[00:01:25 - 00:01:28] 而这个农夫对于老鼠的来访并不反感
[00:01:28 - 00:01:31] 反而去给他一些食物
[00:01:31 - 00:01:34] 但是这个农夫同时还养了一只猫
[00:01:34 - 00:01:37] 大家要知道这乡下的猫不像城里
[00:01:37 - 00:01:39] 城里的猫都是猫粮
[00:01:39 - 00:01:42] 乡下的猫绝大多数都是自己出去找食物的
[00:01:42 - 00:01:43] 转一转
[00:01:43 - 00:01:43] 对吧
[00:01:43 - 00:01:45] 找不到一些大点的食物
[00:01:45 - 00:01:45] 那就怎么样
[00:01:45 - 00:01:47] 就抓一个小老鼠吃
[00:01:47 - 00:01:48] 结果突然有一天
[00:01:48 - 00:01:50] 这个猫回家的时候
[00:01:50 - 00:01:53] 就跟这个老鼠打了个正面
[00:01:53 - 00:01:53] 这猫一看
[00:01:53 - 00:01:54] 我去
[00:01:54 - 00:01:56] 家里怎么还有一只老鼠啊
[00:01:56 - 00:01:59] 这个老鼠来得回回的
[00:01:59 - 00:02:00] 这农夫也不赶他走
[00:02:00 - 00:02:03] 看来好像是家里的客人
[00:02:03 - 00:02:04] 这老鼠看见吗
[00:02:04 - 00:02:05] 他也吓了一跳你知道吧
[00:02:05 - 00:02:07] 原来没见过这只猫
[00:02:07 - 00:02:08] 突然就回来一只猫啊
[00:02:08 - 00:02:10] 他说这怎么还有一只猫啊
[00:02:10 - 00:02:11] 对吧
[00:02:11 - 00:02:12] 这两个家伙呢
[00:02:12 - 00:02:12] 你看看我
[00:02:12 - 00:02:14] 我看看你
[00:02:14 - 00:02:16] 你说这猫会不会把这个老鼠
[00:02:16 - 00:02:17] 一巴掌拍死
[00:02:17 - 00:02:18] 然后吃掉呢
[00:02:18 - 00:02:18] 哎
[00:02:18 - 00:02:20] 这后边的故事咱们
[00:02:20 - 00:02:21] 下次再给你讲
