BV号：BV1Eq4y1a7jd
标题：BV1Eq4y1a7jd
链接：https://www.bilibili.com/video/BV1Eq4y1a7jd
识别语言：zh
语言置信度：1
分段数：140
生成时间：2026-04-03 19:53:40

[00:00:00 - 00:00:02] 来 我们给大家讲一下外语类
[00:00:02 - 00:00:05] 外语类 文理兼招的一个专业
[00:00:05 - 00:00:06] 文理兼招的一个专业
[00:00:06 - 00:00:08] 像大家经常跟我说 张老师
[00:00:08 - 00:00:10] 你报纸院会给孩子报外语类吗
[00:00:10 - 00:00:12] 会 但是只有一种情况
[00:00:12 - 00:00:14] 我会主动给孩子报外语类
[00:00:14 - 00:00:14] 什么情况
[00:00:14 - 00:00:16] 这个孩子想当老师
[00:00:16 - 00:00:19] 或者是这个孩子真的很喜欢学外语
[00:00:19 - 00:00:20] 怎么穿得不听
[00:00:20 - 00:00:21] 那你不听的话
[00:00:21 - 00:00:22] 那当然就给你报了 对吧
[00:00:22 - 00:00:24] 外语类给大家讲一讲
[00:00:24 - 00:00:25] 为什么我们的报纸院的时候
[00:00:25 - 00:00:27] 一般情况下我不太给你推荐
[00:00:27 - 00:00:28] 来 给大家讲一讲
[00:00:28 - 00:00:29] 首先给大家推荐一本书
[00:00:29 - 00:00:31] 这本书外国语类的家长
[00:00:31 - 00:00:34] 如果说你们还对于外语很感兴趣的话
[00:00:34 - 00:00:34] 那你就知道了
[00:00:34 - 00:00:36] 这本书叫最免的翻译
[00:00:36 - 00:00:38] 为什么我给大家推荐这本书呢
[00:00:38 - 00:00:39] 因为翻译这个事
[00:00:39 - 00:00:40] 大家你要知道
[00:00:40 - 00:00:43] 不是说你学英语的你都能干翻译
[00:00:43 - 00:00:46] 我不知道有没有那种英语特别好的家长
[00:00:46 - 00:00:48] 我不知道有没有那种英语特别好的家长
[00:00:48 - 00:00:49] 大家你发现了吗
[00:00:49 - 00:00:51] 如果说你看一个东西
[00:00:51 - 00:00:53] 它是外语的话
[00:00:53 - 00:00:57] 一般情况下翻译者都会夹带私货
[00:00:57 - 00:00:58] 大家发现了吗
[00:00:58 - 00:01:01] 万一者一般都会夹带词
[00:01:01 - 00:01:04] 所以说我特别喜欢有一个
[00:01:04 - 00:01:05] 这个美剧
[00:01:05 - 00:01:07] 美剧当中有一句非常有意思的话
[00:01:07 - 00:01:08] 叫什么呢
[00:01:08 - 00:01:08] 叫
[00:01:12 - 00:01:13] 叫语言就是信息
[00:01:13 - 00:01:14] 信息就是语气
[00:01:14 - 00:01:18] 所以说我们为什么要让我们的孩子学英语学外语
[00:01:18 - 00:01:20] 因为我们希望能够怎么样
[00:01:20 - 00:01:24] 通过我们最直观的方式得到一些信息
[00:01:24 - 00:01:26] 所以说你会发现在中考当中要考英语
[00:01:26 - 00:01:28] 在大学当中要考英语
[00:01:28 - 00:01:29] 在考研也要考英语
[00:01:29 - 00:01:31] 博士也要考英语
[00:01:31 - 00:01:35] 就要看你能不能直接自己去获得这种信息
[00:01:35 - 00:01:38] 所以说这个翻译就是介绍给大家
[00:01:38 - 00:01:39] 外语类专业
[00:01:39 - 00:01:42] 我告诉大家它分成三种语言
[00:01:42 - 00:01:44] 就是我们一般的话会把外语类专业分成三类
[00:01:44 - 00:01:47] 第一类叫做传统外语
[00:01:47 - 00:01:49] 其实传统外语说白了是什么
[00:01:49 - 00:01:50] 其实就是英语嘛
[00:01:50 - 00:01:51] 对吧
[00:01:51 - 00:01:52] 传统外语
[00:01:52 - 00:01:53] 第二叫小语种
[00:01:53 - 00:01:55] 什么叫小语种
[00:01:55 - 00:01:56] 大家注意
[00:01:56 - 00:02:02] 在研究生阶段会把这个专业独立招生的专业
[00:02:02 - 00:02:04] 我们的概念叫做小语种
[00:02:04 - 00:02:05] 比如说俄语
[00:02:06 - 00:02:06] 德语
[00:02:07 - 00:02:08] 法语
[00:02:08 - 00:02:09] 西班牙语
[00:02:09 - 00:02:10] 阿拉伯语
[00:02:10 - 00:02:11] 日语
[00:02:11 - 00:02:12] 我们叫小语种
[00:02:12 - 00:02:13] 我跟大家说实话
[00:02:13 - 00:02:14] 韩语我都不叫小语种
[00:02:15 - 00:02:16] 为什么
[00:02:16 - 00:02:17] 因为在考研当中
[00:02:17 - 00:02:19] 你如果是日语
[00:02:19 - 00:02:21] 你可以抱一个专业叫日语言文学
[00:02:22 - 00:02:23] 你如果学的是俄语
[00:02:23 - 00:02:26] 你可以抱一个专业叫俄语言文学
[00:02:26 - 00:02:27] 你学的是德语
[00:02:27 - 00:02:29] 你可以报一个德语语言文学
[00:02:29 - 00:02:31] 但你学的是韩语
[00:02:31 - 00:02:32] 不好意思
[00:02:32 - 00:02:33] 没有这个语言
[00:02:33 - 00:02:36] 研究生专业当中没有叫韩语语言文学
[00:02:36 - 00:02:38] 你能报什么专业呢
[00:02:38 - 00:02:39] 你报的叫
[00:02:39 - 00:02:40] 亚非语言文学
[00:02:41 - 00:02:42] 亚非语言文学
[00:02:42 - 00:02:44] 所以说韩语我一般请问下
[00:02:44 - 00:02:45] 很少把他当成
[00:02:45 - 00:02:47] 我个人在
[00:02:47 - 00:02:48] 在写的时候
[00:02:48 - 00:02:50] 我不会把他当成一个所谓的小语种
[00:02:50 - 00:02:51] 知道吧
[00:02:51 - 00:02:53] 因为他是属于第三种
[00:02:53 - 00:02:55] 叫什么叫做微语种
[00:02:55 - 00:02:57] 什么叫做微语种呢
[00:02:57 - 00:03:00] 就是这种语言你见都没怎么见过
[00:03:00 - 00:03:02] 比如说这个语言叫
