BV号：BV1M44y117AJ
标题：BV1M44y117AJ
链接：https://www.bilibili.com/video/BV1M44y117AJ
识别语言：zh
语言置信度：1
分段数：625
生成时间：2026-04-03 22:56:19

[00:00:03 - 00:00:22] 我不是完全因为说你没有北京户口
[00:00:22 - 00:00:23] 你才离开北京
[00:00:23 - 00:00:24] 不是这个原因
[00:00:24 - 00:00:26] 就是这有这方面的因素
[00:00:26 - 00:00:28] 但是它不是唯一
[00:00:28 - 00:00:29] 我的天哪
[00:00:29 - 00:00:32] 我搬到苏州这个事情
[00:00:32 - 00:00:34] 全国人民都知道了
[00:00:34 - 00:00:35] 然后的话大家都想知道
[00:00:35 - 00:00:36] 你这个人在苏州
[00:00:36 - 00:00:37] 我活得好还是不好
[00:00:37 - 00:00:38] 你看我原来我给你说说
[00:00:38 - 00:00:40] 我在北京我没有做那个项目前
[00:00:40 - 00:00:42] 我还可以摸鱼
[00:00:42 - 00:00:44] 我说实话到苏州比赛北京累
[00:00:44 - 00:00:48] 累死我我跟你说
[00:00:48 - 00:00:48] 真的
[00:00:54 - 00:00:57] 因为我没有原来做过这么大的一个系统育营
[00:00:57 - 00:01:01] 还有很多这么多从全国各地过来投奔你的人
[00:01:01 - 00:01:03] 然后的话还有这么大的公司
[00:01:03 - 00:01:05] 有这么多人你要去支撑
[00:01:05 - 00:01:16] 你发现了吗
[00:01:16 - 00:01:18] 高头博物学院这个事怎么样
[00:01:18 - 00:01:22] 他真的不是一个说你能不能上大学的问题
[00:01:22 - 00:01:23] 但问题在于你怎么选择
[00:01:23 - 00:01:25] 怎么把他们孩子的分给他最大化
[00:01:25 - 00:01:26] 这个能纪你报告的时候
[00:01:26 - 00:01:28] 你怎么去占便宜各个家
[00:01:28 - 00:01:30] 我为什么说你选屋里的学校工程
[00:01:30 - 00:01:31] 是工程学校工程
[00:01:31 - 00:01:32] 为啥呀
[00:01:32 - 00:01:34] 因为李宏林专业还有什么
[00:01:34 - 00:01:36] 还有专业必累
[00:01:36 - 00:01:37] 各位
[00:01:37 - 00:01:40] 这个事我能干你干不了
[00:01:40 - 00:01:42] 我连就跟你和现在都没见过
[00:01:43 - 00:01:45] 我每一场都是1500人的大场
[00:01:45 - 00:01:47] 然后那种特别旷特别旷的那种场面
[00:01:47 - 00:01:49] 你要想到最后一排的家那都听见的话
[00:01:49 - 00:01:50] 你必须得去喊
[00:01:50 - 00:01:52] 然后大家就你的期望值很高
[00:01:52 - 00:01:54] 你必须得符合大家对你的那个期望值
[00:01:55 - 00:01:55] 就没办法
[00:01:55 - 00:01:57] 或者是我们无理有可能的
[00:01:57 - 00:01:59] 大家可以帮我们的工作人员
[00:01:59 - 00:02:01] 感谢张学中老师的精彩音效
[00:02:01 - 00:02:02] 就与刚才说的
[00:02:02 - 00:02:04] 我们有两个专场
[00:02:04 - 00:02:05] 我觉得有两个专场
[00:02:05 - 00:02:06] 你再叫我下来好不好
[00:02:06 - 00:02:07] 行
[00:02:07 - 00:02:08] 你们现在有两个专场
