BV号：BV1FisUznEkX
标题：BV1FisUznEkX
链接：https://www.bilibili.com/video/BV1FisUznEkX
识别语言：zh
语言置信度：1
分段数：52
生成时间：2026-04-03 03:49:52

[00:00:00 - 00:00:01] 北京是6选3
[00:00:01 - 00:00:03] 6选3的话
[00:00:03 - 00:00:05] 这种文科专业报考起来
[00:00:05 - 00:00:08] 你一定要让自己在专业目录里边
[00:00:08 - 00:00:08] 家长
[00:00:08 - 00:00:09] 你就是你在报专业
[00:00:09 - 00:00:10] 不是报6个专业吗
[00:00:10 - 00:00:10] 家长
[00:00:10 - 00:00:11] 你报6个专业的话
[00:00:11 - 00:00:13] 一定要去看什么
[00:00:13 - 00:00:14] 报文科的
[00:00:14 - 00:00:15] 想去考工的
[00:00:15 - 00:00:17] 你一定要报保护专业
[00:00:17 - 00:00:18] 比较多的学校
[00:00:18 - 00:00:20] 什么叫保护专业比较多
[00:00:20 - 00:00:21] 来给大家举个例子
[00:00:21 - 00:00:22] 比如说
[00:00:22 - 00:00:23] 你想报法学才会
[00:00:23 - 00:00:24] 结果你发现
[00:00:24 - 00:00:26] 这个学校给你的专业族里边
[00:00:26 - 00:00:28] 这个族里边6个专业
[00:00:28 - 00:00:30] 只有一个专业是你想要的
[00:00:30 - 00:00:31] 你只想报法学
[00:00:31 - 00:00:33] 其他的什么电子商务你不想学
[00:00:33 - 00:00:34] 国际经贸你也不想学
[00:00:34 - 00:00:36] 然后的话英语你也不想学
[00:00:36 - 00:00:37] 日语你也不想学
[00:00:37 - 00:00:39] 这五个专业在这一个组里边
[00:00:39 - 00:00:40] 只有法学是你接受的
[00:00:40 - 00:00:42] 录到其他四个你不接受
[00:00:42 - 00:00:44] 那么你录到另外一个组的话
[00:00:44 - 00:00:45] 你会发现
[00:00:45 - 00:00:46] 这个组里边
[00:00:46 - 00:00:47] 第一你可以报法学
[00:00:47 - 00:00:48] 第二你可以报采会
[00:00:48 - 00:00:49] 第三可以报会
[00:00:49 - 00:00:50] 第四你可以报汉语言
[00:00:50 - 00:00:52] 这里边有更多你能接受的专业
[00:00:52 - 00:00:54] 其加长注意
[00:00:54 - 00:00:55] 下面这个话很重要
[00:00:55 - 00:00:56] 你在报的时候
[00:00:56 - 00:00:57] 你的位次一定要去
[00:00:57 - 00:01:01] 跟你抱着这个学校各个专业的位次做比对
[00:01:01 - 00:01:05] 你最起码要超过你抱的这个专业里边的三个专业
[00:01:05 - 00:01:06] 你能接受
[00:01:06 - 00:01:07] 你再抱这个
[00:01:07 - 00:01:08] 你不要调技
[00:01:08 - 00:01:10] 对你避免被调技
[00:01:10 - 00:01:12] 所以说要么你就抱这种文科口供的专业
[00:01:12 - 00:01:16] 另外一个我个人觉得可能还不错的一个选择
[00:01:16 - 00:01:19] 就是女生来讲中低分数段的话
[00:01:19 - 00:01:20] 就是护理和受益
