BV号：BV1uL411u7nz
标题：BV1uL411u7nz
链接：https://www.bilibili.com/video/BV1uL411u7nz
识别语言：zh
语言置信度：1
分段数：52
生成时间：2026-04-03 21:39:52

[00:00:00 - 00:00:03] 文科裏邊我先講一個大家特別喜歡報的一個專業
[00:00:03 - 00:00:04] 就是什麼專業呢?小魚種
[00:00:05 - 00:00:06] 我真的很多家長和考生
[00:00:06 - 00:00:09] 尤其是考生特別喜歡小魚種
[00:00:10 - 00:00:12] 小魚種這種專業要不要報?
[00:00:12 - 00:00:13] 我先說怎麼報啊
[00:00:13 - 00:00:15] 如果各位考生各位家長你非要報小魚種的話
[00:00:15 - 00:00:16] 給你兩點建議
[00:00:16 - 00:00:19] 第一點建議各位家長各位考生報小魚種專業
[00:00:19 - 00:00:21] 一定要根據地獄報
[00:00:21 - 00:00:23] 不要根據你的分數報
[00:00:23 - 00:00:24] 什麼就根據地獄報
[00:00:24 - 00:00:27] 你這個小魚種應用的範圍在哪裡?
[00:00:27 - 00:00:28] 能明白嗎?
[00:00:28 - 00:00:28] 我给你举个例子
[00:00:28 - 00:00:31] 你学日语韩语要去哪里
[00:00:32 - 00:00:34] 环博海经济权能力界吗
[00:00:34 - 00:00:36] 你报大连的学校
[00:00:36 - 00:00:37] 天际的学校
[00:00:37 - 00:00:38] 轻得好学校比较好
[00:00:38 - 00:00:39] 能力界啊
[00:00:39 - 00:00:40] 那是一日韩比较近
[00:00:40 - 00:00:42] 还有很多日韩企业
[00:00:42 - 00:00:43] 那两个名叫
[00:00:43 - 00:00:45] 你不要报太远
[00:00:46 - 00:00:47] 我有一个家长
[00:00:47 - 00:00:48] 自己一个孩子过去
[00:00:48 - 00:00:50] 好好讲好孩子学习语
[00:00:50 - 00:00:51] 干到了云南
[00:00:58 - 00:01:01] 你说你往那儿报
[00:01:02 - 00:01:02] 对吧
[00:01:03 - 00:01:04] 你觉得何语去哪儿呢
[00:01:04 - 00:01:05] 能去我们亨江啊
[00:01:05 - 00:01:06] 去海南干嘛
[00:01:06 - 00:01:11] 去廣州 去杭州 為什麼
[00:01:11 - 00:01:13] 咱們中國現在實行什麼計劃
[00:01:13 - 00:01:14] 叫一帶一路
[00:01:14 - 00:01:14] 對吧
[00:01:14 - 00:01:15] 我們一帶一路帶誰
[00:01:15 - 00:01:17] 是不是帶非洲的兄弟啊
[00:01:17 - 00:01:18] 法語這個語言
[00:01:18 - 00:01:19] 除了法國人在說
[00:01:19 - 00:01:20] 還哪的人在說
[00:01:20 - 00:01:21] 非洲人在說
[00:01:21 - 00:01:22] 對不對
[00:01:22 - 00:01:23] 所以說你放在廣州
[00:01:23 - 00:01:25] 那邊是不是有這個語言的應用環境
[00:01:25 - 00:01:26] 你確定別的城市
[00:01:26 - 00:01:28] 它沒有這個語言的應用環境
[00:01:28 - 00:01:29] 所以說你包對個小語種專業的話
[00:01:29 - 00:01:31] 明顯應該是按個訂閱來包
[00:01:31 - 00:01:31] 明明吧
