BV号：BV1g3mUY2EMP
标题：BV1g3mUY2EMP
链接：https://www.bilibili.com/video/BV1g3mUY2EMP
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 07:40:37

[00:00:00 - 00:00:02] 那能说以中为始
[00:00:02 - 00:00:04] 那这个中咱们并不知道
[00:00:04 - 00:00:05] 就像这种变化
[00:00:05 - 00:00:07] 在这种变化的时代背景下
[00:00:07 - 00:00:10] 那怎么来决定我当下的选择呢
[00:00:10 - 00:00:11] 所以说我一般情况下
[00:00:11 - 00:00:13] 我会告诉大家一个原则叫什么
[00:00:13 - 00:00:16] 叫选专业不选行业就是这个意思
[00:00:16 - 00:00:18] 就比如说我举个简单的例子
[00:00:18 - 00:00:20] 我现在我知道大数据和员工智能
[00:00:20 - 00:00:22] 要为各行各业负能
[00:00:22 - 00:00:24] 那我与其选的一个某定的行业
[00:00:24 - 00:00:26] 我干嘛不去选这样的专业呢
[00:00:26 - 00:00:27] 就比如说很多家长
[00:00:27 - 00:00:28] 他如果分比较高的话
[00:00:28 - 00:00:30] 数学数学轮也怎么样
[00:00:30 - 00:00:31] 那很好啊
[00:00:31 - 00:00:32] 因为数学大数据
[00:00:32 - 00:00:33] 可以为各行各业赴能
[00:00:33 - 00:00:34] 你还有二次选择的机会
[00:00:34 - 00:00:35] 而不是说说
[00:00:35 - 00:00:37] 我将来我学了机械以后的话
[00:00:37 - 00:00:38] 我只能左位的位
[00:00:38 - 00:00:41] 就是我是机械加人工智能
[00:00:41 - 00:00:43] 那我是机械加机械是在前面
[00:00:43 - 00:00:44] 对吧
[00:00:44 - 00:00:45] 但是如果说我将来
[00:00:45 - 00:00:46] 我学了人工智能的话
[00:00:46 - 00:00:47] 我可以为机械行业赴能
[00:00:47 - 00:00:48] 当然我也可以
[00:00:48 - 00:00:49] 不为机械行业赴能
[00:00:49 - 00:00:51] 我也可以为其他行业赴能
[00:00:51 - 00:00:52] 所以说你在这种情况下的话
[00:00:52 - 00:00:54] 你就尽量就是能选业业
[00:00:54 - 00:00:55] 尽量不要选行业嘛
