BV号：BV11s411h7r2
标题：BV11s411h7r2
链接：https://www.bilibili.com/video/BV11s411h7r2
识别语言：zh
语言置信度：1
分段数：47
生成时间：2026-04-04 13:36:07

[00:00:05 - 00:00:06] 啊 搞啥呀
[00:00:06 - 00:00:10] 下
[00:00:10 - 00:00:12] 好 欢迎大家来到张老师课堂
[00:00:12 - 00:00:14] 我是张雪峰老师
[00:00:14 - 00:00:15] 所以同学你要知道啊
[00:00:15 - 00:00:16] 这个 这样我们的掌握动作
[00:00:16 - 00:00:18] 考博士这个东西它确实比较稳定
[00:00:18 - 00:00:20] 当然同学考博士有考博士的坏错
[00:00:20 - 00:00:21] 考博士是什么坏错
[00:00:21 - 00:00:23] 最起码他年龄啊李大娃
[00:00:23 - 00:00:25] 大娃 年龄不是毕业都夺了
[00:00:25 - 00:00:26] 都快30了 对吧
[00:00:26 - 00:00:27] 同学咱就别的不说了
[00:00:27 - 00:00:28] 咱就不说那个说了
[00:00:28 - 00:00:29] 咱就说你现在吧
[00:00:29 - 00:00:30] 各位同学你们现在有没有一种感觉
[00:00:30 - 00:00:32] 你自己正在慢慢变老
[00:00:33 - 00:00:34] 这种感觉是不是放假
[00:00:34 - 00:00:36] 过年回家的时候更强烈
[00:00:36 - 00:00:39] 因为你发现你儿子的小伙伴有的对于生出了自己的小伙伴
[00:00:40 - 00:00:42] 有的太太们不要脸的生了好几个了是不是
[00:00:42 - 00:00:44] 像张老师我年龄比你们大一些对吧
[00:00:44 - 00:00:46] 我就同学生了好几个了
[00:00:46 - 00:00:48] 这老婆我一个小学同学过年回家聚会一看
[00:00:48 - 00:00:49] 五个
[00:00:50 - 00:00:53] 这个老婆我学习不打地生孩子我们第一名
[00:00:53 - 00:00:54] 知道吗
[00:00:54 - 00:00:55] 有的老师我那么勇气
[00:00:55 - 00:00:56] 一二三四五
[00:00:56 - 00:00:57] 哪那么勇气
[00:00:57 - 00:00:58] 就生了两次孩子
[00:00:58 - 00:01:00] 第一次俩第二次傻
[00:01:00 - 00:01:02] 第一次俩生了个双八三男孩
[00:01:02 - 00:01:03] 陪小子再有个女孩吧
[00:01:03 - 00:01:04] 第二次傻都这么男孩
[00:01:04 - 00:01:05] 对了
[00:01:05 - 00:01:07] 爽死了你知道吧
[00:01:07 - 00:01:09] 回家跟他老婆還吵架子知道吧
[00:01:09 - 00:01:10] 人家先喊這個個兒
[00:01:10 - 00:01:12] 你怎麼先喊這個我
[00:01:12 - 00:01:13] 他老婆可以跟他吵
[00:01:13 - 00:01:15] 我上山玩不能你中的人
[00:01:15 - 00:01:17] 你是合璧心愛相差的對不對
[00:01:17 - 00:01:18] 所以同學你要知道
[00:01:18 - 00:01:19] 讀博士的幻想
[00:01:19 - 00:01:20] 年齡壓力比較大
[00:01:20 - 00:01:21] 這個你要想明白
