BV号：BV19YSRYkEeS
标题：BV19YSRYkEeS
链接：https://www.bilibili.com/video/BV19YSRYkEeS
识别语言：zh
语言置信度：1
分段数：49
生成时间：2026-04-03 07:47:19

[00:00:00 - 00:00:01] 大家能力又可以加上说着吧
[00:00:01 - 00:00:02] 就这个东西就是
[00:00:02 - 00:00:04] 你的分不高的情况下
[00:00:04 - 00:00:05] 一定要注意就是
[00:00:05 - 00:00:08] 你在家里边能有什么样的资源
[00:00:08 - 00:00:08] 就是我经常讲
[00:00:08 - 00:00:10] 我说我把孩子分成四类
[00:00:10 - 00:00:11] 一类是什么呢
[00:00:11 - 00:00:12] 学习能力特别强
[00:00:12 - 00:00:13] 社会能力特别强的孩子
[00:00:13 - 00:00:14] 这种孩子
[00:00:14 - 00:00:17] 你不要去纠结他到底学什么专业
[00:00:17 - 00:00:18] 他学习能力在线
[00:00:18 - 00:00:19] 社会能力也在线
[00:00:19 - 00:00:20] 他学什么专业
[00:00:20 - 00:00:22] 都会有比较好的发展
[00:00:22 - 00:00:24] 他哪怕发现这个方向是错的
[00:00:24 - 00:00:26] 他纠错能力也特别强
[00:00:26 - 00:00:27] 第二种孩子是什么呢
[00:00:27 - 00:00:28] 学习能力特别强
[00:00:28 - 00:00:29] 社会能力一般般
[00:00:29 - 00:00:32] 这种孩子就是你一定要让他有一个专业特长
[00:00:32 - 00:00:35] 就是一定要把专业壁垒提的高一点
[00:00:35 - 00:00:36] 你千万不要给他那种
[00:00:36 - 00:00:39] 专业壁垒来上地谁都能抢他的饭碗
[00:00:39 - 00:00:40] 专业壁垒越高对这种孩子越好
[00:00:40 - 00:00:41] 第三种孩子是什么
[00:00:41 - 00:00:44] 学习能力一般般社会能力特别强
[00:00:44 - 00:00:45] 这种孩子的话呢
[00:00:45 - 00:00:47] 就是你抱什么专业都可以
[00:00:47 - 00:00:49] 因为你想他哪怕是学一个理工科
[00:00:49 - 00:00:51] 他虽然说学习能力一般社会能力特别强
[00:00:51 - 00:00:52] 他将来可以做大产品
[00:00:52 - 00:00:54] 就是大科护的经理
[00:00:54 - 00:00:55] 他将来可以去做销售
[00:00:55 - 00:00:57] 文科的话他跟人打交道也不成问题
[00:00:57 - 00:00:58] 对吧
[00:00:58 - 00:00:59] 最怕的是什么
[00:00:59 - 00:01:00] 就第四种孩子
[00:01:00 - 00:01:01] 学习能力一般般
[00:01:01 - 00:01:02] 社会能力也一般般
[00:01:02 - 00:01:03] 这种孩子的时候
[00:01:03 - 00:01:05] 你一定要能控制在你
[00:01:05 - 00:01:07] 尽量自己的控制范围之内
[00:01:07 - 00:01:08] 就是如果你家里边有资源的话
[00:01:08 - 00:01:09] 你尽量控制在你自己
[00:01:09 - 00:01:10] 能控制的范围之内
[00:01:10 - 00:01:11] 好吧
[00:01:11 - 00:01:13] 这个是给大家提了一个建议
