BV号：BV1fJ411L7X1
标题：BV1fJ411L7X1
链接：https://www.bilibili.com/video/BV1fJ411L7X1
识别语言：zh
语言置信度：1
分段数：37
生成时间：2026-04-04 03:48:02

[00:00:00 - 00:00:01] 而富士同學你要知道
[00:00:01 - 00:00:03] 他在考驗當中佔的筆動很大
[00:00:03 - 00:00:07] 富士的時候他一般情況下分成三個主要部分
[00:00:07 - 00:00:09] 但是在正式富士之前
[00:00:09 - 00:00:12] 各個學校都會有一些比較有意思的小節目
[00:00:12 - 00:00:14] 然後的話讓你去熱身
[00:00:14 - 00:00:15] 讓你去熱身
[00:00:15 - 00:00:17] 就是讓你怎麼說呢
[00:00:17 - 00:00:17] 開心一下
[00:00:17 - 00:00:19] 不要那麼太緊張
[00:00:19 - 00:00:21] 比如說你在富士的第一天
[00:00:21 - 00:00:24] 基本上是不會參與到富士的真正內容的
[00:00:24 - 00:00:25] 他會搞些小節目
[00:00:25 - 00:00:26] 比如搞什麼節目呢
[00:00:26 - 00:00:27] 比如第一富士的會有體檢
[00:00:27 - 00:00:28] 這個你別記了
[00:00:28 - 00:00:29] 没有用啊
[00:00:29 - 00:00:30] 别记了没有用啊
[00:00:30 - 00:00:31] 体检
[00:00:31 - 00:00:32] 体检的话干嘛呢
[00:00:32 - 00:00:33] 就是把你拉到一个小黑屋里边脱光了
[00:00:33 - 00:00:34] 看见没有什么毛病
[00:00:34 - 00:00:35] 知道吧
[00:00:35 - 00:00:36] 他脱光多羞羞啊
[00:00:36 - 00:00:38] 他不是这样你脱光知道吧
[00:00:38 - 00:00:39] 就是体检过关与不过关
[00:00:39 - 00:00:40] 就看一个指标
[00:00:40 - 00:00:42] 知道什么指标吧
[00:00:42 - 00:00:44] 不是男女谁说的男女
[00:00:44 - 00:00:44] 不是男女
[00:00:44 - 00:00:45] 你是否体检过关
[00:00:45 - 00:00:46] 就看一个指标
[00:00:46 - 00:00:49] 就是你到底有没有恶性传染性疾病
[00:00:49 - 00:00:50] 知道吧
[00:00:50 - 00:00:51] 你比如说老师那天我感冒
[00:00:51 - 00:00:52] 这就没事
[00:00:52 - 00:00:52] 知道吧
