BV号：BV1pb411p7Ps
标题：BV1pb411p7Ps
链接：https://www.bilibili.com/video/BV1pb411p7Ps
识别语言：zh
语言置信度：1
分段数：167
生成时间：2026-04-04 08:23:51

[00:00:00 - 00:00:02] 大家好,我是让学习变得更快乐的张雪锋老师
[00:00:02 - 00:00:05] 在安徽的河肥发生一起失火案
[00:00:05 - 00:00:08] 那么两个老人在家中被活活的烧死
[00:00:08 - 00:00:10] 后来经过公安机关刊查发现
[00:00:10 - 00:00:12] 这并不是一个简单的失火案
[00:00:12 - 00:00:13] 而是人为的纵火
[00:00:13 - 00:00:17] 两个老人其中一个老人身上还有多处的刀伤
[00:00:17 - 00:00:19] 经过公安机关的司法刊查发现
[00:00:19 - 00:00:20] 有两个年轻人
[00:00:20 - 00:00:21] 一个16岁,一个18岁
[00:00:21 - 00:00:23] 有非常大的做案嫌疑
[00:00:23 - 00:00:26] 那么短时间之内也把这两个人给逮到了
[00:00:26 - 00:00:28] 逮到了后就学问这两个人的做案动机
[00:00:28 - 00:00:30] 说你们两个为什么要烧死这两个老人
[00:00:30 - 00:00:32] 并且要伤害这两个老人呢
[00:00:32 - 00:00:34] 两个年轻人也没说什么
[00:00:34 - 00:00:37] 他说我们是为了模仿网络游戏当中的情节
[00:00:37 - 00:00:38] 为了练胆的
[00:00:38 - 00:00:41] 你看我们笔记本上写的那个绝杀修罗
[00:00:41 - 00:00:44] 那是我们在那个游戏当中的网名
[00:00:44 - 00:00:44] 你看看
[00:00:44 - 00:00:46] 网络游戏如果做不好的话
[00:00:46 - 00:00:47] 真的是很害人的
[00:00:47 - 00:00:48] 那么问题来了
[00:00:48 - 00:00:50] 在这个案子当中
[00:00:50 - 00:00:51] 网络游戏的制作方
[00:00:51 - 00:00:54] 需要承担相应的法律责任吗
[00:01:02 - 00:01:03] 大家好
[00:01:03 - 00:01:05] 我是阿尔学习变得更回来的张雪芳老师
[00:01:05 - 00:01:07] 歡迎大家收看法律其實很好玩
[00:01:07 - 00:01:08] 那麼坐在我身邊的呢
[00:01:08 - 00:01:09] 依然是我們的法學專家
[00:01:09 - 00:01:11] 我們研圖教育的秦也老師
[00:01:11 - 00:01:12] 我們的閻亞賢老師
[00:01:12 - 00:01:14] 老師楊老師給大家打個招呼吧
[00:01:14 - 00:01:15] 大家好
[00:01:15 - 00:01:16] 哎楊老師
[00:01:16 - 00:01:19] 那像剛才我們說的這個案子當中啊
[00:01:19 - 00:01:20] 就是這兩個年輕人呢
[00:01:20 - 00:01:23] 因為受到網絡遊戲的影響
[00:01:23 - 00:01:25] 去導致他實施了一個非常不好的行為
[00:01:25 - 00:01:26] 那麼這個網絡遊戲公司
[00:01:26 - 00:01:29] 到底要不要去承擔相應的責任呢
[00:01:29 - 00:01:30] 呃遊戲呢
[00:01:30 - 00:01:31] 是確實是血腥暴力的
[00:01:31 - 00:01:33] 但是呢在這個案例中
[00:01:33 - 00:01:35] 由于这个犯罪的嫌疑人
[00:01:35 - 00:01:37] 他一个16岁已经一个18岁
