BV号：BV1tz421i7Cq
标题：BV1tz421i7Cq
链接：https://www.bilibili.com/video/BV1tz421i7Cq
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 08:28:43

[00:00:00 - 00:00:02] 在报事院的时候一定要记住
[00:00:02 - 00:00:04] 也孩子为主席
[00:00:04 - 00:00:06] 因为最后上大学的是他
[00:00:07 - 00:00:08] 我知道各位家长
[00:00:08 - 00:00:09] 我们这一代人
[00:00:10 - 00:00:11] 各位哥哥姐姐
[00:00:11 - 00:00:12] 我们这一代人
[00:00:12 - 00:00:14] 可能很多很多的决定
[00:00:14 - 00:00:15] 是由我们父母决定
[00:00:15 - 00:00:17] 我们可能会认为
[00:00:17 - 00:00:19] 父母本应该为孩子做一些决定
[00:00:20 - 00:00:21] 但是我想跟你说的是
[00:00:21 - 00:00:22] 现在的孩子
[00:00:22 - 00:00:23] 他们的个性都比较强
[00:00:25 - 00:00:28] 你一定要了解孩子的真实想法
[00:00:28 - 00:00:29] 再去定读
[00:00:29 - 00:00:33] 如果说你了解到孩子的想法跟现实社会差距较大
[00:00:35 - 00:00:38] 要相相对比较好的办法
[00:00:39 - 00:00:42] 去告诉他他的想法为什么是不对的
[00:00:42 - 00:00:43] 要跟他交流
[00:00:43 - 00:00:45] 而不是要去交
[00:00:46 - 00:00:47] 而不要用那种传统的方式说
[00:00:47 - 00:00:50] 爸爸妈肯定为了你好话怎么怎么样的
[00:00:50 - 00:00:51] 是咱们是这么说
[00:00:51 - 00:00:54] 但是你跟孩子沟通不一定是用这种方式
[00:00:54 - 00:00:58] 你给他找一个行业内的人去跟他聊一聊
[00:00:58 - 00:00:59] 去跟他了解一下
[00:01:00 - 00:01:01] 然后再说说
[00:01:01 - 00:01:02] 大概是一个什么样的
[00:01:02 - 00:01:04] 一个情况
[00:01:05 - 00:01:07] 我要去完全否定孩子的想法
[00:01:07 - 00:01:08] 当然也不能盲目的
[00:01:08 - 00:01:09] 肯定孩子的想法
[00:01:10 - 00:01:11] 但是一定要记住
[00:01:11 - 00:01:13] 我们报出院是以孩子为重心的
