BV号：BV1QJ411s7tw
标题：BV1QJ411s7tw
链接：https://www.bilibili.com/video/BV1QJ411s7tw
识别语言：zh
语言置信度：1
分段数：67
生成时间：2026-04-04 04:40:49

[00:00:00 - 00:00:02] 你不是每年都是人因为考研设处重多
[00:00:02 - 00:00:04] 而就奔发出一个问题跑过来问我
[00:00:04 - 00:00:05] 张老师
[00:00:05 - 00:00:07] 我想问一下考研难不难啊
[00:00:07 - 00:00:08] 我这样掐死你知道吧
[00:00:08 - 00:00:09] 考研难不难
[00:00:09 - 00:00:12] 同学你考哪你就问难不难啊
[00:00:12 - 00:00:13] 你考大内理工难不难
[00:00:13 - 00:00:15] 你考东北大学难不难
[00:00:15 - 00:00:16] 你考北大难不难
[00:00:16 - 00:00:17] 那还用问吗
[00:00:17 - 00:00:18] 前两天回过大内话
[00:00:18 - 00:00:21] 张老师清华大学难考吗
[00:00:21 - 00:00:23] 我真为你的智商着急
[00:00:23 - 00:00:25] 就你的智商要不能停
[00:00:25 - 00:00:27] 早就这个清华没有缘分了知道吧
[00:00:27 - 00:00:29] 但同学你考个普通高校
[00:00:29 - 00:00:30] 那还难考吗
[00:00:30 - 00:00:31] 那就不拿了吧
[00:00:31 - 00:00:33] 你一边你考腐油考你本校
[00:00:33 - 00:00:34] 那还难吗
[00:00:34 - 00:00:35] 所以咧
[00:00:35 - 00:00:36] 是不是
[00:00:36 - 00:00:37] 你那叫老师有没有病毒效
[00:00:37 - 00:00:38] 更简单的
[00:00:38 - 00:00:38] 我一考就能上的
[00:00:38 - 00:00:40] 我哄个研究者文凭就可以
[00:00:40 - 00:00:41] 绝对有这样的学校
[00:00:42 - 00:00:43] 往哪考
[00:00:43 - 00:00:45] 欢迎大家包括我们老家那个学校
[00:00:46 - 00:00:47] 奇奇哈尔
[00:00:47 - 00:00:50] 有一个奇奇哈尔大学
[00:00:51 - 00:00:52] 你好这个学校
[00:00:52 - 00:00:53] 我用我的生命做保障
[00:00:53 - 00:00:54] 没人跟你争
[00:00:55 - 00:00:56] 你都不用复习
[00:00:56 - 00:00:57] 你给老师打点话就行了
[00:00:57 - 00:00:58] 你说老师
[00:00:58 - 00:01:00] 我准备考你们七级哈尔大学
[00:01:00 - 00:01:01] 老师一听 同学
[00:01:01 - 00:01:02] 这可是你说的啊
[00:01:03 - 00:01:05] 你说了就得考不再返回了
[00:01:05 - 00:01:05] 听见没
[00:01:05 - 00:01:06] 是吧
[00:01:06 - 00:01:07] 不用复习
[00:01:07 - 00:01:09] 他会把卷来给你发过来的
[00:01:09 - 00:01:10] 他怕你考不上
[00:01:11 - 00:01:11] 知道吗
[00:01:12 - 00:01:13] 当你同学准备复讯的时候
[00:01:13 - 00:01:14] 你是不用准备复试的
[00:01:14 - 00:01:15] 因为应接你的
[00:01:15 - 00:01:16] 没有复试
[00:01:16 - 00:01:17] 只有欢迎你一试
[00:01:17 - 00:01:18] 知道吧
[00:01:18 - 00:01:20] 下了活生以后你会发现
[00:01:20 - 00:01:21] 那场面他真是
[00:01:21 - 00:01:22] 罗古宣天 边泡齐明
[00:01:22 - 00:01:24] 红旗招展 人山人海
[00:01:24 - 00:01:25] 还电视台记得过来采访你呢
[00:01:25 - 00:01:26] 同学你咋想的
[00:01:26 - 00:01:27] 是吧
[00:01:27 - 00:01:29] 他都想不明白
[00:01:29 - 00:01:30] 知道吗
[00:01:30 - 00:01:32] 所以同学你要知道考研就是这样
[00:01:32 - 00:01:34] 牛逼高校肯定有难度
[00:01:34 - 00:01:36] 普通高校肯定搜一位
[00:01:36 - 00:01:36] 知道吧
