BV号：BV1iL4y1w7wo
标题：BV1iL4y1w7wo
链接：https://www.bilibili.com/video/BV1iL4y1w7wo
识别语言：zh
语言置信度：1
分段数：49
生成时间：2026-04-03 18:30:26

[00:00:00 - 00:00:03] 当张老师听说有学生考了全省第二
[00:00:04 - 00:00:08] 他这两个人会找到清华和北大高中班老师的轮分
[00:00:08 - 00:00:10] 还有他班主任的
[00:00:10 - 00:00:11] 还有他班主任的
[00:00:11 - 00:00:13] 不 班主任的会在哪儿
[00:00:13 - 00:00:15] 也是
[00:00:15 - 00:00:19] 就各种劝他走清华的强级数学
[00:00:19 - 00:00:20] 他还不想学
[00:00:20 - 00:00:23] 他第一个二 强的还强
[00:00:23 - 00:00:23] 击什么呀
[00:00:23 - 00:00:24] 击什么呀
[00:00:24 - 00:00:27] 他随便选击什么呀 对吧
[00:00:27 - 00:00:29] 他不然还劝你得学呀
[00:00:29 - 00:00:30] 他得来比比较棒
[00:00:30 - 00:00:31] 很自我
[00:00:31 - 00:00:33] 他那个是可以随便选的
[00:00:33 - 00:00:35] 因为他现在一定要选择第二
[00:00:35 - 00:00:38] 他不一定要通过强低去走这个组合
[00:00:38 - 00:00:40] 他可以通过我们正常保住院的公司
[00:00:40 - 00:00:42] 所以说他不一定接受
[00:00:42 - 00:00:43] 就不一定有继续选择
[00:00:43 - 00:00:44] 知道吧
[00:00:44 - 00:00:45] 就不一定有继续选择
[00:00:45 - 00:00:46] 你可以听见就是
[00:00:46 - 00:00:48] 如果你自己想不出来
[00:00:48 - 00:00:49] 因为你准备点儿版
[00:00:49 - 00:00:52] 你这选择前三人啊
[00:00:52 - 00:00:53] 选择第一二的
[00:00:53 - 00:00:55] 对吧
[00:00:55 - 00:00:56] 你准备一片选
[00:00:56 - 00:00:57] 他这个时候的话
[00:00:57 - 00:00:58] 就要想个想问的一个
[00:00:58 - 00:00:59] 他就是会回应
[00:00:59 - 00:01:00] 还有看好看的
[00:01:01 - 00:01:02] 就知道他在拍照和对焦的话
[00:01:03 - 00:01:04] 就是这点可以的话一定要
[00:01:04 - 00:01:05] 一定要提醒他
[00:01:05 - 00:01:06] 就是这点可以说
[00:01:06 - 00:01:08] 他会受到轻黄和悲大
[00:01:08 - 00:01:09] 跟随便表示的
[00:01:09 - 00:01:10] 云三
[00:01:10 - 00:01:11] 却就在那里做出来
[00:01:11 - 00:01:12] 王小明
[00:01:12 - 00:01:13] 一起王小明
[00:01:14 - 00:01:15] 就是这样
[00:01:15 - 00:01:17] 如果他要追击这一刻的话
[00:01:18 - 00:01:19] 悲大是出去了
[00:01:19 - 00:01:20] 就强
[00:01:20 - 00:01:21] 其实就会越多啊
