BV号：BV1Ak4y167ra
标题：BV1Ak4y167ra
链接：https://www.bilibili.com/video/BV1Ak4y167ra
识别语言：zh
语言置信度：1
分段数：97
生成时间：2026-04-04 02:00:38

[00:00:00 - 00:00:03] 这是一个教你怎么在高考证院填报当中
[00:00:03 - 00:00:04] 如何选学校
[00:00:04 - 00:00:05] 如何选专业
[00:00:05 - 00:00:08] 如何报支援不后悔的付费专栏
[00:00:11 - 00:00:15] 我们今天要给大家介绍的是一个叫做物理学的专业
[00:00:15 - 00:00:16] 物理重相关
[00:00:16 - 00:00:18] 这也介绍了一个叫物理学的专业
[00:00:18 - 00:00:21] 这个专业其实怎么说呢
[00:00:21 - 00:00:24] 其实主动想选这个专业的同学
[00:00:24 - 00:00:25] 我估计不是那么很多
[00:00:25 - 00:00:27] 因为大家都知道物理很难
[00:00:27 - 00:00:30] 我们甚至还在新高考证院填报当中
[00:00:30 - 00:00:31] 给大家讲了说
[00:00:31 - 00:00:32] 要不要填這個專業呀
[00:00:32 - 00:00:33] 對吧
[00:00:34 - 00:00:35] 所以說這個專業你會發現
[00:00:35 - 00:00:37] 大多數的同學主動去報
[00:00:37 - 00:00:38] 可能不是那麼很多
[00:00:39 - 00:00:41] 被調計的佔大多數
[00:00:41 - 00:00:43] 而且學起來也確實是相對比較
[00:00:44 - 00:00:45] 枯燥一些
[00:00:45 - 00:00:46] 學起來相對比較枯燥一些
[00:00:46 - 00:00:46] 但是
[00:00:47 - 00:00:48] 他也是一個專業
[00:00:48 - 00:00:49] 我們也得講一下
[00:00:49 - 00:00:51] 我們今天就給大家來介紹一下
[00:00:51 - 00:00:52] 這個所謂的物理學專業
[00:00:53 - 00:00:54] 那麼物理學專業
[00:00:54 - 00:00:57] 他是培養掌握物理學的基本理論與方法
[00:00:57 - 00:00:58] 等等等等等等
[00:00:58 - 00:01:00] 他因為是一個理學
[00:01:00 - 00:01:02] 所以说的话他主要研究的什么
[00:01:02 - 00:01:06] 主要是从事科研教学和相关的技术管理
[00:01:06 - 00:01:07] 这方面的人才
[00:01:07 - 00:01:08] 他是理学
[00:01:08 - 00:01:11] 他是很多很多工学的基础学科
[00:01:11 - 00:01:13] 所以说你会发现我们今天给大家讲课的时候
[00:01:13 - 00:01:15] 总是在讲什么叫物理重相关
[00:01:15 - 00:01:16] 化学重相关
[00:01:16 - 00:01:17] 什么叫重相关
[00:01:17 - 00:01:19] 什么叫物理重相关
[00:01:19 - 00:01:21] 就是我们给大家讲了
[00:01:21 - 00:01:22] 只要是你在看我们这个课程的时候
[00:01:22 - 00:01:24] 上面写了这句话
[00:01:24 - 00:01:24] 物理重相关
[00:01:24 - 00:01:25] 说明这个专业
[00:01:25 - 00:01:28] 他的主要专业课都是物理类的专业课
[00:01:28 - 00:01:30] 所以说他是一个基础学科
[00:01:30 - 00:01:32] 他是一个基础学科
[00:01:32 - 00:01:33] 那么将来能干什么呢
[00:01:33 - 00:01:34] 接着三个
[00:01:34 - 00:01:35] 所有的理学是和都一样
[00:01:35 - 00:01:37] 就是物理化学
[00:01:37 - 00:01:39] 生物这都一样
[00:01:39 - 00:01:41] 就这三个工作
[00:01:41 - 00:01:42] 要么就是教师
[00:01:43 - 00:01:43] 当过物理老师
[00:01:43 - 00:01:44] 初中老师
[00:01:44 - 00:01:45] 高中老师
[00:01:45 - 00:01:48] 当然物理老师现在是相对比较缺的
[00:01:48 - 00:01:49] 相对比较缺的
[00:01:49 - 00:01:50] 有人说老师你看
[00:01:51 - 00:01:52] 我今天当老师
[00:01:52 - 00:01:53] 我这当哪方面的
[00:01:53 - 00:01:55] 这个东西你搭建就要选好
[00:01:55 - 00:01:57] 当然也得看你的能力
[00:01:57 - 00:01:59] 那老师物理到这去
[00:01:59 - 00:02:00] 但是我当不了
[00:02:00 - 00:02:01] 那也白答是吧
[00:02:01 - 00:02:04] 你要是从缺这个角度来讲的话
[00:02:04 - 00:02:06] 物理老师现在是相对比较缺的
[00:02:06 - 00:02:07] 因为现在你会发现
[00:02:07 - 00:02:08] 我们之前给大家讲过说
[00:02:08 - 00:02:10] 咱们国家现在很多新高考是6
[00:02:10 - 00:02:11] 6选3
[00:02:11 - 00:02:12] 对吧
[00:02:12 - 00:02:14] 后来发现6选3选物理的人太少
[00:02:14 - 00:02:15] 选物理的人太少的话
[00:02:15 - 00:02:17] 会导致我们功科人才
[00:02:17 - 00:02:19] 这个大量的缺乏
[00:02:19 - 00:02:20] 怎么办呢
[00:02:20 - 00:02:21] 我们改成3加1.2
[00:02:21 - 00:02:25] 那么目前来看
[00:02:25 - 00:02:26] 目前来看
[00:02:26 - 00:02:27] 全国进行6选3
[00:02:27 - 00:02:29] 这样随意选的省份
[00:02:30 - 00:02:32] 那么现在就是浙江上海
[00:02:32 - 00:02:34] 北京天津山东和海南这6个省份
[00:02:35 - 00:02:37] 其他的省份我个人估计
[00:02:37 - 00:02:40] 没有加入清高考的都会变成3加1加2
[00:02:40 - 00:02:43] 这个1是物理或者历史选物理的人
[00:02:44 - 00:02:45] 也会很多
[00:02:45 - 00:02:47] 选物理的人也会很多
[00:02:48 - 00:02:51] 所以说全国的初中高中
[00:02:51 - 00:02:54] 对于高质量的物理教师人才
[00:02:54 - 00:02:57] 一定是相对比较缺乏的
[00:02:57 - 00:03:01] 所以说的话,从教室这个角度来讲,就业还行,要么什么呢?
