BV号：BV1JV41177WY
标题：BV1JV41177WY
链接：https://www.bilibili.com/video/BV1JV41177WY
识别语言：zh
语言置信度：1
分段数：57
生成时间：2026-04-03 23:51:37

[00:00:00 - 00:00:02] 一和大學裡面兩個非常重要的作業
[00:00:02 - 00:00:03] 一個就是你從一個就口腔
[00:00:03 - 00:00:05] 大家覺得這兩個專業哪個專業好
[00:00:06 - 00:00:07] 有人說你從一個人說口腔
[00:00:07 - 00:00:08] 各有各的好
[00:00:08 - 00:00:09] 今天慢慢沒下雨
[00:00:09 - 00:00:11] 我可以勸大家學藝
[00:00:11 - 00:00:12] 不然下雨我都不敢勸
[00:00:12 - 00:00:14] 因為勸人學藝天大雷皮
[00:00:15 - 00:00:16] 知道吧
[00:00:16 - 00:00:17] 因為沒辦法
[00:00:17 - 00:00:18] 因為為什麼有這麼一句話
[00:00:18 - 00:00:19] 因為醫學這個作業
[00:00:19 - 00:00:21] 成才時間會突然會再長
[00:00:21 - 00:00:24] 如果說你還在報個離通醫學專業的話
[00:00:24 - 00:00:25] 要他天命了
[00:00:25 - 00:00:28] 你得最起碼做好十年支持他的準備
[00:00:28 - 00:00:30] 林崇一學弟還在報仇院的時候大家注意
[00:00:30 - 00:00:32] 你看這有什麼
[00:00:32 - 00:00:33] 這有五加三一級化
[00:00:33 - 00:00:35] 五加三一級化就是直接畢業就碩死了
[00:00:35 - 00:00:36] 能明白吧
[00:00:36 - 00:00:38] 然後還有直接畢業活似的
[00:00:38 - 00:00:40] 大家記住能直播直播
[00:00:40 - 00:00:41] 能直碩直碩
[00:00:41 - 00:00:43] 因為只要是林崇專業
[00:00:43 - 00:00:45] 你讓孩子上到考研的考場
[00:00:45 - 00:00:46] 什麼事都有可能發生
[00:00:46 - 00:00:49] 因為林崇一學弟還難考
[00:00:49 - 00:00:51] 難考的程度
[00:00:51 - 00:00:54] 如果說你覺得孩子上高考很累
[00:00:54 - 00:00:55] 高考就是一個大同的法
[00:00:55 - 00:00:56] 他報告林崇專業
[00:00:56 - 00:00:58] 就是从一个孔跳过来另外一个更大的孔
[00:00:59 - 00:01:01] 林聪一军作业真的讨厌太难了
[00:01:01 - 00:01:02] 无本特别后的输
[00:01:02 - 00:01:03] 内科外科
[00:01:03 - 00:01:04] 内科外科
[00:01:04 - 00:01:07] 生理病理生化无本特别后的输
[00:01:07 - 00:01:10] 还在上大学基本上没有休息的时间
[00:01:10 - 00:01:12] 好不容易把生学学完了开始实习
[00:01:12 - 00:01:14] 实习以后发现本科毕业根本无法作业
[00:01:14 - 00:01:15] 必须要考验
[00:01:15 - 00:01:16] 本科五年
[00:01:16 - 00:01:17] 如果生成股严的话
[00:01:17 - 00:01:18] 一切顺利三年硕石毕业
[00:01:18 - 00:01:20] 三年硕石毕业以后的话
[00:01:20 - 00:01:22] 这个三年硕石毕业以后的话再绝度过
[00:01:22 - 00:01:24] 再顺利毕业的话又是三年
[00:01:24 - 00:01:25] 加实力的十多年
[00:01:25 - 00:01:29] 你三十多岁刚刚进入职业的起步阶段
[00:01:29 - 00:01:31] 但医学这个证划也有他的好证
[00:01:31 - 00:01:32] 为什么?
[00:01:32 - 00:01:33] 因为大家你会发现
[00:01:33 - 00:01:34] 在中国很少有职业
[00:01:34 - 00:01:35] 他可以做到什么?
[00:01:35 - 00:01:36] 越老
