BV号：BV1Ky4y1L7ts
标题：BV1Ky4y1L7ts
链接：https://www.bilibili.com/video/BV1Ky4y1L7ts
识别语言：zh
语言置信度：1
分段数：58
生成时间：2026-04-03 22:50:02

[00:00:00 - 00:00:01] 你学这个专业你就学会了吗
[00:00:01 - 00:00:03] 你学的这个专业你就真的是一个
[00:00:03 - 00:00:06] 合格的这个行业的一个从业者吗
[00:00:06 - 00:00:06] 张老师
[00:00:06 - 00:00:08] 我们经常会看到很多新闻报道
[00:00:08 - 00:00:10] 一批又一批的搞笑大学生
[00:00:10 - 00:00:12] 毕业后找不到一份称心的工作
[00:00:12 - 00:00:14] 您觉得造成这一现象的原因是什么
[00:00:14 - 00:00:16] 其实这个东西是一个很正常的现象
[00:00:16 - 00:00:19] 就是你会经常发现在我们的新闻上
[00:00:19 - 00:00:21] 就说说有缺乏一个岗位的人
[00:00:21 - 00:00:22] 然后的话在另外一方面
[00:00:22 - 00:00:25] 我们每一年却有很多很多的
[00:00:25 - 00:00:26] 本科毕业生也好
[00:00:26 - 00:00:27] 或者研究生毕业生也好
[00:00:27 - 00:00:28] 学这个专业的
[00:00:28 - 00:00:29] 但是大家你要知道
[00:00:29 - 00:00:34] 你学这个专业的不一定等同于你是这个专业的人才
[00:00:35 - 00:00:37] 你学了就学会了吗
[00:00:37 - 00:00:38] 你学这个专业就学会了吗
[00:00:38 - 00:00:43] 你学的这个专业你就真的是一个合格的这个行业的一个总业者吗
[00:00:43 - 00:00:45] 有的人学市场行销的连句话都说不明白
[00:00:45 - 00:00:47] 那你说你去卖东西
[00:00:47 - 00:00:49] 或者说是去做一些市场的一些行为
[00:00:49 - 00:00:51] 或者做一些营销的一些活动
[00:00:51 - 00:00:53] 你自己都没有这方面的经验
[00:00:53 - 00:00:56] 所以说的话有的时候你会发现我们在本科生培养的时候
[00:00:56 - 00:01:01] 很多专业都是以学术型人才的模式去培养的
[00:01:01 - 00:01:04] 而不是以应用型人才的模式去培养的
[00:01:04 - 00:01:06] 但是你要知道往往有些专业
[00:01:06 - 00:01:09] 就是学术这方面跟他应用这方面
[00:01:09 - 00:01:11] 这完全不是一类东西
[00:01:11 - 00:01:12] 你比如说市场营销吧
[00:01:12 - 00:01:13] 对吧
[00:01:13 - 00:01:16] 那实际上你是要做执行活动的
[00:01:16 - 00:01:19] 而不是说你去研发去研究说
[00:01:19 - 00:01:22] 啊这个公司的这个什么什么案例做的比较好
[00:01:22 - 00:01:24] 那个公司什么什么案例比较好
[00:01:24 - 00:01:26] 就是它是一个实际操作型的东西
[00:01:26 - 00:01:28] 就是你要知道你学这个专业
[00:01:28 - 00:01:30] 和你是这个专业的人才
[00:01:30 - 00:01:32] 这个是不画等号的
[00:01:32 - 00:01:33] 你学了医
[00:01:33 - 00:01:34] 你就是一个
[00:01:34 - 00:01:35] 所谓的
[00:01:35 - 00:01:36] 一个
[00:01:36 - 00:01:37] 所谓的合格的医生吗
[00:01:37 - 00:01:38] 或者说你学了医
[00:01:38 - 00:01:39] 你就能去当医生吗
[00:01:39 - 00:01:41] 这不画等号的
[00:01:41 - 00:01:42] 所以说的话
[00:01:42 - 00:01:43] 就是
[00:01:43 - 00:01:45] 你看招那么多专业的人
[00:01:45 - 00:01:46] 然后的话
[00:01:46 - 00:01:47] 但是另外一方面又缺
[00:01:47 - 00:01:48] 缺的是什么
[00:01:48 - 00:01:49] 缺的是真正的人才
[00:01:49 - 00:01:51] 所以说这个东西不矛盾
