BV号：BV11U4y1d71N
标题：BV11U4y1d71N
链接：https://www.bilibili.com/video/BV11U4y1d71N
识别语言：zh
语言置信度：1
分段数：86
生成时间：2026-04-03 20:01:38

[00:00:00 - 00:00:01] 因为大家说实话
[00:00:01 - 00:00:03] 你们为什么很多家长这么喜欢我
[00:00:03 - 00:00:05] 就是因为张老师闹磕接地气
[00:00:06 - 00:00:07] 对吧
[00:00:07 - 00:00:09] 你们觉得张老师平时拍的视频也好
[00:00:09 - 00:00:10] 各方面也好的话
[00:00:10 - 00:00:12] 你们平时在网上看到我的视频也好
[00:00:12 - 00:00:14] 张老师闹磕接不接地气
[00:00:14 - 00:00:17] 说的是不是咱们老百姓能听得懂的实在科
[00:00:17 - 00:00:19] 咱也别装
[00:00:19 - 00:00:20] 咱该啥就是啥
[00:00:20 - 00:00:21] 有的家长问我
[00:00:21 - 00:00:23] 张老师那个小姑娘的话
[00:00:23 - 00:00:24] 你是怎么劝的
[00:00:24 - 00:00:26] 我劝那小姑娘非常的简单
[00:00:26 - 00:00:28] 她是某一个省份
[00:00:28 - 00:00:29] 高考能考600多分
[00:00:29 - 00:00:30] 那很高啊
[00:00:30 - 00:00:31] 在那省不低的
[00:00:31 - 00:00:33] 我说姑娘我就问你一个问题啊
[00:00:33 - 00:00:36] 咱现在虽然是一个小县城的小游音乐
[00:00:36 - 00:00:37] 对不对
[00:00:37 - 00:00:40] 咱现在分考这么高
[00:00:40 - 00:00:42] 你觉得咱们这么高的分
[00:00:42 - 00:00:44] 将来找对象要找啥样的
[00:00:44 - 00:00:46] 你上了一个更好的大学
[00:00:46 - 00:00:47] 那找对象要找啥样的
[00:00:47 - 00:00:50] 是不是你现在找的这样
[00:00:50 - 00:00:50] 对吧
[00:00:50 - 00:00:52] 是不是你现在找的这样
[00:00:52 - 00:00:54] 那是说咱这么优秀
[00:00:54 - 00:00:56] 如果说真的优秀的很厉害的话
[00:00:56 - 00:00:57] 对吧
[00:00:57 - 00:00:57] 对吧
[00:00:57 - 00:01:00] 是这种男生能够得上的
[00:01:00 - 00:01:02] 你外面的世界有多大呀
[00:01:02 - 00:01:03] 你见过吗
[00:01:03 - 00:01:06] 你见过会谈极谈的男生吗
[00:01:06 - 00:01:09] 你见过会拉小提琴的男生吗
[00:01:09 - 00:01:10] 啊
[00:01:10 - 00:01:12] 小县城哪见过会拉小提琴的男生
[00:01:12 - 00:01:13] 我说你见过吗
[00:01:13 - 00:01:14] 对吧
[00:01:14 - 00:01:15] 你这种你都没见过
[00:01:15 - 00:01:16] 你怎么知道
[00:01:16 - 00:01:18] 你将来遇到这种你不会喜欢的
[00:01:18 - 00:01:20] 孩子功能一清也是
[00:01:20 - 00:01:21] 我说你技术愚嬌愚
[00:01:21 - 00:01:23] 瞎着瞎呼会变化
[00:01:23 - 00:01:24] 将来如果你不行了
[00:01:24 - 00:01:25] 人家孩子考得好了
[00:01:25 - 00:01:26] 你考得不好
[00:01:26 - 00:01:27] 你以为她看得上你
[00:01:27 - 00:01:29] 人以为看得上你
[00:01:29 - 00:01:30] 人将来考得更好了
[00:01:30 - 00:01:32] 人家考好学校去了
[00:01:32 - 00:01:32] 对吧
[00:01:32 - 00:01:34] 人将来有更好的姑娘喜欢她
[00:01:34 - 00:01:35] 人哪个领导的孩子
[00:01:35 - 00:01:36] 你们拿一把喜欢她对吧
[00:01:36 - 00:01:38] 单位的领导家还得喜欢她
[00:01:38 - 00:01:39] 人看得上你吗
[00:01:40 - 00:01:41] 你家能跟人
[00:01:41 - 00:01:43] 她遇到的领导家还得比吗
[00:01:43 - 00:01:43] 比不了吧
[00:01:44 - 00:01:46] 那最后的话配的时候看的是啥
[00:01:46 - 00:01:48] 看的不就是实力吗
[00:01:48 - 00:01:49] 那你家没实力的话
[00:01:49 - 00:01:50] 那看谁的实力
[00:01:50 - 00:01:52] 那不就是你的实力吗
[00:01:52 - 00:01:53] 姑娘听完一句话就说了
[00:01:53 - 00:01:55] 第二天我问家长怎么样
[00:01:55 - 00:01:56] 唱老师你说的太好了
[00:02:00 - 00:02:02] 真的有时候真的就是我
[00:02:02 - 00:02:04] 真的你说解决的是一个志愿情报问题
[00:02:04 - 00:02:05] 有的时候真的
[00:02:05 - 00:02:07] 家长在整个过程当中
[00:02:07 - 00:02:08] 啥事都跟我们说
[00:02:08 - 00:02:11] 今天我们一个老师还说
[00:02:11 - 00:02:12] 说张老师有一个家长跟我沟通
[00:02:12 - 00:02:14] 孩子一模烤得不好
[00:02:14 - 00:02:15] 跟我哭了两小时
[00:02:15 - 00:02:16] 我说咋整
[00:02:16 - 00:02:18] 我们说句不好听的话
[00:02:18 - 00:02:19] 那干的就是这个活
[00:02:19 - 00:02:19] 对吧
