BV号：BV1um4y1T7UW
标题：BV1um4y1T7UW
链接：https://www.bilibili.com/video/BV1um4y1T7UW
识别语言：zh
语言置信度：1
分段数：25
生成时间：2026-04-03 13:58:45

[00:00:00 - 00:00:01] 大家一定要注意
[00:00:01 - 00:00:05] 药学和治药是两个不同的东西
[00:00:05 - 00:00:07] 药学是研发药
[00:00:07 - 00:00:09] 治药是大规模生产药
[00:00:09 - 00:00:11] 我给大家举一个简单的例子
[00:00:11 - 00:00:12] 比如说清明素
[00:00:12 - 00:00:14] 37年还是38年来着
[00:00:14 - 00:00:15] 然后的话
[00:00:15 - 00:00:17] 英国的前军医福莱名
[00:00:17 - 00:00:20] 在搞排阳敏的时候
[00:00:20 - 00:00:22] 因为排阳敏没有洗干净
[00:00:22 - 00:00:25] 然后的话发现了清明素
[00:00:25 - 00:00:26] 但是清明素作为药
[00:00:26 - 00:00:28] 打到人的身体里面
[00:00:28 - 00:00:29] 这是1944年的事
[00:00:29 - 00:00:30] 为什么?
[00:00:30 - 00:00:32] 中间隔离七名
[00:00:32 - 00:00:34] 因为你发现一个东西
[00:00:34 - 00:00:36] 它能治什么什么病
[00:00:36 - 00:00:38] 它能杀死什么病菌
[00:00:38 - 00:00:41] 跟你能够大规模生产它
[00:00:41 - 00:00:43] 让它成为一个东西
[00:00:43 - 00:00:44] 要记打到人身体里边
[00:00:44 - 00:00:45] 去给人看病
[00:00:45 - 00:00:47] 这是一个很漫长的过程
