BV号：BV1qJ411W7B5
标题：BV1qJ411W7B5
链接：https://www.bilibili.com/video/BV1qJ411W7B5
识别语言：zh
语言置信度：1
分段数：33
生成时间：2026-04-04 04:29:20

[00:00:00 - 00:00:01] 但同学请注意啊
[00:00:01 - 00:00:03] 也不是什么专业都能这么说的
[00:00:03 - 00:00:05] 你听我的课别夺火入魔你知道吧
[00:00:05 - 00:00:07] 你别想让专业都往上整你知道吧
[00:00:07 - 00:00:08] 有的专业就不能这么说
[00:00:08 - 00:00:09] 什么专业不能这么说
[00:00:10 - 00:00:12] 新兴专业知道吗
[00:00:12 - 00:00:13] 什么就
[00:00:13 - 00:00:14] 你那个专业开了没两年
[00:00:14 - 00:00:16] 你爷爷奶奶干嘛的
[00:00:17 - 00:00:18] 你也别瞎说你知道吧
[00:00:18 - 00:00:20] 有个专业叫雾流大家听说过吧
[00:00:20 - 00:00:23] 那明显是个新专业就不能这么说对吧
[00:00:23 - 00:00:24] 但有一位大哥就是
[00:00:24 - 00:00:25] 父亲都说想起我了
[00:00:25 - 00:00:26] 老实问他你为什么学雾流
[00:00:26 - 00:00:27] 大哥想起我来了你知道吧
[00:00:27 - 00:00:28] 老师我爸干什么流的
[00:00:28 - 00:00:29] 我妈干什么流的
[00:00:29 - 00:00:31] 爷爷奶奶都干物流了
[00:00:31 - 00:00:32] 撞枪口是吧
[00:00:32 - 00:00:33] 老师说同学
[00:00:33 - 00:00:34] 你想好了吗
[00:00:34 - 00:00:34] 啊
[00:00:35 - 00:00:37] 我是中国第一届物流本科生
[00:00:39 - 00:00:41] 你说你爷爷奶奶都干物流的
[00:00:41 - 00:00:42] 你爷爷奶奶干嘛的
[00:00:43 - 00:00:44] 说说我们没不准走
[00:00:44 - 00:00:46] 大哥一看我靠撞枪口是吧
[00:00:46 - 00:00:48] 但是大哥零击一动说句话
[00:00:48 - 00:00:49] 老师崩溃了
[00:00:49 - 00:00:50] 他说老师
[00:00:50 - 00:00:52] 我爷爷奶奶以前是开标局的
