BV号：BV1D7411E7jF
标题：BV1D7411E7jF
链接：https://www.bilibili.com/video/BV1D7411E7jF
识别语言：zh
语言置信度：1
分段数：304
生成时间：2026-04-04 02:53:56

[00:00:02 - 00:00:03] 在当年医生就发现
[00:00:03 - 00:00:05] 女生和男生有什么差别
[00:00:05 - 00:00:07] 还是体力上的差别吧
[00:00:07 - 00:00:09] 你看大多数男生都是去做外科了
[00:00:09 - 00:00:10] 那您的工地和医院和生地院
[00:00:10 - 00:00:11] 有什么样的差别呢
[00:00:11 - 00:00:12] 工地院呢
[00:00:12 - 00:00:14] 它是不是说我们不想
[00:00:14 - 00:00:16] 这个未病人做好活
[00:00:16 - 00:00:18] 是工地院的病人实在是太多
[00:00:18 - 00:00:20] 我们出生人口现在越来越低
[00:00:20 - 00:00:21] 未来更多的人
[00:00:21 - 00:00:24] 其实它的预期生命是更长的
[00:00:24 - 00:00:26] 所以它碰到的健康问题是更多的
[00:00:26 - 00:00:27] 对吧
[00:00:34 - 00:00:35] 大家好
[00:00:35 - 00:00:37] 欢迎收看小型逗逼透过秀大开演技
[00:00:37 - 00:00:39] 我是让学习变得更快乐的张雪峰老师
[00:00:39 - 00:00:40] 我们本期请到的嘉宾
[00:00:40 - 00:00:43] 依然是我们北京云阁医院的王仲远长
[00:00:43 - 00:00:44] 我们王院长给大家打招呼
[00:00:44 - 00:00:45] 大家好
[00:00:45 - 00:00:46] 王院长
[00:00:46 - 00:00:51] 你看现在学医好像女生比男生稍微多一些
[00:00:51 - 00:00:52] 感觉是
[00:00:52 - 00:00:52] 对
[00:00:52 - 00:00:54] 然后的话就是在当医生方面
[00:00:54 - 00:00:56] 女生和男生都有什么差别
[00:00:56 - 00:00:58] 还是体力上的差别
[00:00:58 - 00:00:59] 对
[00:00:59 - 00:01:02] 我觉得你看大多数男生都是去做外科了
[00:01:02 - 00:01:04] 很多女生都做了内科大夫了
[00:01:04 - 00:01:05] 对
[00:01:05 - 00:01:06] 什么儿科大夫了
[00:01:06 - 00:01:08] 对吧 还有副产科大夫了
[00:01:08 - 00:01:11] 对 还有一些小科的一些医生
[00:01:11 - 00:01:12] 主要就是体制上的
[00:01:12 - 00:01:13] 有没有其他方面
[00:01:13 - 00:01:17] 就杜卓夫如果说有一个女生说学医
[00:01:17 - 00:01:19] 希望您给她一些职业上的建议的话
[00:01:19 - 00:01:20] 您会给她一些建议
[00:01:20 - 00:01:22] 很好啊 我觉得
[00:01:22 - 00:01:25] 因为我个人认为医学还是一个
[00:01:25 - 00:01:26] 一个很好的一个职业
