BV号：BV1Y44y1x7Gy
标题：BV1Y44y1x7Gy
链接：https://www.bilibili.com/video/BV1Y44y1x7Gy
识别语言：zh
语言置信度：1
分段数：101
生成时间：2026-04-03 22:02:54

[00:00:00 - 00:00:02] 大家好我上學習變得更快樂的張曉芳老師
[00:00:02 - 00:00:05] 我們上一期的講到這本人體檢視當中的介紹了
[00:00:05 - 00:00:07] 製造一個人要花費多少錢
[00:00:07 - 00:00:08] 答案確實令我們大開眼界
[00:00:08 - 00:00:11] 一個人居然能值9萬6千多英鎊
[00:00:11 - 00:00:15] 哎呀我看這本粗菜就知道我居然這麼值錢
[00:00:15 - 00:00:18] 那我們今天接著探索另外的幾個事
[00:00:18 - 00:00:19] 比如說腦子進水的事
[00:00:19 - 00:00:20] 對吧
[00:00:20 - 00:00:21] 我們上一次也說過了
[00:00:21 - 00:00:22] 這腦子進水呢
[00:00:22 - 00:00:23] 它是真的
[00:00:23 - 00:00:25] 因為我們的大腦確實80%
[00:00:25 - 00:00:26] 確實著的是水
[00:00:26 - 00:00:28] 那其餘是什麼玩意呢
[00:00:28 - 00:00:31] 其余主要的成分是脂肪和蛋白质
[00:00:31 - 00:00:32] 这三种物质凝积起来
[00:00:32 - 00:00:38] 竟然带来了思考、记忆、视觉、审美等一系列的思维活动
[00:00:38 - 00:00:38] 怎么样
[00:00:38 - 00:00:39] 是不是感觉也很神奇
[00:00:39 - 00:00:45] 要知道我们的大脑只占到整个身体体中的2%左右
[00:00:45 - 00:00:48] 但是它却用去我们整个20%的能量
[00:00:49 - 00:00:49] 怎么说呢
[00:00:49 - 00:00:52] 就比如说我们会发现新生的婴儿
[00:00:52 - 00:00:54] 大多数时间它都在睡觉
[00:00:54 - 00:00:57] 原因就是因为他们的大脑不断的迅速在发育
[00:00:57 - 00:01:00] 这可把那小孩可以累坏了
[00:01:00 - 00:01:02] 身体大部分的能量都在供大脑
[00:01:02 - 00:01:05] 所以说他就没有精力去干别的了
[00:01:05 - 00:01:08] 而且大家是不是经常看到婴儿都是肉嘟嘟的
[00:01:08 - 00:01:09] 超级可爱
[00:01:09 - 00:01:13] 那是因为他们存储的脂肪要供给大脑能量
[00:01:13 - 00:01:14] 你们看
[00:01:14 - 00:01:18] 这个小小的机体从右时就开始展现出来
[00:01:18 - 00:01:19] 强大的生命力了
[00:01:19 - 00:01:21] 苏东还有一个章杰的令我印象很深刻
[00:01:21 - 00:01:24] 他讲了一个经常战局微博热搜的话题
[00:01:24 - 00:01:26] 相信很多朋友们也都很感兴趣
[00:01:26 - 00:01:28] 就是关于突头的危机
[00:01:28 - 00:01:30] 哎呀这个时候就特别羡慕
[00:01:30 - 00:01:31] 我头发特别多啊
[00:01:31 - 00:01:34] 我们在每次在微博看到这个话题的时候
[00:01:34 - 00:01:35] 都忍不住打开评论
[00:01:35 - 00:01:38] 这个评论区是相当精彩
[00:01:38 - 00:01:38] 一片哀嚎
[00:01:39 - 00:01:40] 有的网友就说了说
[00:01:40 - 00:01:44] 谁能想到唯一正值青春年华的女大学生
[00:01:44 - 00:01:47] 双十一在抢霸王 防脱洗发水
[00:01:47 - 00:01:47] 对吧
[00:01:47 - 00:01:48] 还有很多网友枯塑的说
[00:01:48 - 00:01:51] 说每天做完这各种生发产品
[00:01:51 - 00:01:52] 养生的补皮
[00:01:52 - 00:01:53] 一股脑的喝
[00:01:53 - 00:01:57] 但是还是抵不住发迹线后遗这一铁打斑的事实
[00:01:57 - 00:01:59] 那么为什么人会脱发呢
[00:01:59 - 00:02:02] 为什么中间突突的概率会更大呢
[00:02:02 - 00:02:03] 那这本书就给了我们答案
[00:02:03 - 00:02:05] 不知道大家是否知道
[00:02:05 - 00:02:09] 其实皮肤是我们人体的最大的器官
[00:02:09 - 00:02:14] 我们每个人的头上大约有10到15万个毛囊
[00:02:14 - 00:02:17] 为什么毛囊这么多
[00:02:17 - 00:02:18] 却一点也不影响头发手
[00:02:18 - 00:02:21] 因为根据数据显示
[00:02:21 - 00:02:24] 大约60%的男性到了50岁
[00:02:24 - 00:02:26] 就很有可能要屠顶了
[00:02:26 - 00:02:29] 甚至说有1⁵的男性
[00:02:29 - 00:02:32] 在30岁左右的时候就提前中招了
[00:02:32 - 00:02:35] 作为一名刚刚卖住中年男性的我呢
[00:02:35 - 00:02:37] 虽然看到这个有点慌
[00:02:37 - 00:02:39] 但是我每次吸头的时候
[00:02:39 - 00:02:40] 我就一点都不慌了
[00:02:40 - 00:02:41] 屠这个事呢
[00:02:41 - 00:02:44] 其实纠析原因还是随着年龄的增长
[00:02:44 - 00:02:48] 有一种叫做二清搞同的激素
[00:02:48 - 00:02:50] 容易变得稳乱
[00:02:50 - 00:02:52] 就是这个二青搞通这个激素啊
[00:02:52 - 00:02:55] 使得头上的这个毛囊关闭
[00:02:55 - 00:03:00] 同时呢我们正常平均每天基本要掉50到100根头发
[00:03:00 - 00:03:01] 就是养猫的都知道
[00:03:01 - 00:03:03] 那猫不懂掉毛吗
[00:03:03 - 00:03:04] 你以为人不掉毛
[00:03:04 - 00:03:05] 人也掉毛啊
[00:03:05 - 00:03:06] 正常人就要掉毛的
[00:03:06 - 00:03:08] 总结一下呢就是
[00:03:08 - 00:03:09] 掉的比较多
[00:03:09 - 00:03:10] 长的比较少
[00:03:10 - 00:03:11] 那可不就逐渐突了吗
[00:03:11 - 00:03:14] 其实无论是身体结构还是说激素变化
[00:03:14 - 00:03:17] 整个人体进化过程的是友好友会
[00:03:17 - 00:03:20] 但是我们未曾被这些弱点给灭灭
[00:03:20 - 00:03:22] 看人体减史呢
[00:03:22 - 00:03:24] 我认为是一个多角度认识自己的过程
[00:03:24 - 00:03:29] 从人体的构造与运行到医学进步的艰难历程
[00:03:29 - 00:03:31] 当我们换个维度去看的时候
[00:03:31 - 00:03:31] 你就会发现
[00:03:31 - 00:03:36] 自己其实就像宇宙当中一颗不起眼的小行星
[00:03:36 - 00:03:42] 或许我们就不会在过多的去纠结与生命当中的一些小事和经历了
[00:03:42 - 00:03:44] 幸福感不就提升了吗
[00:03:44 - 00:03:45] 有空的话呢
[00:03:45 - 00:03:48] 那不妨和我一起去翻開這本人體監視
[00:03:48 - 00:03:50] 探索更多關於人體的秘密吧
