BV号：BV1s4421c7EC
标题：BV1s4421c7EC
链接：https://www.bilibili.com/video/BV1s4421c7EC
识别语言：zh
语言置信度：1
分段数：27
生成时间：2026-04-03 12:38:46

[00:00:00 - 00:00:01] 天津北京上海
[00:00:01 - 00:00:04] 庇雾组是一个非常有意思的组
[00:00:04 - 00:00:06] 天津北京上海的庇雾组
[00:00:06 - 00:00:09] 是功课和文课的结合
[00:00:09 - 00:00:11] 比如像管理科学工程类
[00:00:11 - 00:00:13] 或者是工业工程类
[00:00:13 - 00:00:14] 或者是应用统计学
[00:00:14 - 00:00:16] 或者是管理信馆
[00:00:16 - 00:00:18] 大数据管理应用
[00:00:18 - 00:00:19] 这种专业在庇雾组
[00:00:19 - 00:00:20] 它跟别的省还不一样
[00:00:20 - 00:00:22] 因为天津北京上海是
[00:00:22 - 00:00:25] 包括海南是6.3的月销专业组
[00:00:25 - 00:00:28] 江苏是3加1加2的月销专业组
[00:00:28 - 00:00:31] 所以说天津北京上海海南的文科
[00:00:31 - 00:00:33] 那个组叫不县组
[00:00:33 - 00:00:36] 而这种偏工科的专业在闭物组
[00:00:36 - 00:00:40] 而纯粹的理工力专业在闭物闭化组
[00:00:40 - 00:00:42] 纯文的专业叫不县组
[00:00:42 - 00:00:46] 然后工管结合的叫闭物组
[00:00:46 - 00:00:49] 纯工科叫闭物闭化组
[00:00:49 - 00:00:52] 但是在江苏广东福建湖南湖北不是
[00:00:52 - 00:00:54] 在江苏广东福建湖南湖北
[00:00:54 - 00:00:58] 它就是公管结合的和纯文的卓业
[00:00:58 - 00:01:00] 都在一个组织庇护不行
[00:01:00 - 00:01:02] 但是天津北京上海海南会分开
[00:01:02 - 00:01:04] 所以每个省都不一样
