BV号：BV1R5411Q7yX
标题：BV1R5411Q7yX
链接：https://www.bilibili.com/video/BV1R5411Q7yX
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-03 19:21:49

[00:00:00 - 00:00:02] 在我们停报阵量的时候
[00:00:02 - 00:00:04] 有两个专业的名字叫的也都很像
[00:00:04 - 00:00:06] 一个叫做环境工程
[00:00:06 - 00:00:07] 还有一个叫环境科学
[00:00:07 - 00:00:09] 这都是以环境开头的
[00:00:09 - 00:00:12] 那这个工程和科学它到底有什么差别呢
[00:00:12 - 00:00:14] 这个大家一到处以环境工程专业
[00:00:14 - 00:00:17] 它实际上是要用我们所学的知识去解决
[00:00:17 - 00:00:18] 环境的问题
[00:00:18 - 00:00:19] 比如说大气污染问题
[00:00:19 - 00:00:20] 对吧
[00:00:20 - 00:00:21] 水污染问题
[00:00:21 - 00:00:22] 造成污染问题
[00:00:22 - 00:00:25] 我们要用我们所学的知识去解决这些问题
[00:00:25 - 00:00:26] 而环境科学呢
[00:00:26 - 00:00:28] 比较倾向于做环境评价
[00:00:28 - 00:00:29] 环境评读
[00:00:29 - 00:00:31] 比如说我现在修一个高铁
[00:00:31 - 00:00:33] 比如说我现在在一个城市要修建一个工业园
[00:00:33 - 00:00:35] 那么我建的这个高铁也好
[00:00:35 - 00:00:36] 或者建这个工业园也好
[00:00:36 - 00:00:39] 会对周边的环境造成怎样的影响
[00:00:39 - 00:00:40] 这个影响是比较大的
[00:00:40 - 00:00:41] 还是会比较小的
[00:00:41 - 00:00:43] 它是可逆的还是不可逆的
[00:00:43 - 00:00:44] 那么这个呢就叫做环境评价
[00:00:44 - 00:00:46] 它也叫做环境科学
[00:00:46 - 00:00:48] 如果说我现在要去修建那个高铁
[00:00:48 - 00:00:50] 或者说我修建一个工业园
[00:00:50 - 00:00:51] 对环境影响特别大
[00:00:51 - 00:00:53] 通过环屏的话
[00:00:53 - 00:00:53] 那不好意思
[00:00:53 - 00:00:54] 你这个高铁啊
[00:00:54 - 00:00:55] 就修建不了
[00:00:55 - 00:00:57] 就是你这个修建的方案就要改一改
[00:00:57 - 00:00:59] 你一个公园的修建方案也要改一改
[00:00:59 - 00:01:01] 所以说大家你发现了吗
[00:01:01 - 00:01:02] 一个是要做评估
[00:01:02 - 00:01:05] 我干这个事对环境的影响
[00:01:05 - 00:01:07] 另外一个是要用我所学的知识
[00:01:07 - 00:01:09] 去解决环境建方案的问题
[00:01:09 - 00:01:10] 差别是很大的
