BV号：BV1wKkfBkEXq
标题：BV1wKkfBkEXq
链接：https://www.bilibili.com/video/BV1wKkfBkEXq
识别语言：zh
语言置信度：1
分段数：169
生成时间：2026-04-03 03:42:52

[00:00:00 - 00:00:01] 首先给大家科普一个事情
[00:00:01 - 00:00:03] 地理的这个学科
[00:00:03 - 00:00:05] 当年我们在上学只是文理分科的时候
[00:00:05 - 00:00:07] 地理是属于文科的选科
[00:00:07 - 00:00:08] 它并不属于理科的选科
[00:00:08 - 00:00:10] 但其实地理这个专业
[00:00:10 - 00:00:13] 毕业以后它授予的学位它是理学学位
[00:00:13 - 00:00:14] 它不是文科
[00:00:14 - 00:00:15] 知道吧
[00:00:15 - 00:00:16] 它是理学学位
[00:00:16 - 00:00:17] 所以说你只要包得地理类
[00:00:17 - 00:00:20] 下面的四个专业它都是理学学位
[00:00:20 - 00:00:22] 它并不是一个所谓的文学学位
[00:00:22 - 00:00:23] 或者说文科
[00:00:23 - 00:00:24] 来简单给大家看一下
[00:00:24 - 00:00:25] 这四个专业地理科学类
[00:00:25 - 00:00:26] 首先第一个专业地理科学
[00:00:26 - 00:00:27] 地理科学这个专业
[00:00:27 - 00:00:30] 一般会有一个库湖叫师范类
[00:00:30 - 00:00:31] 所以说首先加拿大
[00:00:31 - 00:00:32] 你要知道地理科学
[00:00:32 - 00:00:33] 它一般都会有库湖
[00:00:33 - 00:00:33] 就师范类
[00:00:33 - 00:00:34] 那你说老师
[00:00:34 - 00:00:35] 那地理科学师范类
[00:00:35 - 00:00:37] 跟我们其他地理有什么样的差别
[00:00:37 - 00:00:39] 首先其他地理学的更细
[00:00:39 - 00:00:41] 地理科学学的更杂
[00:00:41 - 00:00:42] 比如说地理科学是
[00:00:42 - 00:00:42] 技学人文地理
[00:00:42 - 00:00:43] 幼学自然地理
[00:00:43 - 00:00:45] 但是地图学与地理系系统
[00:00:45 - 00:00:47] 学的现在相对稍微少一些
[00:00:47 - 00:00:49] 但是它要上一些师范类的科目
[00:00:49 - 00:00:50] 比如说数学
[00:00:50 - 00:00:52] 比如说这个教育学原理
[00:00:52 - 00:00:53] 中国教育学外国教育学
[00:00:53 - 00:00:54] 教育心理学
[00:00:54 - 00:00:57] 就很多家长问张老师这个专业比如汉原文学和汉原文学师范
[00:00:57 - 00:00:58] 有什么差别
[00:00:58 - 00:01:01] 汉原文学学的那种汉原文学师范也学
[00:01:01 - 00:01:04] 但是汉原文学师范会比汉原文学多一些教育学的课
[00:01:04 - 00:01:05] 就按写作
[00:01:05 - 00:01:06] 教育学原理
[00:01:06 - 00:01:07] 中国教育史
[00:01:07 - 00:01:08] 外国教育史
[00:01:08 - 00:01:09] 教育心理学
[00:01:09 - 00:01:11] 发展与教育心理学等等等等
[00:01:11 - 00:01:12] 他会学一些师范类的课程
[00:01:12 - 00:01:15] 这就是我们所谓师范类和非试判类他的差别
[00:01:15 - 00:01:16] 他会学一些师范类的课程
[00:01:16 - 00:01:20] 那么有一些学校他通过教育部的这种学科评估以后
[00:01:20 - 00:01:22] 或者说是教育部的其他的考核以后
[00:01:22 - 00:01:23] 有一些学校是毕业以后
[00:01:23 - 00:01:25] 直接可以给你教师这个证明
[00:01:25 - 00:01:25] 所以说的话
[00:01:26 - 00:01:27] 示范力和非示范力是这样的一个差别
[00:01:27 - 00:01:29] 首先第一个专业就是地理科学
[00:01:29 - 00:01:30] 第一个专业就是地理科学
[00:01:30 - 00:01:31] 就是示范
[00:01:31 - 00:01:32] 第二个专业就是人文地理
[00:01:32 - 00:01:34] 第三个专业是自然地理
[00:01:34 - 00:01:35] 所以要混进
[00:01:35 - 00:01:36] 第三地理是人文地理
[00:01:36 - 00:01:37] 成型文化
[00:01:37 - 00:01:38] 这两个是什么差别
[00:01:38 - 00:01:39] 首先自然地理
[00:01:39 - 00:01:41] 自然地理就是我们的山川
[00:01:41 - 00:01:43] 河流 湖泊 地墨
[00:01:43 - 00:01:44] 这个叫自然地理
[00:01:44 - 00:01:45] 比如说你做过学的主要
[00:01:45 - 00:01:47] 就是一些比如说山
[00:01:47 - 00:01:48] 它在什么情况
[00:01:48 - 00:01:49] 然后的话比如说雪山
[00:01:49 - 00:01:51] 它的雪的融化速度有多快
[00:01:51 - 00:01:52] 怎么样怎么样怎么样
[00:01:52 - 00:01:53] 就是自然地理就是山
[00:01:53 - 00:01:55] 它是怎么形成的
[00:01:55 - 00:01:57] 然后的话这种地形我们能干什么
[00:01:57 - 00:01:59] 能不能去建一个工业园区
[00:01:59 - 00:02:00] 能不能去建一个居民区
[00:02:00 - 00:02:01] 能不能去怎么样
[00:02:01 - 00:02:03] 它这种地理的自然地理的变化
[00:02:03 - 00:02:05] 预示着我们的环境会往哪个方向影响
[00:02:05 - 00:02:08] 它倒推是影响你的环境政策
[00:02:08 - 00:02:08] 然后的话
[00:02:08 - 00:02:10] 下面叫做人文地理与全程规划
[00:02:10 - 00:02:12] 什么叫人文地理与全程规划呢
[00:02:12 - 00:02:14] 比如说我工业区
[00:02:14 - 00:02:15] 这个地方是不是可见工业区
[00:02:15 - 00:02:18] 然后的话这个地方它适合发展什么样的产业
[00:02:18 - 00:02:19] 这个就叫人文地理
[00:02:19 - 00:02:20] 然后这个地方的风土人情
[00:02:20 - 00:02:23] 这个地方的一些人文的一些东西
[00:02:23 - 00:02:25] 比如说苏州
[00:02:25 - 00:02:25] 对吧
[00:02:25 - 00:02:28] 我们历史文化沉淀相对底润
[00:02:28 - 00:02:28] 风厚一些
[00:02:28 - 00:02:29] 然后我们就去研究一些
[00:02:29 - 00:02:31] 我们苏州自己的一些特点
[00:02:31 - 00:02:34] 比如说我们公园园区跟古苏区
[00:02:34 - 00:02:35] 几乎就是一街之隔
[00:02:35 - 00:02:37] 金际湖大道夸过去
[00:02:37 - 00:02:39] 金际湖大道我们主要在公园圆区
[00:02:39 - 00:02:41] 但金际湖大道夸过去就是古苏区了
[00:02:41 - 00:02:43] 然后的话那边是老城区是老城区
[00:02:43 - 00:02:44] 公园圆区是公园圆区
[00:02:44 - 00:02:45] 我公园需要在哪建
[00:02:45 - 00:02:47] 后面那个城乡规划是什么
[00:02:47 - 00:02:50] 城乡规划其实是属于建筑区的一个分支
[00:02:50 - 00:02:52] 建筑区的一个分支是什么呢
[00:02:52 - 00:02:53] 就是我们正常来讲
[00:02:53 - 00:02:54] 如果说我单体建筑
[00:02:54 - 00:02:55] 这个叫建筑区
[00:02:55 - 00:02:57] 你可以这么想象人有钱了
[00:02:57 - 00:02:58] 人有钱了以后的话
[00:02:58 - 00:02:59] 我盖个漂亮的房子
[00:02:59 - 00:03:00] 这就叫建筑区
[00:03:00 - 00:03:01] 但是我这个房子我盖了半天以后
[00:03:01 - 00:03:03] 我也不能乱盖啊
[00:03:03 - 00:03:03] 对吧
[00:03:03 - 00:03:05] 这个时候就叫城乡规划
[00:03:05 - 00:03:06] 我们要去规划一下
[00:03:06 - 00:03:07] 你这是公园区
[00:03:07 - 00:03:08] 你那是主城区
[00:03:08 - 00:03:10] 你那是这个什么什么什么发展区
[00:03:10 - 00:03:11] 那个是什么什么发展区
[00:03:11 - 00:03:12] 这个就叫成像规划
[00:03:12 - 00:03:13] 然后的话
[00:03:13 - 00:03:14] 我这个区我设计什么样的建筑
[00:03:14 - 00:03:16] 那个区我设计什么样的建筑
[00:03:16 - 00:03:17] 这个叫成像规划
[00:03:17 - 00:03:17] 然后的话
[00:03:17 - 00:03:19] 我要盖得更漂亮一些
[00:03:19 - 00:03:20] 那就风景原林了
[00:03:20 - 00:03:21] 那就风景原林了
[00:03:21 - 00:03:22] 所以说的话
[00:03:22 - 00:03:23] 就是它不同的应用领域
[00:03:23 - 00:03:25] 这是我们的人文地理
[00:03:25 - 00:03:26] 然后的话第四个专业
[00:03:26 - 00:03:27] 这个专业很好玩
[00:03:27 - 00:03:28] 叫地理心情科学
[00:03:28 - 00:03:29] 其实地理心情科学是什么东西
[00:03:29 - 00:03:32] 地理心情科学是测汇学加计算机
[00:03:32 - 00:03:34] 这个专业是你考不了研究生的话
[00:03:34 - 00:03:35] 它就是测汇
[00:03:35 - 00:03:36] 什么叫测汇呢
[00:03:36 - 00:03:38] 就扛到干到处去测地理数据
[00:03:41 - 00:03:42] 是什么风
[00:03:42 - 00:03:43] 风刮多大
[00:03:43 - 00:03:44] 然后刮什么风
[00:03:44 - 00:03:45] 它主要就是测地理数据
[00:03:45 - 00:03:47] 这是我们的测汇
[00:03:47 - 00:03:48] 如果说你考生研究生的话
[00:03:48 - 00:03:51] 就是把你测出来的地理数据
[00:03:51 - 00:03:52] 进行软件化
[00:03:52 - 00:03:53] 信息化
