BV号：BV1RK4y1t7XE
标题：BV1RK4y1t7XE
链接：https://www.bilibili.com/video/BV1RK4y1t7XE
识别语言：zh
语言置信度：1
分段数：91
生成时间：2026-04-04 02:09:14

[00:00:00 - 00:00:03] 大家好 我是新近的代貨主播張雪芳老師
[00:00:03 - 00:00:05] 很多朋友問我說張老師那你覺得
[00:00:05 - 00:00:08] 什麼樣叫做滿分的代貨主播
[00:00:08 - 00:00:11] 我想像當中比較優秀的代貨主播呢
[00:00:11 - 00:00:12] 應該具備以下的幾點
[00:00:12 - 00:00:14] 第一就是一定要讓大家開心
[00:00:14 - 00:00:17] 就是我覺得大家看你的直播呀
[00:00:17 - 00:00:17] 一定要
[00:00:17 - 00:00:19] 就是怎麼說呢
[00:00:19 - 00:00:20] 就很開心啊
[00:00:20 - 00:00:22] 我覺得直播本身就是一場秀
[00:00:22 - 00:00:24] 就跟你們有的時候看我的視頻一樣
[00:00:24 - 00:00:25] 就是你看我的直播也好
[00:00:25 - 00:00:26] 看我的視頻也好
[00:00:26 - 00:00:28] 一定要開心開心是最重要的
[00:00:28 - 00:00:30] 你得让大家能够看得下去
[00:00:30 - 00:00:31] 第二呢
[00:00:31 - 00:00:32] 就是看这个直播
[00:00:32 - 00:00:34] 买不买东西放在一边不说
[00:00:34 - 00:00:34] 咱们呢
[00:00:34 - 00:00:36] 可以学点东西
[00:00:36 - 00:00:37] 你知道这个晚上
[00:00:37 - 00:00:38] 它是怎么回事
[00:00:38 - 00:00:39] 你比如说比一本电脑
[00:00:39 - 00:00:41] 你我们在选择比一本电脑的时候
[00:00:41 - 00:00:43] 哪些要素是最重要的
[00:00:43 - 00:00:44] 然后比如说你在选择床垫选择
[00:00:44 - 00:00:46] 尤其选择一些吃的的时候
[00:00:46 - 00:00:48] 你吃一些好东西和坏东西
[00:00:48 - 00:00:49] 它的差别是什么
[00:00:49 - 00:00:50] 它的感受是什么
[00:00:50 - 00:00:52] 就是大家你看这个直播
[00:00:52 - 00:00:54] 得能多到少少学点点东西
[00:00:54 - 00:00:56] 这就是做老师的余福
[00:00:56 - 00:00:57] 第三呢
[00:00:57 - 00:01:00] 就是如果说我身边有一些比较好的东西
[00:01:00 - 00:01:01] 我比较认可的东西
[00:01:01 - 00:01:01] 我推荐给大家
[00:01:01 - 00:01:03] 大家用了以后也觉得好
[00:01:03 - 00:01:04] 我觉得这个事儿
[00:01:04 - 00:01:05] 它是很有成就感的
[00:01:05 - 00:01:07] 你比如说经常我们去说
[00:01:07 - 00:01:08] 哎这饭店挺不错
[00:01:08 - 00:01:09] 你也会坚持跟朋友推荐说
[00:01:09 - 00:01:11] 哎这家饭店特别好吃
[00:01:11 - 00:01:12] 那个东西特别好吃
[00:01:12 - 00:01:13] 他去吃了以后的话说
[00:01:13 - 00:01:14] 哎呀
[00:01:14 - 00:01:15] 就是好吃
[00:01:15 - 00:01:17] 你是不是很有成就感
[00:01:17 - 00:01:18] 就是这种
[00:01:18 - 00:01:19] 把自己认为好多东西
[00:01:19 - 00:01:21] 分性给大家的这种成就感
[00:01:21 - 00:01:23] 我觉得也是很好玩的
[00:01:23 - 00:01:24] 那我绝对想得到什么呢
[00:01:24 - 00:01:27] 其实我想得到的也是两点
[00:01:27 - 00:01:31] 第一点呢就是能够看一下现在各行各业的商品已经犯了
[00:01:31 - 00:01:32] 到什么样的程度
[00:01:32 - 00:01:33] 我参加那个节目
[00:01:33 - 00:01:34] 包管来了以后
[00:01:34 - 00:01:36] 包括说我进入直播带货领域
[00:01:36 - 00:01:37] 我去选品的时候
[00:01:37 - 00:01:40] 我才发现很多行业跟我们想象的
[00:01:40 - 00:01:41] 已经完全不一样了
[00:01:41 - 00:01:43] 它已经发展到了一个非常有意思的地步
[00:01:43 - 00:01:44] 那么第二呢
[00:01:44 - 00:01:45] 我学到这些东西以后
[00:01:45 - 00:01:47] 我了解到这些行业以后
[00:01:47 - 00:01:49] 我希望在我以后的课程当中
[00:01:49 - 00:01:51] 能够给大家讲出来
[00:01:51 - 00:01:54] 比如说我们现在一个比较火的词叫带货主播
[00:01:54 - 00:01:55] 对吧
[00:01:55 - 00:01:57] 那么你怎么样做好在后主播
[00:01:57 - 00:02:00] 再比如说他那个价格怎么就那么便宜
[00:02:00 - 00:02:02] 这些是我想分享给大家的
[00:02:02 - 00:02:05] 我也希望我在以后讲课当中能把我这些感受
[00:02:05 - 00:02:07] 对于产品的感受也好
[00:02:07 - 00:02:08] 还是对于这个行业的感受也好
[00:02:08 - 00:02:10] 我能够分享给大家
[00:02:10 - 00:02:13] 所以说我希望大家能够在我的直播间里边能够得到快乐
[00:02:13 - 00:02:14] 能够学到东西
[00:02:14 - 00:02:15] 如果说你愿意买点东西的话
[00:02:15 - 00:02:16] 那当然最好
[00:02:16 - 00:02:17] 所以说对于我来讲
[00:02:17 - 00:02:18] 你们买不买东西
[00:02:18 - 00:02:21] 可能对于我来讲不是最重要的
[00:02:21 - 00:02:22] 而我自己能不能学习
[00:02:22 - 00:02:24] 我自己能不能成长
[00:02:24 - 00:02:25] 我能不能帮助到你学习
[00:02:25 - 00:02:26] 能不能让你得到快乐
[00:02:26 - 00:02:28] 这是我最关注的
