BV号：BV1iHd2Y6EDD
标题：BV1iHd2Y6EDD
链接：https://www.bilibili.com/video/BV1iHd2Y6EDD
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-03 05:18:04

[00:00:00 - 00:00:03] 我就想请教一下除了计算机这个专业
[00:00:03 - 00:00:05] 还有哪些专业是选择考工的
[00:00:05 - 00:00:06] 法学财官汉语
[00:00:06 - 00:00:07] 理工科的呢
[00:00:07 - 00:00:08] 没有
[00:00:08 - 00:00:09] 理工科的除了计算机
[00:00:09 - 00:00:10] 没有什么好考工的专业
[00:00:10 - 00:00:11] 是的
[00:00:11 - 00:00:12] 家长你要注意
[00:00:12 - 00:00:14] 考工是指线专业不线学校
[00:00:14 - 00:00:16] 家长 甭定举个简单
[00:00:16 - 00:00:16] 明白
[00:00:16 - 00:00:17] 考工的前提是什么
[00:00:17 - 00:00:20] 是这个单位得有这个专业的港
[00:00:20 - 00:00:21] 你能明白吗
[00:00:21 - 00:00:24] 比如说如果说我是这个教育局
[00:00:24 - 00:00:25] 教育局都机械在干嘛
[00:00:25 - 00:00:26] 土地局
[00:00:26 - 00:00:28] 土地局都机械在干嘛
[00:00:28 - 00:00:29] 说咱们单位车坏了
[00:00:29 - 00:00:30] 你给修个车
[00:00:30 - 00:00:32] 所以说他一定是什么
[00:00:32 - 00:00:34] 他一定是港队应有专业要求
[00:00:34 - 00:00:35] 大家能明白吧
[00:00:35 - 00:00:37] 就是大家如果说你考过公务员
[00:00:37 - 00:00:38] 考过央国企的话
[00:00:38 - 00:00:42] 都应该知道央国企和公务员一定是什么
[00:00:42 - 00:00:45] 他一定叫做专业对手
[00:00:45 - 00:00:46] 有港位要求
[00:00:46 - 00:00:46] 所以说的话
[00:00:46 - 00:00:48] 港位没有要求那个三不限了
[00:00:48 - 00:00:50] 所以说理工业的专业计算机是每个
[00:00:50 - 00:00:52] 每个单位都有这个港
[00:00:52 - 00:00:54] 因为所有的单位都要数据化 信息化
[00:00:54 - 00:00:56] 网络化 智能化
[00:00:56 - 00:00:57] 所以说所有的单位都要数据化
[00:00:57 - 00:00:59] 网络化 信息化 智能化
[00:00:59 - 00:01:00] 它会兜招计算机
[00:01:00 - 00:01:03] 但是其他理工和专业基本上的话就很麻烦
[00:01:03 - 00:01:04] 它没有港
[00:01:04 - 00:01:04] 你懂吗
[00:01:04 - 00:01:05] 嗯
[00:01:05 - 00:01:05] 好
