BV号：BV14MpJeUEep
标题：BV14MpJeUEep
链接：https://www.bilibili.com/video/BV14MpJeUEep
识别语言：zh
语言置信度：1
分段数：130
生成时间：2026-04-03 08:19:35

[00:00:00 - 00:00:02] 他说那你就等着我看我成绩吧
[00:00:02 - 00:00:05] 他是想着给我考一个相对来说
[00:00:05 - 00:00:07] 比较不错的高分
[00:00:07 - 00:00:11] 他是说然后就是上大学他一堆的梦想
[00:00:11 - 00:00:13] 他就是不也不想走起体制内
[00:00:13 - 00:00:14] 也不想受人管制
[00:00:14 - 00:00:16] 还想自己干点什么
[00:00:16 - 00:00:18] 所以我现在我都没有方向了
[00:00:18 - 00:00:20] 总之就是他想的
[00:00:20 - 00:00:22] 他跟我想的他就不一样
[00:00:22 - 00:00:24] 加点真的你这个孩子就是
[00:00:24 - 00:00:25] 就是怎么说呢
[00:00:25 - 00:00:27] 就是他没有被所谓的现实教育
[00:00:27 - 00:00:29] 就是我比如说我们今年
[00:00:29 - 00:00:29] 我们今年研学
[00:00:29 - 00:00:31] 我们今年研学的时候
[00:00:31 - 00:00:31] 然后的话
[00:00:31 - 00:00:34] 因为我们研学会请来一些企业家来讲课
[00:00:35 - 00:00:36] 然后有一期
[00:00:36 - 00:00:38] 正好是一个企业家就讲到创业
[00:00:38 - 00:00:39] 然后的话就好多孩子
[00:00:39 - 00:00:41] 因为参加我们研学的基本上家里投机都还可以
[00:00:41 - 00:00:43] 然后的话有的孩子也是跟你一样
[00:00:43 - 00:00:44] 就想法有点多
[00:00:44 - 00:00:46] 然后的话我想创业
[00:00:46 - 00:00:46] 我想干点什么
[00:00:46 - 00:00:48] 然后我就告诉这帮孩子创业是怎么回事
[00:00:49 - 00:00:51] 我来我们直播间正在上大学的孩子
[00:00:51 - 00:00:53] 如果说有上大学的孩子
[00:00:53 - 00:00:54] 包括有上大学的家长
[00:00:54 - 00:00:56] 你们家小孩跟那个家庭的孩子是一样的
[00:00:56 - 00:00:57] 有想自己干点什么的
[00:00:57 - 00:01:00] 你把这段录下来给孩子取讲
[00:01:00 - 00:01:02] 创业我经常讲叫三要素
[00:01:02 - 00:01:03] 创业哪三要素呢
[00:01:03 - 00:01:06] 第一要素叫做项目
[00:01:06 - 00:01:07] 就是你要想自己干点啥
[00:01:07 - 00:01:09] 你干啥呀
[00:01:09 - 00:01:10] 你是开个奶茶店呢
[00:01:10 - 00:01:12] 你还是开个饭店呢
[00:01:12 - 00:01:14] 你还是说跟我一样做个直播间呢
[00:01:14 - 00:01:15] 你还是怎么着
