BV号：BV16x4y1K727
标题：BV16x4y1K727
链接：https://www.bilibili.com/video/BV16x4y1K727
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 15:59:16

[00:00:00 - 00:00:01] 他艺术类考研判券
[00:00:01 - 00:00:02] 大家知道是怎么判的吗
[00:00:02 - 00:00:03] 我给你们讲讲
[00:00:03 - 00:00:05] 艺术类的考研判券是怎么判的
[00:00:05 - 00:00:06] 就是设计类的
[00:00:06 - 00:00:07] 考研判券是怎么判的
[00:00:07 - 00:00:08] 你不是要画一个作品吗
[00:00:08 - 00:00:09] 然后你画那个作品的话
[00:00:09 - 00:00:10] 就是铺满地
[00:00:10 - 00:00:11] 老师就拿了一个柜
[00:00:11 - 00:00:12] 就带着判券
[00:00:12 - 00:00:13] 艺术类拿柜判券了
[00:00:13 - 00:00:14] 你知道吗
[00:00:14 - 00:00:15] 他就看你这个作品
[00:00:15 - 00:00:18] 点点点点点几个
[00:00:18 - 00:00:19] 这几个作品比较好
[00:00:19 - 00:00:20] 拿过来这个给高分
[00:00:20 - 00:00:22] 剩下的作品是给普通分
[00:00:22 - 00:00:24] 或者是低分
[00:00:24 - 00:00:25] 艺术类现在考研
[00:00:25 - 00:00:26] 考到什么样的程度啊
[00:00:26 - 00:00:28] 艺术类国家线361分
[00:00:28 - 00:00:31] 艺术类国家线361分
[00:00:31 - 00:00:32] 满分500分
[00:00:32 - 00:00:34] 艺术类国家线361分
[00:00:34 - 00:00:35] 它为什么会这样
[00:00:35 - 00:00:38] 因为艺术类判决太紧关了
[00:00:38 - 00:00:39] 它一点不客观
[00:00:39 - 00:00:41] 你说的话的这张图
[00:00:41 - 00:00:42] 它好还是不好
[00:00:42 - 00:00:44] 你觉得它客观吗
[00:00:44 - 00:00:45] 这背的你觉得设计怎么样
[00:00:45 - 00:00:47] 满分150 你给多少分
[00:00:47 - 00:00:48] 对吧
[00:00:48 - 00:00:49] 我这张脸
[00:00:49 - 00:00:51] 你给我这张脸大分
[00:00:51 - 00:00:52] 满分150
[00:00:52 - 00:00:53] 你觉得张老师满分150
[00:00:53 - 00:00:54] 我能得多少分
[00:00:54 - 00:00:56] 我看看你们对我怎么认知的
[00:00:56 - 00:00:56] 来来来
